name,status,start,end
regen_candidate_V12_M1_average_capinv_seed260626,started,2026-06-26T05:56:37.3109238+08:00,
generated_variant_batch,stopped_no_output_timeout,,manual_stop_after_first_row_exceeded_expected_limit
