station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,29,19,17
2,2,10,8
3,3,15,13
4,3,14,12
5,13,8,7
6,22,15,13
7,4,11,9
8,4,17,14
9,19,13,11
10,16,11,9
11,5,19,16
12,15,11,9
13,16,11,9
14,23,16,13
15,30,19,17
16,18,13,10
17,3,12,10
18,6,18,15
19,40,27,27
20,2,9,7
21,12,33,33
22,11,28,28
23,6,17,14
24,16,11,9
25,2,11,9
26,6,17,14
27,17,12,10
28,19,13,11
29,14,10,8
30,17,12,10
31,14,10,8
32,0,7,6
33,1,9,8
34,1,10,8
35,42,27,27
36,27,18,15
37,4,11,9
38,26,17,14
39,4,13,10
40,18,12,10
41,2,11,9
42,16,11,9
43,13,33,33
44,6,18,15
45,3,10,8
46,38,25,25
47,1,9,8
48,45,30,30
49,14,10,8
50,9,26,25
