variable,value
G,0.29878754184999506
e_1,0.071428571428571508
e_2,1
e_3,1
e_4,0.049889206824837107
e_5,0.5714285714285714
e_6,1.3333333333333335
e_7,0.76923076923076938
e_8,0.50760757847877147
e_9,0.16658897163103892
e_10,1
e_11,0.15806893116195053
e_12,0
h_10_11,0.84193106883804947
h_10_12,1
h_11_12,0.15806893116195053
h_1_10,0.92857142857142849
h_1_11,0.086640359733379024
h_1_12,0.071428571428571508
h_1_2,0.92857142857142849
h_1_3,0.92857142857142849
h_1_4,0.12131777825340861
h_1_5,0.6428571428571429
h_1_6,0.57903614990734298
h_1_7,0.84065934065934089
h_1_8,0.57903614990734298
h_1_9,0.23801754305961043
h_2_10,0
h_2_11,0.84193106883804947
h_2_12,1
h_2_3,0
h_2_4,1.0498892068248371
h_2_5,1.5714285714285714
h_2_6,1.5076075784787715
h_2_7,1.7692307692307694
h_2_8,1.5076075784787715
h_2_9,1.1665889716310389
h_3_10,0
h_3_11,0.84193106883804947
h_3_12,1
h_3_4,1.0498892068248371
h_3_5,1.5714285714285714
h_3_6,4.5098039215686274
h_3_7,1.7692307692307694
h_3_8,1.5076075784787715
h_3_9,1.1665889716310389
h_4_10,1.0498892068248371
h_4_11,0.20795813798678756
h_4_12,0.049889206824837107
h_4_5,0.52153936460373429
h_4_6,0.45771837165393436
h_4_7,0.71934156240593228
h_4_8,0.45771837165393436
h_4_9,0.11669976480620181
h_5_10,1.5714285714285714
h_5_11,0.72949750259052193
h_5_12,0.5714285714285714
h_5_6,0.063820992949799926
h_5_7,0.19780219780219799
h_5_8,0.063820992949799926
h_5_9,0.40483959979753248
h_6_10,1.5076075784787715
h_6_11,0.665676509640722
h_6_12,0.50760757847877147
h_6_7,0.26162319075199791
h_6_8,0
h_6_9,0.34101860684773255
h_7_10,1.7692307692307694
h_7_11,0.92729970039271992
h_7_12,0.76923076923076938
h_7_8,0.26162319075199791
h_7_9,0.60264179759973047
h_8_10,1.5076075784787715
h_8_11,0.665676509640722
h_8_12,0.50760757847877147
h_8_9,0.34101860684773255
h_9_10,1.1665889716310389
h_9_11,0.32465790279298945
h_9_12,0.16658897163103892
r_1,0.92857142857142849
r_10,0
r_11,0.84193106883804947
r_12,1
r_2,0
r_3,0
r_4,1.0498892068248371
r_5,1.5714285714285714
r_6,1.5076075784787715
r_7,1.7692307692307694
r_8,1.5076075784787715
r_9,1.1665889716310389
prod_1_0,0
bit_1_0,0
prod_1_1,0
bit_1_1,0
prod_1_2,0
bit_1_2,0
prod_1_3,0.29878754184999506
bit_1_3,0.97309990869091978
prod_1_4,0.29878754184999506
bit_1_4,0.32595004565454011
prod_2_0,0
bit_2_0,0
prod_2_1,0
bit_2_1,0
prod_2_2,0
bit_2_2,0
prod_2_3,0
bit_2_3,0
prod_2_4,0
bit_2_4,0
prod_2_5,0
bit_2_5,0
prod_3_0,0
bit_3_0,0
prod_3_1,0
bit_3_1,0
prod_3_2,0
bit_3_2,0
prod_3_3,0
bit_3_3,0
prod_3_4,0
bit_3_4,0
prod_3_5,0
bit_3_5,0
prod_4_0,0
bit_4_0,0
prod_4_1,0
bit_4_1,0
prod_4_2,0
bit_4_2,0
prod_4_3,0.29878754184999506
bit_4_3,1
prod_4_4,0
bit_4_4,0
prod_4_5,0
bit_4_5,0.60303498054518012
prod_5_0,0
bit_5_0,0
prod_5_1,0.29878754184999506
bit_5_1,0.32595004565454011
prod_5_2,0
bit_5_2,0
prod_5_3,0.29878754184999506
bit_5_3,1
prod_5_4,0.29878754184999506
bit_5_4,0.83425624429318246
prod_6_0,0
bit_6_0,0
prod_6_1,0
bit_6_1,0
prod_6_2,0.29878754184999506
bit_6_2,0.32595004565454011
prod_6_3,0.29878754184999506
bit_6_3,0.32595004565454011
prod_6_4,0.29878754184999506
bit_6_4,0.60356672865340388
prod_7_0,0
bit_7_0,0
prod_7_1,0
bit_7_1,0
prod_7_2,0.29878754184999506
bit_7_2,0.32595004565454011
prod_7_3,0.29878754184999506
bit_7_3,1
prod_7_4,0.29878754184999506
bit_7_4,0.85601248858636492
prod_8_0,0
bit_8_0,0
prod_8_1,0
bit_8_1,0
prod_8_2,0
bit_8_2,0
prod_8_3,0.29878754184999506
bit_8_3,1
prod_8_4,0.29878754184999506
bit_8_4,1
prod_8_5,0
bit_8_5,0.47493115751400183
prod_9_0,0
bit_9_0,0
prod_9_1,0
bit_9_1,0
prod_9_2,0
bit_9_2,0
prod_9_3,0.29878754184999506
bit_9_3,1
prod_9_4,0.29878754184999506
bit_9_4,1
prod_9_5,0.081112004746491828
bit_9_5,0.088485823359809257
prod_10_0,0
bit_10_0,0
prod_10_1,0
bit_10_1,0
prod_10_2,0
bit_10_2,0
prod_10_3,0
bit_10_3,0
prod_10_4,0
bit_10_4,0
prod_10_5,0
bit_10_5,0
prod_11_0,0
bit_11_0,0
prod_11_1,0
bit_11_1,0
prod_11_2,0
bit_11_2,0
prod_11_3,0.29878754184999506
bit_11_3,1
prod_11_4,0.29878754184999506
bit_11_4,0.81551729505945225
prod_11_5,0
bit_11_5,0
prod_12_0,0
bit_12_0,0
prod_12_1,0
bit_12_1,0
prod_12_2,0
bit_12_2,0
prod_12_3,0.29878754184999506
bit_12_3,0.97309990869091978
prod_12_4,0.29878754184999506
bit_12_4,0.32595004565454011
W_SP,50.908788210355766
x_0_0_1,0.57229636128553674
x_0_0_10,0
x_0_0_11,0
x_0_0_12,0
x_0_0_2,0
x_0_0_3,0
x_0_0_4,0
x_0_0_5,0
x_0_0_6,0
x_0_0_7,0
x_0_0_8,0
x_0_0_9,0
x_0_10_0,0
x_0_11_0,0
x_0_12_0,0
x_0_1_0,0
x_0_2_0,0
x_0_3_0,0
x_0_4_0,0.57229636128553674
x_0_5_0,0
x_0_6_0,0
x_0_7_0,0
x_0_8_0,0
x_0_9_0,0
x_0_10_1,0
x_0_11_1,0
x_0_12_1,0
x_0_2_1,0
x_0_3_1,0
x_0_4_1,0
x_0_5_1,0
x_0_6_1,0
x_0_7_1,0.21147091441069488
x_0_8_1,0
x_0_9_1,0
z_0_1,0.78376727569623161
x_0_1_10,0
x_0_1_11,0
x_0_1_12,0
x_0_1_2,0
x_0_1_3,0
x_0_1_4,0
x_0_1_5,0
x_0_1_6,0
x_0_1_7,0.78376727569623161
x_0_1_8,0
x_0_1_9,0
x_0_10_2,0
x_0_11_2,0
x_0_12_2,0
x_0_3_2,0
x_0_4_2,0
x_0_5_2,0
x_0_6_2,0
x_0_7_2,0.070478850250315972
x_0_8_2,0.19779704044805857
x_0_9_2,0
z_0_2,0.26827589069837454
x_0_2_10,0
x_0_2_11,0
x_0_2_12,0
x_0_2_3,0
x_0_2_4,0
x_0_2_5,0
x_0_2_6,0
x_0_2_7,0.070478850250315972
x_0_2_8,0.19779704044805857
x_0_2_9,0
x_0_10_3,0
x_0_11_3,0
x_0_12_3,0
x_0_4_3,0
x_0_5_3,0
x_0_6_3,0
x_0_7_3,0
x_0_8_3,0
x_0_9_3,0
z_0_3,0
x_0_3_10,0
x_0_3_11,0
x_0_3_12,0
x_0_3_4,0
x_0_3_5,0
x_0_3_6,0
x_0_3_7,0
x_0_3_8,0
x_0_3_9,0
x_0_10_4,0
x_0_11_4,0
x_0_12_4,0
x_0_5_4,0
x_0_6_4,0
