run_id,instance,decision_sequence,interval_id,variable,family,parent_lower,parent_upper,parent_width,width_tolerance,left_lower,left_upper,left_width,c_L,right_lower,right_upper,right_width,c_R,fixed_left,fixed_right,equal_weight
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","W_SP","ratio_penalty_product",1.9159454391625479,139.54931935057428,137.63337391141172,9.9999999999999995e-08,1.9159454391625479,139.54931935057428,137.63337391141172,0,1.9159454391625479,139.54931935057428,137.63337391141172,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_1","final_inventory",13,26,13,9.9999999999999995e-08,13,26,13,0,13,26,13,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_10","final_inventory",0,16,16,9.9999999999999995e-08,0,16,16,0,0,16,16,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_11","final_inventory",3,23,20,9.9999999999999995e-08,3,23,20,0,3,23,20,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_12","final_inventory",2,21,19,9.9999999999999995e-08,2,21,19,0,2,21,19,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_2","final_inventory",0,17,17,9.9999999999999995e-08,0,17,17,0,0,17,17,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_3","final_inventory",0,18,18,9.9999999999999995e-08,0,18,18,0,0,18,18,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_4","final_inventory",6,28,22,9.9999999999999995e-08,6,28,22,0,6,28,22,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_5","final_inventory",11,23,12,9.9999999999999995e-08,11,23,12,0,11,23,12,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_6","final_inventory",0,14,14,9.9999999999999995e-08,0,14,14,0,0,14,14,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_7","final_inventory",11,26,15,9.9999999999999995e-08,11,26,15,0,11,26,15,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_8","final_inventory",28,42,14,9.9999999999999995e-08,28,42,14,0,28,42,14,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","Y_9","final_inventory",25,47,22,9.9999999999999995e-08,25,47,22,0,25,47,22,0,0,0,1
"stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF","round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt",1,"L0","bit_10_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
