run_id,instance_id,arm,objective,native_bound,native_objective_residual,cross_static_objective_match,return_code_zero,coverage_valid,one_native_mip_job,parameter_roundtrip_valid,original_problem_verifier_passed,strict_certificate,false_certificate,accepted_outcome
static__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__st-k2-i__mip,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,st-k2-i,0,0.0,0.0,True,True,True,True,True,True,True,False,True
static__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__st-k2-p-core__mip,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,st-k2-p-core,0,0.0,0.0,True,True,True,True,True,True,True,False,True
static__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__st-k2-p-extended__mip,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,st-k2-p-extended,0,0.0,0.0,True,True,True,True,True,True,True,False,True
static__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__st-k2-i__mip,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,st-k2-i,0.021337006039780566,0.02133700603978058,1.3877787807814457e-17,True,True,True,True,True,True,True,False,True
static__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__st-k2-p-core__mip,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,st-k2-p-core,0.021337006039780566,0.02133700603978058,1.3877787807814457e-17,True,True,True,True,True,True,True,False,True
static__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__st-k2-p-extended__mip,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,st-k2-p-extended,0.021337006039780566,0.021337006039780573,6.938893903907228e-18,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M1_Q20_slot01_seed561355351__st-k2-i__mip,round39_small_hard_V10_M1_Q20_slot01_seed561355351,st-k2-i,0.8585174613256055,0.8585174613256084,2.886579864025407e-15,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M1_Q20_slot01_seed561355351__st-k2-p-core__mip,round39_small_hard_V10_M1_Q20_slot01_seed561355351,st-k2-p-core,0.8585174613256055,0.8585174613256072,1.7763568394002505e-15,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M1_Q20_slot01_seed561355351__st-k2-p-extended__mip,round39_small_hard_V10_M1_Q20_slot01_seed561355351,st-k2-p-extended,0.8585174613256055,0.8585174613256101,4.6629367034256575e-15,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__st-k2-i__mip,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,st-k2-i,0.921663128891689,0.9216631288916928,3.774758283725532e-15,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__st-k2-p-core__mip,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,st-k2-p-core,0.921663128891689,0.9216631288916934,4.440892098500626e-15,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__st-k2-p-extended__mip,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,st-k2-p-extended,0.921663128891689,0.9216631288916965,7.549516567451064e-15,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__st-k2-i__mip,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,st-k2-i,0.5045438521642074,0.5045438521642152,7.771561172376096e-15,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__st-k2-p-core__mip,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,st-k2-p-core,0.5045438521642074,0.5045438521642073,1.1102230246251565e-16,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__st-k2-p-extended__mip,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,st-k2-p-extended,0.5045438521642074,0.5045438521642069,4.440892098500626e-16,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V12_M3_Q20_slot07_seed621538683__st-k2-i__mip,round39_small_hard_V12_M3_Q20_slot07_seed621538683,st-k2-i,0.6471164334555021,0.6471164334555016,4.440892098500626e-16,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V12_M3_Q20_slot07_seed621538683__st-k2-p-core__mip,round39_small_hard_V12_M3_Q20_slot07_seed621538683,st-k2-p-core,0.6471164334555021,0.6471162088398058,2.2461569626486266e-07,,True,True,True,True,True,False,False,True
static__round39_small_hard_V12_M3_Q20_slot07_seed621538683__st-k2-p-extended__mip,round39_small_hard_V12_M3_Q20_slot07_seed621538683,st-k2-p-extended,0.6471164334555021,0.6471163401181739,9.33373281997163e-08,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__st-k2-i__mip,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,st-k2-i,0.506343307565206,0.5063433052818992,2.283306765882287e-09,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__st-k2-p-core__mip,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,st-k2-p-core,0.506343307565206,0.5063432382208081,6.934439789052504e-08,True,True,True,True,True,True,True,False,True
static__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__st-k2-p-extended__mip,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,st-k2-p-extended,0.506343307565206,0.5063431743362785,1.332289274458276e-07,,True,True,True,True,True,False,False,True
static__round39_small_medium_V10_M2_Q20_slot05_seed968549317__st-k2-i__mip,round39_small_medium_V10_M2_Q20_slot05_seed968549317,st-k2-i,0.1215256536747018,0.12152565367470117,6.38378239159465e-16,True,True,True,True,True,True,True,False,True
static__round39_small_medium_V10_M2_Q20_slot05_seed968549317__st-k2-p-core__mip,round39_small_medium_V10_M2_Q20_slot05_seed968549317,st-k2-p-core,0.1215256536747018,0.1215256318359085,2.1838793301531823e-08,True,True,True,True,True,True,True,False,True
static__round39_small_medium_V10_M2_Q20_slot05_seed968549317__st-k2-p-extended__mip,round39_small_medium_V10_M2_Q20_slot05_seed968549317,st-k2-p-extended,0.1215256536747018,0.12152563424455379,1.943014801830678e-08,True,True,True,True,True,True,True,False,True
static__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__st-k2-i__mip,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,st-k2-i,0.04505416158053462,0.043589007168930924,0.0014651544116036988,,True,True,True,True,True,False,False,True
static__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__st-k2-p-core__mip,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,st-k2-p-core,0.04500155005562836,0.04500151340415274,3.665147561837667e-08,True,True,True,True,True,True,True,False,True
static__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__st-k2-p-extended__mip,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,st-k2-p-extended,0.04500155005562836,0.04500148335495725,6.67006711044249e-08,True,True,True,True,True,True,True,False,True
static__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__st-k2-i__mip,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,st-k2-i,0.023397909764811306,0.02339790976481149,1.8388068845354155e-16,True,True,True,True,True,True,True,False,True
static__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__st-k2-p-core__mip,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,st-k2-p-core,0.023397909764811306,0.023397909764811348,4.163336342344337e-17,True,True,True,True,True,True,True,False,True
