instance_id,diagnostic_role,arm,variables,linear_constraints,nonzeros,general_constraints,model_sha256,selector_variables,perspective_variables,extended_variables,indicator_rows,linear_rows,model_binary_variables,model_integer_variables,model_continuous_variables,presolved_rows,presolved_columns,presolved_nonzeros,model_build_seconds,model_read_seconds
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,easy_p_grb_win,st-k2-i,485,2561,15503,912,c4a74ca7b846072bdaa912edbfa7996f211672176ed79a01bf10b086bd2813d4,2,0,0,912,27,189,40,256,1728,281,13543,0.0687891,0.0061734
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,easy_p_grb_win,st-k2-p-core,715,3478,17334,456,1e6bba36e61efdd5026651b6887e8be4e630e256a84fe5ecd4a4302f2b231e50,2,230,0,456,944,189,40,486,1720,277,13527,0.0342585,0.0064371
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,easy_p_grb_win,st-k2-p-extended,723,3523,17731,450,12de91e1d7f13a2e691d73dd70abff2b4b90e56808cf65909d0a87fbc31d885b,2,230,8,450,989,189,40,494,457,250,1712,0.0347586,0.0063936
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,largest_easy_p_grb_win,st-k2-i,1408,16462,167681,1255,9e914f0b5b99bb3e9ed47378ed275f8d2a51aaa0a94d7667e39da36b9b2c3881,2,0,0,1255,31,610,120,678,16920,1346,173538,0.2477898,0.0523004
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,largest_easy_p_grb_win,st-k2-p-core,1682,17555,170479,711,1814d484efc740ca1c59753d2644200a2130ad186f62e248c6fae6b2387f82f0,2,274,0,711,1124,610,120,952,17251,1552,174314,0.226851,0.0466154
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,largest_easy_p_grb_win,st-k2-p-extended,1690,17600,171020,693,21b185730fed4877084a6f238d6d67ffb8dd22f4fbdc495ecaff8a778c67bb94,2,274,8,693,1169,610,120,960,17270,1560,174225,0.230796,0.0478414
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win,st-k2-i,477,2550,16712,914,10e91af67590693cec710a510963089d02685462a5166929b27bcb5e75dbc223,2,0,0,914,27,185,40,252,1892,444,10849,0.0432185,0.0077717
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win,st-k2-p-core,691,3403,18895,490,5c600751e9ca9e7dc326c8a8400650c0f7acca32cf29a6c63ad70b47c3280d6b,2,214,0,490,880,185,40,466,2155,605,11458,0.0549346,0.0083918
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win,st-k2-p-extended,699,3448,19325,472,22f70e36264b29752be9d8d9d80d95dc4064c92fc0f2bae3623c974ac14f0147,2,214,8,472,925,185,40,474,2177,613,11473,0.0583363,0.0114779
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,hard_p_grb_win,st-k2-i,483,2571,16628,938,dc2e33992b6865a594e8e6227bf679071e26afcaf4e0c5a3f4ceb9a72935893d,2,0,0,938,27,188,40,255,1558,453,7784,0.0394697,0.0072968
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,hard_p_grb_win,st-k2-p-core,709,3472,18934,490,d67c8271129f33d3dc16bc1adf2817363c8779841c2545d337cccc0d40bbec83,2,226,0,490,928,188,40,481,1835,623,8426,0.0422048,0.0076597
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,hard_p_grb_win,st-k2-p-extended,717,3517,19364,472,27b6141e7912bc268703d70b073230a716aa67bb95233e9888259bd2f2fb66ee,2,226,8,472,973,188,40,489,1858,631,8443,0.0433255,0.0079229
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,st-k2-i,1041,6012,43069,930,c97f5629e4e61f91d67428e37da25840f2a7f7dbbc69ba49a4fce6567e855bce,2,0,0,930,27,447,100,494,2930,986,15355,0.0714127,0.014172
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,st-k2-p-core,1263,6897,45334,490,439e4aa5ff0fff49ad2614397cb235d76ed37c7bc3f4775dde639d51585066d1,2,222,0,490,912,447,100,716,3202,1153,15985,0.0766226,0.0146623
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,st-k2-p-extended,1271,6942,45764,472,1a6fc06f5ba8f321b313daa4c0aee980e1d77a5a80e104708ca62bcfb534347d,2,222,8,472,957,447,100,724,3220,1161,15930,0.0763096,0.0162699
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,st-k2-i,1406,16452,166791,1240,6691afc2ca47bdb14280e58be1e2929dfab5d642fce81fd21e9234643940f075,2,0,0,1240,31,609,120,677,16023,1340,164639,0.2487933,0.0459791
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,st-k2-p-core,1676,17529,169548,704,7cf2305e8826ec6678222d6e4ca53f72abec9c490b097e28e1843380811255cb,2,270,0,704,1108,609,120,947,16354,1543,165406,0.2230848,0.0464976
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,st-k2-p-extended,1684,17574,170103,686,68de3f7044404283753b47aa722a250f9403eebd2f960445e16bdddbbfe1eea7,2,270,8,686,1153,609,120,955,16379,1551,165477,0.2257957,0.0544782
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,st-k2-i,1406,16452,167088,1240,e4f7b189f5bc930f984bfc6312a542d22984e8022c141abeebe81e30554ba09b,2,0,0,1240,31,609,120,677,16168,1344,166327,0.3923059,0.0460846
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,st-k2-p-core,1676,17529,169845,704,1693154241130c30f9715276f1ba5af8435f0d27991a51aa498f59ba5391f722,2,270,0,704,1108,609,120,947,16499,1547,167096,0.2739058,0.0513685
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,st-k2-p-extended,1684,17574,170400,686,b1f2ac20b9e8aa505934d96bcb468166baf4ce93a0cd3f2ac82fc61970272815,2,270,8,686,1153,609,120,955,16524,1555,167167,0.2257922,0.0471164
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,st-k2-i,769,4316,30669,965,67d8d18755dd557d45c3627e405f748ca5d936bc497f30e726170111f32caa25,2,0,0,965,27,321,70,378,4546,727,34123,0.0609381,0.0115972
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,st-k2-p-core,1007,5265,33098,493,5c1b2a412c3ba8e69c40e9de2d5d986a454946769adcf8bc92c4c4c02be3616e,2,238,0,493,976,321,70,616,4842,906,34831,0.0635496,0.0122526
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,st-k2-p-extended,1015,5310,33514,475,0a15363903ae4a091a2c964a9f5262b6201adc2cf09cc4dde4d8146fbd364e05,2,238,8,475,1021,321,70,624,4856,914,34730,0.061324,0.011888
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,st-k2-i,1408,16461,167669,1256,d2bdf315b15a9025e82e9c63c28293fc4aed815847a444621a62eff8b7808c30,2,0,0,1256,31,610,120,678,16957,1346,173812,0.246504,0.04792
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,st-k2-p-core,1682,17554,170467,712,98bbf2251e0cea65298748de77af31afc3ebc806184f6425870b0657c847ff79,2,274,0,712,1124,610,120,952,17295,1552,174619,0.2447677,0.0509324
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,st-k2-p-extended,1690,17599,171008,694,6c91ce7a6564853d6ee25db6e63b3e1bddbea4bffd5c04571a57e7cb9b1fdad3,2,274,8,694,1169,610,120,960,17310,1560,174516,0.2436732,0.0481341
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,st-k2-i,730,2740,14619,679,d428a86d42720800d189c30539a458796894f9ac06bd6d86d0b86ef150d3975b,2,0,0,679,23,310,80,340,2956,688,16691,0.0587114,0.0066081
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,st-k2-p-core,908,3449,16433,327,5cafb2bccd4d0261d67561d0cb96bcb8acbc640112b78707166a5a81651f346f,2,178,0,327,732,310,80,518,3174,822,17210,0.0391678,0.0070619
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,st-k2-p-extended,916,3494,16744,309,24dec6b535327948b8cbb6c3a070e4c49a53df538aee6d2cb3b6236032e8fb2c,2,178,8,309,777,310,80,526,3186,829,17232,0.0366266,0.0066666
