phase,instance_id,deterministic_field_count,mismatch_count,mismatched_fields,implicit_trajectory_sha256,explicit_trajectory_sha256,trajectory_hash_match,common_exactness_gate,default_equivalence_passed
pre,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,25,0,,bcb1cbd68869d42b25f592db4e0c3513c059293252b60a5bc0e8de9afc4f5744,bcb1cbd68869d42b25f592db4e0c3513c059293252b60a5bc0e8de9afc4f5744,True,True,True
pre,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,25,0,,a749fc0ffa0a6cea83f858f0403b2fffd18f6d3281cedf49a5a724be7d938606,a749fc0ffa0a6cea83f858f0403b2fffd18f6d3281cedf49a5a724be7d938606,True,True,True
pre,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,25,0,,046e5192ed27876bc9bd36bc12164c22d37da5786d8e0d5dba6bdbf4f12485a6,046e5192ed27876bc9bd36bc12164c22d37da5786d8e0d5dba6bdbf4f12485a6,True,True,True
