run_id,instance_id,diagnostic_role,arm,solve,process_cap_seconds,executable_sha256,return_code,watchdog_timeout,status,objective,valid_lower_bound,verified_upper_bound,relative_gap,strict_certificate,original_problem_verifier_passed,parameter_roundtrip_valid,hga_startup_seconds,exact_phase_seconds,total_process_seconds,solver_work,solver_nodes,independent_integer_proof_jobs,one_native_mip_job,model_sha256,model_variables,model_linear_constraints,model_nonzeros,model_general_constraints,accepted_outcome,false_certificate
direct_root_reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__k1,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,easy_p_grb_win,root-reference-k1,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0,0.0,0.0,0.0,False,True,True,2.6275924,0.08610650000000009,2.7205114,0.013606083792931512,0.0,0,False,7eeaae70fb0053798420bfcee41a4b4d8bcb21c1c5f7e03c737bfe281296acdc,483,2534,15415,0,True,False
direct_root_reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__left,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,easy_p_grb_win,root-reference-left,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0,0.0,0.0,0.0,False,True,True,2.6366618,0.08173530000000007,2.7235841,0.013606083792931512,0.0,0,False,7eeaae70fb0053798420bfcee41a4b4d8bcb21c1c5f7e03c737bfe281296acdc,483,2534,15415,0,True,False
direct_root_reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__right,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,easy_p_grb_win,root-reference-right,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0,0.0,0.0,0.0,False,True,True,2.6885022,0.08018050000000043,2.7738425,0.013606083792931512,0.0,0,False,7eeaae70fb0053798420bfcee41a4b4d8bcb21c1c5f7e03c737bfe281296acdc,483,2534,15415,0,True,False
direct_root_reference__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__k1,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,largest_easy_p_grb_win,root-reference-k1,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.021337006039780566,0.010498080262726556,0.021337006039780566,0.5079871916821879,False,True,True,5.2070124,0.3916320999999998,5.6052041,0.3378020248210141,0.0,0,False,2fcc99b0974c2e3237ba9bbd3aca1f4d74f00aefedc1671adf61485916523c2b,1406,16431,167548,0,True,False
direct_root_reference__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__left,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,largest_easy_p_grb_win,root-reference-left,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.021337006039780566,0.011299500847048415,0.021337006039780566,0.47042706807216983,False,True,True,5.1628727,0.42397110000000016,5.5932483,0.4410283645946698,0.0,0,False,b15703f0a5c497d964a58800f29622511e2da308fa3994f01d503babb7b27971,1406,16431,167548,0,True,False
direct_root_reference__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__right,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,largest_easy_p_grb_win,root-reference-right,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.021337006039780566,0.01773750003066519,0.021337006039780566,0.1686978014818238,False,True,True,5.1913448,0.4032365999999996,5.6017782,0.34948742412660716,0.0,0,False,e1029eec9065ac3b2544aba367b8cb589edb9deadd71221a49d5b15d22541c4a,1406,16432,167702,0,True,False
direct_root_reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__k1,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win,root-reference-k1,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.8585174613256055,0.5007539094489198,0.8585174613256055,0.41672251059899934,False,True,True,0.3674805,0.10095950000000004,0.4714513,0.03851145820722245,0.0,0,False,8362a935bdedd2bf3990008ed1c7ad28b8ca5862a9c7cb23b54316661e6bbcf4,475,2523,16607,0,True,False
direct_root_reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__left,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win,root-reference-left,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.8585174613256055,0.5170475184740035,0.8585174613256055,0.3977437364224959,False,True,True,0.3820673,0.07088339999999999,0.4560642,0.0401737020461704,0.0,0,False,b7d4ada157e3ee8db4e8446509bb41b429b35578720f2359b381e1fbf8df316d,475,2523,16607,0,True,False
direct_root_reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__right,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win,root-reference-right,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.8585174613256055,0.8322826032429366,0.8585174613256055,0.030558327890222073,False,True,True,0.3607622,0.070023,0.4338261,0.03701093907932704,0.0,0,False,7b00fdf0f0b50199b1b0021c7ce5ad0f1b7b85cd903a39b7a6d65a4b28d9ed30,475,2523,16723,0,True,False
direct_root_reference__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__k1,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,hard_p_grb_win,root-reference-k1,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.921663128891689,0.5026571225758326,0.921663128891689,0.4546194734075086,False,True,True,0.2768056,0.0695926,0.3495787,0.03985443846475633,0.0,0,False,a78c9322c6b34abbe8b8510388894df0f8ab1405997258beaa53d6598ea23c9a,481,2544,16523,0,True,False
