run_id,instance_id,diagnostic_role,arm,solve,process_cap_seconds,executable_sha256,return_code,watchdog_timeout,status,objective,valid_lower_bound,verified_upper_bound,relative_gap,strict_certificate,original_problem_verifier_passed,parameter_roundtrip_valid,hga_startup_seconds,exact_phase_seconds,total_process_seconds,solver_work,solver_nodes,independent_integer_proof_jobs,one_native_mip_job,model_sha256,model_variables,model_linear_constraints,model_nonzeros,model_general_constraints,accepted_outcome,false_certificate
direct_root_reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k1,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,root-reference-k1,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.506422789224163,0.09394825539359326,0.506422789224163,0.8144865172092246,False,True,True,2.1174686,0.44585589999999975,2.568599,0.39589217087371414,0.0,0,False,b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,1404,16421,166961,0,True,False
direct_root_reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__left,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,root-reference-left,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.506422789224163,0.09394825539359326,0.506422789224163,0.8144865172092246,False,True,True,2.0686288,0.4694639999999999,2.5439076,0.41652007267706936,0.0,0,False,5ce0f71215174c5f2c2269ca4cacdc0a69ca35d9e742531e9592da347a576763,1404,16421,166961,0,True,False
direct_root_reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__right,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,root-reference-right,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.506422789224163,0.32496933294190883,0.506422789224163,0.3583042867408077,False,True,True,2.1390953,0.4733491999999999,2.6174727,0.4336477349689747,0.0,0,False,4540c2f313b4709ac21f265af599cce85419b50ca64992743376f05d28aee587,1404,16421,167107,0,True,False
direct_root_reference__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,root-reference-k1,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.049468682614419446,0.0209774956074392,0.049468682614419446,0.5759439205012397,False,True,True,2.2802869,0.4389898999999997,2.7287532,0.36591833126503104,0.0,0,False,30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,1406,16430,167542,0,True,False
direct_root_reference__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__left,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,root-reference-left,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.049468682614419446,0.024872307366954508,0.049468682614419446,0.49721104237159186,False,True,True,2.2869963,0.431254,2.7228474,0.3571959143004332,0.0,0,False,60cbc736afdf0fd2b55e25801b920c62339b514b9b0e4e0939387d020c6f6f6a,1406,16430,167542,0,True,False
direct_root_reference__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__right,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,root-reference-right,root-lp,300.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,round41_root_reference_complete,0.049468682614419446,0.03764950371085417,0.049468682614419446,0.23892245111294208,False,True,True,2.2502056,0.4302178999999997,2.6850536,0.3679263157925056,0.0,0,False,6761c60cd46972c67a5047dfd419a69e5c6fa25198bdb24cdccd0e8b031ab08f,1406,16434,167714,0,True,False
reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__external-k1,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,external-k1,mip,1800.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,optimal,0.506343307565206,0.5063432868918758,0.506343307565206,4.0828682536125e-08,True,True,True,2.0221286,406.5588261,408.5862319,739.7839003001452,24652.0,1,True,,0,0,0,0,True,False
reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__external-k4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,external-k4,mip,1800.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,optimal,0.506343307565206,0.5063433075652044,0.506343307565206,3.0696806124470356e-15,True,True,True,2.0383391,74.7889798,76.8324106,133.73490192498448,7878.0,7,False,,0,0,0,0,True,False
reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__p-grb,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,p-grb,mip,1800.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,time_limit,0.506343307565206,0.333948389500627,0.506343307565206,0.3404704189605158,False,True,True,0.0,1780.4513339,1780.4513339,3022.4288251762955,866259.0,1,True,,0,0,0,0,True,False
reference__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__external-k1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,external-k1,mip,1800.0,572834f01bf923ae0026300b4f6a5b88f9ca78db27cc0bb38b39938de836fcdd,0,False,optimal,0.04500155005562836,0.04500155005562837,0.04500155005562836,0.0,True,True,True,2.1550148,1339.2960302,1341.4556728,3052.419542372892,37107.0,1,True,,0,0,0,0,True,False
