round_id,serial_order,instance_id,instance_sha256,diagnostic_role,difficulty_stratum,V,M,Q,root_lp_cap_seconds,exact_cap_seconds,one_thread,gurobi_seed,gurobi_presolve,relative_gap,absolute_gap,selection_basis
41,1,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,14f4cca30de0990091cebdfd38bd9bb29b0998737fbfa8a2db8e096847ff6097,easy_p_grb_win,small-easy,10,1,30,300,300,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,2,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,587737b9d000c1712220232a0fe957073f1f03ac649a63a4775abd9166603acd,largest_easy_p_grb_win,small-easy,12,3,30,300,300,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,3,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_fragmentation_regression,small-medium,12,3,30,300,1800,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,4,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fcbe294480dcacf0303cc2dc12c948335d8d8c8f4f875de2feb58ae21ed83bbb,additional_medium_c6_win,small-medium,8,3,30,300,900,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,5,round39_small_medium_V10_M2_Q20_slot05_seed968549317,26d880932532ff3cff9602b44f5451acc7c47d6642a0faa5c23392bc77c83e4a,additional_medium_c6_win,small-medium,10,2,20,300,900,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,6,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,065d0f472f63fb8fe2f6e82c0834e9622db12c64af879f96bd576660c39272c9,hard_p_grb_win,small-hard,10,1,30,300,900,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,7,round39_small_hard_V10_M1_Q20_slot01_seed561355351,08cc363f365dec28647189686a8f1d7081f922d88e40c1ccac9c42e1b696893c,hard_p_grb_win,small-hard,10,1,20,300,900,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,8,round39_small_hard_V12_M3_Q20_slot07_seed621538683,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,numerical_fail_closed_endpoint,small-hard,12,3,20,300,900,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,9,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strongest_k4_positive_control,small-hard,12,3,30,300,1800,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
41,10,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,additional_hard_c6_win,small-hard,10,3,20,300,900,True,0,-1,0.0,0.0,unchanged_round40_predeclared_diagnostic_panel
