interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason
0,0,0.150176109171,0.31574776659,0.600704436685,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,94.6779198,cheap_projection_bound,gamma_floor|cheap_projection_bound,fixed,,,,0,0,0,
1,0.150176109171,0.300352218343,0.450176109171,0.600704436685,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,89.446644,cheap_projection_bound,gamma_floor|cheap_projection_bound,fixed,,,,0,0,0,
2,0.300352218343,0.450528327514,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,16.0425409,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,
3,0.450528327514,0.600704436685,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,0.0004533,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
4,0,0.0750880545856,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,18.8570865,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,
5,0.0750880545856,0.150176109171,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,44.7968688,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,
6,0.150176109171,0.225264163757,0.450176109171,0.600704436685,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,89.4652642,adaptive_split_inherited_cheap_projection_bound,gamma_floor|adaptive_split_inherited_parent_lb,fixed,,,,0,0,0,
7,0.225264163757,0.300352218343,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,18.2592772,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,
8,0.150176109171,0.187720136464,0.450176109171,0.600704436685,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,89.4631938,adaptive_split_inherited_adaptive_split_inherited_cheap_projection_bound,gamma_floor|adaptive_split_inherited_parent_lb,fixed,,,,0,0,0,
9,0.187720136464,0.225264163757,0.450176109171,0.600704436685,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,88.2786271,adaptive_split_inherited_parent_lb,gamma_floor|adaptive_split_inherited_parent_lb,fixed,,,,0,0,0,
10,0.150176109171,0.168948122818,0.450176109171,0.600704436685,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,81.9081233,adaptive_split_inherited_adaptive_split_inherited_adaptive_split_inherited_cheap_projection_bound,gamma_floor|adaptive_split_inherited_parent_lb,fixed,,,,0,0,0,
11,0.168948122818,0.187720136464,0.450176109171,0.600704436685,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,0,adaptive_split_inherited_adaptive_split_inherited_adaptive_split_inherited_cheap_projection_bound,gamma_floor|adaptive_split_inherited_parent_lb,fixed,,,,0,0,0,
