row,input,time_limit_seconds,wall_timeout_seconds,result_json
v4_smoke,testdata/examples/gcap_smoke_V4_M1.txt,30,90,results\sealed_pipeline_completion_round\raw\v4_smoke.json
v12_m2_300s,reference/regen_candidate_V12_M2_average.txt,300,420,results\sealed_pipeline_completion_round\raw\v12_m2_300s.json
v12_m1_600s,reference/regen_candidate_V12_M1_average.txt,600,780,results\sealed_pipeline_completion_round\raw\v12_m1_600s.json
high_imbalance_seed3201,reference/hard_stress/V20_M3/high_imbalance_seed3201.txt,1200,1500,results\sealed_pipeline_completion_round\raw\high_imbalance_seed3201.json
high_imbalance_seed3202,reference/hard_stress/V20_M3/high_imbalance_seed3202.txt,1200,1500,results\sealed_pipeline_completion_round\raw\high_imbalance_seed3202.json
tight_T_seed3101,reference/hard_stress/V20_M3/tight_T_seed3101.txt,1200,1500,results\sealed_pipeline_completion_round\raw\tight_T_seed3101.json
tight_T_seed3102,reference/hard_stress/V20_M3/tight_T_seed3102.txt,1200,1500,results\sealed_pipeline_completion_round\raw\tight_T_seed3102.json
moderate_seed3301,reference/hard_stress/V20_M3/moderate_seed3301.txt,1800,2100,results\sealed_pipeline_completion_round\raw\moderate_seed3301.json
moderate_seed3302,reference/hard_stress/V20_M3/moderate_seed3302.txt,1200,1500,results\sealed_pipeline_completion_round\raw\moderate_seed3302.json
