row,input,instance_scope,V,M,time_limit_seconds,wall_timeout_seconds,status,objective,lower_bound,upper_bound,gap,runtime_seconds,certified_original_problem,verifier_passed,sealed_run,finalization_source,last_progress_event,plateau_reason,unresolved_intervals,open_nodes,auto_interval_oracle_called,auto_interval_oracle_leaves_attempted,auto_interval_oracle_leaves_closed,auto_interval_oracle_remaining_open_leaves,full_ledger_merge_status,bpc_fallback_auto_called,progress_log,ub_event_log,result_json
high_imbalance_seed3201,reference/hard_stress/V20_M3/high_imbalance_seed3201.txt,hard_generated_v20_m3,20,3,1200,1500,interrupted_noncertified,2.44340319194,1.50460803,2.44340319194,0.384216229658,1235.7697324,False,True,True,interrupted_checkpoint,final_summary,checkpoint_oracle_timeout,3,3,True,1,0,3,checkpoint_oracle_diagnostic_unresolved,False,results\sealed_pipeline_completion_round\raw\high_imbalance_seed3201.progress.csv,results\sealed_pipeline_completion_round\raw\high_imbalance_seed3201.ub_events.csv,results\sealed_pipeline_completion_round\raw\high_imbalance_seed3201.json
tight_T_seed3102,reference/hard_stress/V20_M3/tight_T_seed3102.txt,hard_generated_v20_m3,20,3,1200,1500,interrupted_noncertified,0.600704436685,0.450176109171,0.600704436685,0.250586342169,526.9223138,False,True,True,wrapper_checkpoint,adaptive_split_child_8,checkpoint_oracle_timeout,1,1,True,1,0,1,checkpoint_oracle_diagnostic_unresolved,False,results\sealed_pipeline_completion_round\raw\tight_T_seed3102.progress.csv,results\sealed_pipeline_completion_round\raw\tight_T_seed3102.ub_events.csv,results\sealed_pipeline_completion_round\raw\tight_T_seed3102.json
moderate_seed3301,reference/hard_stress/V20_M3/moderate_seed3301.txt,hard_generated_v20_m3,20,3,1800,2100,interrupted_noncertified,0.0491525526647,0.00921610362464,0.0491525526647,0.8125,1160.592964,False,True,True,interrupted_checkpoint,adaptive_split_child_19,checkpoint_oracle_diagnostic_unresolved,10,10,True,1,1,9,checkpoint_oracle_closed_controlling_leaf_but_full_ledger_incomplete,False,results\sealed_pipeline_completion_round\raw\moderate_seed3301.progress.csv,results\sealed_pipeline_completion_round\raw\moderate_seed3301.ub_events.csv,results\sealed_pipeline_completion_round\raw\moderate_seed3301.json
moderate_seed3302,reference/hard_stress/V20_M3/moderate_seed3302.txt,hard_generated_v20_m3,20,3,1200,1500,interrupted_noncertified,0.195636206549,0.0252187297505,0.195636206549,0.87109375,1099.226128,False,True,True,interrupted_checkpoint,focused_split_child_21,checkpoint_oracle_timeout,6,6,True,1,0,6,checkpoint_oracle_diagnostic_unresolved,False,results\sealed_pipeline_completion_round\raw\moderate_seed3302.progress.csv,results\sealed_pipeline_completion_round\raw\moderate_seed3302.ub_events.csv,results\sealed_pipeline_completion_round\raw\moderate_seed3302.json
