source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,model_type,bound_valid,bound_scope,can_merge_bound,gap_to_cutoff,bound_used_for_merge,closed_by_bound,gini_spread_cuts_added,required_movement_lb,required_movement_cuts_added,global_handling_capacity_lb,global_handling_capacity_cuts_added,transfer_subset_capacity_cuts_added,low_gini_ratio_band_domains_tightened,direct_gini_cap_rows,tight_mccormick_rows,inventory_conservation_rows,movement_reachability_domains,visit_inventory_linking_rows,objective_estimator_cutoff_rows,penalty_lb,support_duration_pair_cuts,support_duration_triple_cuts,transfer_compatibility_cuts,receiver_source_cover_cuts,oracle_strengthening_families_enabled,json_path,lp_path,log_path,interval_lower_bound,incumbent_upper_bound,interval_status,reason,requires_pricing_closure,pricing_closure_available,interval_bound_valid,interval_closure_source,interval_closure_source_detail,interval_requires_pricing_closure,interval_pricing_closure_satisfied,interval_oracle_used_for_certificate,interval_oracle_is_diagnostic_only,interval_relaxation_bound_valid,interval_bpc_tree_nodes,interval_bpc_pricing_calls,interval_bpc_exact_pricing_closed,interval_final_lb,interval_final_ub_cutoff,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason,oracle_bound_merged,oracle_bound_value,oracle_bound_status,oracle_bound_source_json,oracle_bound_solver_status,oracle_bound_model_type,oracle_bound_valid,lower_bound_before_oracle,lower_bound_after_oracle,lower_bound_improvement_by_oracle,leaf_closed_by_oracle_bound
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048809709088,0,120.403667,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000342833576745,0.048809709088,false,190,31,5,3360,1,0,13,1,452,2,4,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_auto_oracle\interval_2.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_1118153023\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,1.5962942,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,50,9,4200,1,0,18,1,452,2,3,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure|dynamic_root,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_auto_oracle\interval_3.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_1118273435\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.044390657922,0,30.1870503,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00476188474275,0.044390657922,false,190,24,3,2760,1,0,11,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_1.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_1127422537\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048432362662,0,30.1795924,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000720180002745,0.048432362662,false,190,31,5,3360,1,0,13,1,452,2,4,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_2.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_1127452732\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7095767,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,50,9,4200,1,0,18,1,452,2,3,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_3.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_1127482919\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,7,0.00921610362464,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,2.2713789,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_7.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_7.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9216104_12288138_1127483635\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,10,0.00768008635387,0.00844809498925,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7942523,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_10.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_10.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_7680086_8448095_1127485912\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,11,0.00844809498925,0.00921610362464,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7135893,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_11.json,results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s_static30_auto_oracle\interval_11.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_8448095_9216104_1127486713\interval_cutoff.cplex.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s.intervals.csv,0,0,0.0122881381662,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0491525526647,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0,0.0491525526647,0,1,0,0,0,0,0,29.7740107,gamma_floor,gamma_floor,fixed,,,,0,0,0,,,,,,,,,,,,
results\gf_compact_bc_timeprofile_round\raw\exact_moderate_seed3301_300s.intervals.csv,1,0.0122881381662,0.0245762763324,,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0122881381662,0.0491525526647,replaced_by_children,split_parent_replaced,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.0122881381662,0.0491525526647,0,1,0,0,0,0,0,29.4231193,gamma_floor,gamma_floor,fixed,,,,0,0,0,,,,,,,,,,,,
