progress_log,checkpoints,first_gap,best_gap,final_gap,final_time_seconds
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_1200s.progress.csv,22,1.0,0.75,0.75,569.3108016
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_1200s_static300.progress.csv,22,1.0,0.75,0.83984375,624.9010444
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_300s.progress.csv,16,1.0,0.75,0.75,300.8928872
results\gf_compact_bc_timeprofile_round\progress_traces\exact_moderate_seed3301_300s_static30.progress.csv,16,1.0,0.75,0.84375,305.4513768
