leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.002892976588628764,0,1e+100,empty,1,1,0,0.0067198377260797755,0,1,0,0,"c6_native_target_phase_infeasible","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L1,"",0,-1,0.002892976588628764,0.005785953177257528,0.002892976588628764,1e+100,empty,1,1,0,0.0079532236309364998,0,1,0,0,"c6_native_target_phase_infeasible","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L2,"",0,-1,0.005785953177257528,0.008678929765886292,0.005785953177257528,1e+100,empty,1,1,0,0.0092457095890019457,0,1,0,0,"c6_native_target_phase_infeasible","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L3,"",0,-1,0.008678929765886292,0.011571906354515056,0.008678929765886292,0.010930683286484905,replaced,1,1,0,0.010930683286484905,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L3.0,"L3",1,0,0.008678929765886292,0.010125418060200675,0.010930683286484905,0.010930683286484905,replaced,1,1,0,0.010930683286484905,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.1,"L3",1,1,0.010125418060200675,0.011571906354515056,0.010930683286484905,0.011571906354515056,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L3.0.0,"L3.0",2,0,0.008678929765886292,0.0094021739130434843,0.011000133091223848,1e+100,empty,1,1,0,0.011000133091223848,0,1,0,0,"c6_native_target_phase_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound"
L3.0.1,"L3.0",2,1,0.0094021739130434843,0.010125418060200675,0.011425913602418902,0.011425913602418902,replaced,1,1,0,0.011425913602418902,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0.1.0,"L3.0.1",3,0,0.0094021739130434843,0.0097637959866220796,0.011426562322322472,0.011426562322322472,replaced,1,1,0,0.011426562322322472,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0.1.1,"L3.0.1",3,1,0.0097637959866220796,0.010125418060200675,0.011425913602418902,0.011571906354515056,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L3.0.1.0.0,"L3.0.1.0",4,0,0.0094021739130434843,0.0095829849498327811,0.011447005790024403,1e+100,empty,1,1,0,0.011447005790024403,0,1,0,0,"c6_native_target_phase_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound"
L3.0.1.0.1,"L3.0.1.0",4,1,0.0095829849498327811,0.0097637959866220796,0.011550045991575743,0.011550045991575743,replaced,1,1,0,0.011550045991575743,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0.1.0.1.0,"L3.0.1.0.1",5,0,0.0095829849498327811,0.0096733904682274295,0.011550567346806321,0.011571906354515056,closed,1,1,0,0.011550567346806321,1,0,0,0,"native_terminal_mip_optimal","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
L3.0.1.0.1.1,"L3.0.1.0.1",5,1,0.0096733904682274295,0.0097637959866220796,0.011550045991575743,0.011571906354515056,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
