interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
9,0,aggregate,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,-0.316885599892
9,0,aggregate,2,1,0,1,0,0,0,0,0,0,0,22,0,1,1,-0.205370606293
9,0,aggregate,3,1,0,1,0,0,0,0,0,0,0,187,0,1,0,0.122527677806
9,0,aggregate,4,1,0,1,0,0,0,0,0,0,0,189,0,1,0,0.532447491942
9,0,aggregate,5,3,0,3,0,0,0,0,0,0,0,569,0,3,0,0.53508320837
9,0,aggregate,6,38,0,38,0,0,0,0,0,0,0,4615,0,38,0,0.535967445137
9,0,aggregate,7,516,0,516,12,0,0,0,0,0,0,32523,0,292,0,0.632223113554
9,0,aggregate,8,4711,0,4711,1989,0,0,0,0,0,0,162036,0,1477,0,0.650649055761
9,0,aggregate,9,29125,0,29125,27400,0,0,0,0,0,0,581269,0,2043,0,0.806263781067
9,0,aggregate,10,125926,0,125926,194449,0,0,0,0,0,0,1577397,0,3477,0,0.821146272849
9,0,aggregate,11,386644,0,386644,872612,0,0,0,0,0,0,3399115,0,3561,0,0.99568329383
9,0,aggregate,12,866237,0,866237,2613557,0,0,0,0,0,0,5884967,0,3716,0,1.08550751578
9,0,aggregate,13,1518429,0,1518429,5411462,0,0,0,0,0,0,8223361,0,154,0,1.29786024866
9,0,aggregate,14,2320657,0,2320657,8308344,0,0,0,0,0,0,9191626,0,6,0,1.38725908461
9,0,aggregate,15,3246564,0,3246564,10677376,0,0,0,0,0,0,7882039,0,0,0,
9,0,aggregate,16,3750596,0,3750596,12482221,0,0,0,0,0,0,4845989,0,0,0,
9,0,aggregate,17,2998671,0,2998671,12003711,0,0,0,0,0,0,1909008,0,0,0,
9,0,aggregate,18,1388787,0,1388787,7607225,0,0,0,0,0,0,385789,0,0,0,
9,0,aggregate,19,297861,0,297861,2479713,0,0,0,0,0,0,24969,0,0,0,
9,0,aggregate,20,19656,0,19656,278205,0,0,0,0,0,0,60,0,0,0,
