interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,json_path,lp_path,log_path
1,0.0489090516373,0.0978181032745,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.14322218711,0,20.0903174,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_48909052_97818103_854087020\interval_cutoff.cplex.log
1_d1_0,0.0489090516373,0.0733635774559,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.14203673952,0,20.0859943,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_0.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_0.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_48909052_73363577_854107119\interval_cutoff.cplex.log
1_d1_1,0.0733635774559,0.0978181032745,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.15506037384,0,20.0880117,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_1.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_73363577_97818103_854127211\interval_cutoff.cplex.log
5,0.0244545258186,0.0489090516373,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.13601696591,0,20.0867261,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_24454526_48909052_854147307\interval_cutoff.cplex.log
5_d1_0,0.0244545258186,0.0366817887279,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.13755544612,0,20.0897445,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_0.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_0.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_24454526_36681789_854167399\interval_cutoff.cplex.log
5_d1_1,0.0366817887279,0.0489090516373,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.13944877139,0,20.085192,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_1.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_36681789_48909052_854187496\interval_cutoff.cplex.log
6,0,0.0122272629093,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,3.3197488,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_6.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_6.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_0_12227263_854207588\interval_cutoff.cplex.log
7,0.0122272629093,0.0244545258186,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.14987442597,0,20.0901658,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_12227263_24454526_854210913\interval_cutoff.cplex.log
7_d1_0,0.0122272629093,0.018340894364,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.17950096058,0,20.0847419,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_0.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_0.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_12227263_18340894_854231011\interval_cutoff.cplex.log
7_d1_1,0.018340894364,0.0244545258186,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.15189775312,0,20.1024955,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_1.lp,results\interval_cutoff_work\moderate_seed3302_interval_cutoff_18340894_24454526_854251104\interval_cutoff.cplex.log
