interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,json_path,lp_path,log_path
1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.042940740091,0,20.0956993,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_851606733\interval_cutoff.cplex.log
1_d1_0,0.0122881381662,0.0184322072493,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,6.2497678,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_0.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_18432207_851626836\interval_cutoff.cplex.log
1_d1_1,0.0184322072493,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.045610809451,0,20.0976885,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_1.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_24576276_851633092\interval_cutoff.cplex.log
2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048415998548,0,20.0907313,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_851653195\interval_cutoff.cplex.log
2_d1_0,0.0245762763324,0.0307203454155,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.047961703528,0,20.0869331,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_0.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_30720345_851673292\interval_cutoff.cplex.log
2_d1_1,0.0307203454155,0.0368644144986,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.4275952,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_1.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_30720345_36864414_851693386\interval_cutoff.cplex.log
3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.6551777,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_3.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_851693817\interval_cutoff.cplex.log
9,0.0107521208954,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.846318,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_9.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_9.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_10752121_12288138_851694481\interval_cutoff.cplex.log
10,0.00921610362464,0.00998411226003,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7882722,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_10.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_10.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9216104_9984112_851695335\interval_cutoff.cplex.log
11,0.00998411226003,0.0107521208954,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7560381,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_11.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_11.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9984112_10752121_851696129\interval_cutoff.cplex.log
