parent_id,parent_bound,child_id,child_inherited_bound,inheritance_valid,source
R,1.73413,R.0,1.73413,true,"inherited_complete_parent_lp_bound"
R,1.73413,R.1,1.73413,true,"inherited_complete_parent_lp_bound"
R.0,2.20483,R.0.0,2.20483,true,"inherited_complete_parent_lp_bound"
R.0,2.20483,R.0.1,2.20483,true,"inherited_complete_parent_lp_bound"
R.1,1.98026,R.1.0,1.98026,true,"inherited_complete_parent_lp_bound"
R.1,1.98026,R.1.1,1.98026,true,"inherited_complete_parent_lp_bound"
R.1.0,1.98143,R.1.0.0,1.98143,true,"inherited_complete_parent_lp_bound"
R.1.0,1.98143,R.1.0.1,1.98143,true,"inherited_complete_parent_lp_bound"
R.1.1,2.19766,R.1.1.0,2.19766,true,"inherited_complete_parent_lp_bound"
R.1.1,2.19766,R.1.1.1,2.19766,true,"inherited_complete_parent_lp_bound"
R.1.0.1,2.07891,R.1.0.1.0,2.07891,true,"inherited_complete_parent_lp_bound"
R.1.0.1,2.07891,R.1.0.1.1,2.07891,true,"inherited_complete_parent_lp_bound"
R.1.0.0,1.98833,R.1.0.0.0,1.98833,true,"inherited_complete_parent_lp_bound"
R.1.0.0,1.98833,R.1.0.0.1,1.98833,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1,2.02248,R.1.0.0.1.0,2.02248,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1,2.02248,R.1.0.0.1.1,2.02248,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0,2.00152,R.1.0.0.0.0,2.00152,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0,2.00152,R.1.0.0.0.1,2.00152,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0,2.12008,R.1.0.0.0.0.0,2.12008,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0,2.12008,R.1.0.0.0.0.1,2.12008,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1,2.01133,R.1.0.0.0.1.0,2.01133,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1,2.01133,R.1.0.0.0.1.1,2.01133,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0,2.04043,R.1.0.0.0.1.0.0,2.04043,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.0,2.04043,R.1.0.0.0.1.0.1,2.04043,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1,2.01632,R.1.0.0.0.1.1.0,2.01632,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1,2.01632,R.1.0.0.0.1.1.1,2.01632,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0,2.02127,R.1.0.0.0.1.1.0.0,2.02127,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0,2.02127,R.1.0.0.0.1.1.0.1,2.02127,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1,2.01889,R.1.0.0.0.1.1.1.0,2.01889,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1,2.01889,R.1.0.0.0.1.1.1.1,2.01889,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.1,2.02069,R.1.0.0.0.1.1.1.1.0,2.02069,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.1,2.02069,R.1.0.0.0.1.1.1.1.1,2.02069,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.0,2.02004,R.1.0.0.0.1.1.1.0.0,2.02004,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.0,2.02004,R.1.0.0.0.1.1.1.0.1,2.02004,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.0.0,2.02163,R.1.0.0.0.1.1.1.0.0.0,2.02163,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.0.0,2.02163,R.1.0.0.0.1.1.1.0.0.1,2.02163,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.0.1,2.02063,R.1.0.0.0.1.1.1.0.1.0,2.02063,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.0.1,2.02063,R.1.0.0.0.1.1.1.0.1.1,2.02063,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.1.0,2.02076,R.1.0.0.0.1.1.1.1.0.0,2.02076,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.1.0,2.02076,R.1.0.0.0.1.1.1.1.0.1,2.02076,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.1.1,2.02181,R.1.0.0.0.1.1.1.1.1.0,2.02181,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1.1.1,2.02181,R.1.0.0.0.1.1.1.1.1.1,2.02181,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.0,2.0307,R.1.0.0.0.1.1.0.0.0,2.0307,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.0,2.0307,R.1.0.0.0.1.1.0.0.1,2.0307,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.1,2.02235,R.1.0.0.0.1.1.0.1.0,2.02235,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.1,2.02235,R.1.0.0.0.1.1.0.1.1,2.02235,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.1.1,2.02289,R.1.0.0.0.1.1.0.1.1.0,2.02289,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.1.1,2.02289,R.1.0.0.0.1.1.0.1.1.1,2.02289,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.1.0,2.02543,R.1.0.0.0.1.1.0.1.0.0,2.02543,true,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.0.1.0,2.02543,R.1.0.0.0.1.1.0.1.0.1,2.02543,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0,2.02249,R.1.0.0.1.0.0,2.02249,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0,2.02249,R.1.0.0.1.0.1,2.02249,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.1,2.04922,R.1.0.0.1.1.0,2.04922,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.1,2.04922,R.1.0.0.1.1.1,2.04922,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.1,2.03438,R.1.0.0.1.0.1.0,2.03438,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.1,2.03438,R.1.0.0.1.0.1.1,2.03438,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.0,2.02263,R.1.0.0.1.0.0.0,2.02263,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.0,2.02263,R.1.0.0.1.0.0.1,2.02263,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.0.0,2.02279,R.1.0.0.1.0.0.0.0,2.02279,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.0.0,2.02279,R.1.0.0.1.0.0.0.1,2.02279,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.0.1,2.02782,R.1.0.0.1.0.0.1.0,2.02782,true,"inherited_complete_parent_lp_bound"
R.1.0.0.1.0.0.1,2.02782,R.1.0.0.1.0.0.1.1,2.02782,true,"inherited_complete_parent_lp_bound"
