leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,presolve_observed,root_relaxation_observed,model_sha256,row_signature,native_log
R,LP,"OPTIMAL",0,270.383,0.3,0.823244,0,3619,0,0.0272504,1,0,792390f5a845437e539a88d01023ac706cbd8b2ed3d5403bddb69e913a548f41,792390f5a845437e539a88d01023ac706cbd8b2ed3d5403bddb69e913a548f41,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R_lp.gurobi.log"
R.0,LP,"OPTIMAL",0,269.932,0.198,0.560351,0,2984,0,0.027281,1,0,78700499303dc5a77b7010d9e765d1206cda4596855f9f2a53ce4611d0463dc4,78700499303dc5a77b7010d9e765d1206cda4596855f9f2a53ce4611d0463dc4,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.0_lp.gurobi.log"
R.1,LP,"OPTIMAL",0,269.582,0.251,0.700188,0,3472,0,0.027281,1,0,6a0fb2d055252a76015a76a8884b4cd133f3a1c111106a00cb8c212d4469dba6,6a0fb2d055252a76015a76a8884b4cd133f3a1c111106a00cb8c212d4469dba6,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1_lp.gurobi.log"
R.1.0,LP,"OPTIMAL",0,269.169,0.262,0.723323,0,3588,0,0.0273009,1,0,6c061b5e28ce489fa92a9a62fa96488fe755e2069f3c89da1ecce385b8279633,6c061b5e28ce489fa92a9a62fa96488fe755e2069f3c89da1ecce385b8279633,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.0_lp.gurobi.log"
R.1.1,LP,"OPTIMAL",0,268.76,0.224,0.617341,0,3356,0,0.0273009,1,0,52b3c3cc6c2d1fb87d16168a27a3047470c29dc5847bd6f4ded62f39890130cc,52b3c3cc6c2d1fb87d16168a27a3047470c29dc5847bd6f4ded62f39890130cc,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.1_lp.gurobi.log"
R.1.0.1,LP,"OPTIMAL",0,268.377,0.221,0.582092,0,3149,0,0.0292545,1,0,191b67534a4609e5e38e7bf3c1649d9ce79406138d5046dc0602ddd680017ee6,191b67534a4609e5e38e7bf3c1649d9ce79406138d5046dc0602ddd680017ee6,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.0.1_lp.gurobi.log"
R.1.0.0,LP,"OPTIMAL",0,268.003,0.238,0.630974,0,3259,0,0.0292545,1,0,827f97de332d25d6d0f73505f4c44d7c62259ab8e568d12923a4cf2b94f35784,827f97de332d25d6d0f73505f4c44d7c62259ab8e568d12923a4cf2b94f35784,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.0.0_lp.gurobi.log"
R.1.0.0.1,LP,"OPTIMAL",0,267.607,0.217,0.568409,0,2996,0,0.0292545,1,0,71a782d7caa3c933b9b72d70e88fa28adfe7e83847b20a159f1a77effe8eba5c,71a782d7caa3c933b9b72d70e88fa28adfe7e83847b20a159f1a77effe8eba5c,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.0.0.1_lp.gurobi.log"
R.1.0.0.0,LP,"OPTIMAL",0,267.233,0.274,0.714362,0,3787,0,0.0292545,1,0,299d41778c11582237136ca4c6ad3295ae9ec093371c286ce21e3bb7605e9ab8,299d41778c11582237136ca4c6ad3295ae9ec093371c286ce21e3bb7605e9ab8,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.0.0.0_lp.gurobi.log"
R.1.0.0.0.0,LP,"OPTIMAL",0,266.806,0.239,0.690129,0,3411,0,0.0292545,1,0,e95b229c28b0e5d05b69e560ffff066424ad91bd85b3da97e745fe504ce408ea,e95b229c28b0e5d05b69e560ffff066424ad91bd85b3da97e745fe504ce408ea,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.0.0.0.0_lp.gurobi.log"
R.1.0.0.0.1,LP,"OPTIMAL",0,266.414,0.244,0.676088,0,3583,0,0.0292545,1,0,86f6cd6a46d0a6eab96c02d145ad1b95d4f13a20f5d81d11f657290cb4da6409,86f6cd6a46d0a6eab96c02d145ad1b95d4f13a20f5d81d11f657290cb4da6409,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed5203__c3_replica__300s\external\native_logs\R.1.0.0.0.1_lp.gurobi.log"
