event,source,generation,source_elapsed_seconds,content_sha256,duplicate,verifier_passed,published,objective,verification_seconds,reason
0,decoded_descent_verified_improvement,0,0.0021725,34e80dfd33529cceb31e438e44417e0fb92fdb75d743c703bed70c7bfba2bad8,0,1,1,0.94294326809815487,4.6999999999999999e-06,published_monotone_verified_upper_bound
1,decoded_descent_verified_improvement,0,0.0133949,a4fa3048967cd159e0a50f8304b0e20b0becacdc64e9c4c1bf08c5a61d14e4b9,0,1,1,0.94144097015254591,4.1999999999999996e-06,published_monotone_verified_upper_bound
2,decoded_descent_verified_improvement,0,0.038585300000000003,8c417fb2b9d22716bf9a1ef47b85cb20cb21136bac7886e1ba30ead5a15c79cf,0,1,1,0.76091601060666336,4.6999999999999999e-06,published_monotone_verified_upper_bound
3,decoded_descent_verified_improvement,0,0.1023666,665e701a28e125ea629d04e6c9104130e14ff281c9c8c6b5b7e3523dff6686a3,0,1,1,0.74824001045455368,9.0999999999999993e-06,published_monotone_verified_upper_bound
4,decoded_descent_verified_improvement,0,0.17213220000000001,9f3e39b91a5e7f57b6aad222d1e409c8bbfb5d199d8b116b123d5756d9669d46,0,1,1,0.73504291264772104,8.3000000000000002e-06,published_monotone_verified_upper_bound
5,decoded_descent_verified_improvement,0,0.2442898,720576f679eb20903e256707facf87c781f5a032ee755274c3c8d6e93a126a8a,0,1,1,0.72626836507154602,8.3000000000000002e-06,published_monotone_verified_upper_bound
6,decoded_descent_verified_improvement,0,0.32708680000000001,cbcb7f68e70b2c209b1fbbf9dcaa964fda693cd36646e0c2b906cfb701d71ac0,0,1,1,0.7249680277063838,8.1999999999999994e-06,published_monotone_verified_upper_bound
7,decoded_descent_verified_improvement,0,1.5288595,52d35aa336614b4f21754d95c57d68c5a7b9373ad64c15da583b7c6ef97b1d46,0,1,1,0.69066636207311549,7.7000000000000008e-06,published_monotone_verified_upper_bound
8,decoded_descent_verified_improvement,0,2.2820412999999999,0be6ed526365f3e3d1a725b533fe0b32e991dfeb5ebe12167fd7cd75cf8d5cdb,0,1,1,0.68509277426472992,7.5000000000000002e-06,published_monotone_verified_upper_bound
9,decoded_descent_verified_improvement,0,2.3321567000000001,c2a2810e9be7d5ea647f74dbd24405bb7d934380338f9a5792988ad99e76c7e2,0,1,1,0.65128277140039725,5.8000000000000004e-06,published_monotone_verified_upper_bound
10,decoded_descent_verified_improvement,0,7.4465054999999998,66cb68bbad1c2a9777206075bdde68fa0760b66f8561481450d18462023fe0a9,0,1,1,0.63322081011706144,8.4999999999999999e-06,published_monotone_verified_upper_bound
11,decoded_descent_verified_improvement,0,7.4880392999999996,3cb0921af3b17f65948dc4d49aee251a33566213353a91a3bbd2ae10430e5859,0,1,1,0.63272979645565508,7.6000000000000001e-06,published_monotone_verified_upper_bound
12,decoded_descent_verified_improvement,0,7.5301185000000004,543c848aa362cab3c2446d63a82d855b68fe81a530262c80045d76009c9f5985,0,1,1,0.60547334433931332,5.4999999999999999e-06,published_monotone_verified_upper_bound
13,decoded_descent_verified_improvement,0,7.5732932999999996,491e7992f74575754e0473c677efbb373430a0f4c7b5cfcb44e4b4b08915435c,0,1,1,0.57416599278036062,4.8999999999999997e-06,published_monotone_verified_upper_bound
14,decoded_descent_verified_improvement,0,7.6571885000000002,82f410e02ac1a125abb7f8340daeccb1085fa1163d743439c16ef0f82c91b2eb,0,1,1,0.57377871981152706,6.9e-06,published_monotone_verified_upper_bound
15,decoded_descent_verified_improvement,0,7.7648815999999998,1daa0860bfb543368ba16cd8b3e0bd62b1a973791e7638aab9c88d3df17c872b,0,1,1,0.54465576335309818,7.4000000000000003e-06,published_monotone_verified_upper_bound
16,decoded_descent_verified_improvement,0,7.8480647000000001,998b45d335de86ee9093d6ad1d9392bfaeabd531950d0d0110d8a6e25306a569,0,1,1,0.54451059021637904,5.9000000000000003e-06,published_monotone_verified_upper_bound
