base_instance,tested,certified,noncertified,best_gap,avg_runtime_seconds
reference\regen_candidate_V12_M1_average.txt,3,0,3,0.0410197291644,60.6592991
reference\regen_candidate_V12_M2_average.txt,3,1,2,0.0,49.09843396666667
reference\generated\regen_V10_M2_average.txt,3,3,0,0.0,28.828048666666664
reference\generated\regen_V8_M2_average.txt,1,1,0,0.0,0.0007942
