leaf,gamma_L,gamma_U,variant,budget_seconds,json_path,progress_path,lp_path,status,solver_status,certified,lower_bound,upper_bound,gap,gap_to_cutoff,runtime_seconds,compact_bc_best_bound_available,compact_bc_bound_valid,best_valid_lb_seen,best_valid_gap_seen,finalization_source,final_json_uses_best_checkpoint,checkpoint_valid_rows,checkpoint_improvements,checkpoint_best_bound,checkpoint_best_time,checkpoint_best_node_count,nodes,tailored_bc_callback_cut_profile,tailored_bc_local_centering_rows_added,tailored_bc_low_gini_l1_centering_rows_added,tailored_bc_variable_s_centering_rows_added,tailored_bc_gini_subset_envelope_rows_added,tailored_bc_transfer_cutset_rows_added,compact_bc_sp_product_estimator_rows_added,compact_bc_sp_product_paper_safe,s_range_refinement_enabled,s_range_certificate_valid,s_range_global_L,s_range_global_U,thread_fairness_class,compact_bc_solver_threads,diagnostic_only,command_hash,model_lp_exists,lp_hash,lp_rows_estimated,lp_binary_markers,lp_general_markers,lp_h_vars,lp_q_l1_vars,lp_local_centering_rows,tailored_bc_subset_cross_h_centering_rows_added,tailored_bc_subset_cross_h_centering_candidates,tailored_bc_subset_cross_h_centering_violations,tailored_bc_subset_cross_h_centering_max_violation,tailored_bc_local_q_centering_rows_added,tailored_bc_local_q_centering_violations,tailored_bc_local_q_centering_max_violation,tailored_bc_compatible_source_transfer_cuts_added,tailored_bc_compatible_source_transfer_candidates,tailored_bc_required_external_source_cuts_added,parent_S_L,parent_S_U,S_domain_source,row_class,transfer_family,paper_safe_assumption
low_gini_1,0.0122881381662,0.0245762763324,callback_compatible_source_transfer,60,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_compatible_source_transfer_60s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_compatible_source_transfer_60s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_compatible_source_transfer_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0467627329577,0.0491525526647,0.0486204597207,0.0023898197070000016,60.5907562,True,True,0.0467627329577,0.0486204597207,cplex_time_limit_with_valid_best_bound,True,3,2,0.0467627329577,60.0305657,6786,6786,transfer-only,0,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,ec4f44daec7a5f45,True,b2fd9d679b1f3a49,15958,1,1,1710,80,0,0,0,0,0,0,0,0,0,210,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,compatible_source_transfer,empty-start vehicles; no depot source; one fixed original interval
low_gini_1,0.0122881381662,0.0245762763324,callback_compatible_source_transfer,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_compatible_source_transfer_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_compatible_source_transfer_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_compatible_source_transfer_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.048388162834,0.0491525526647,0.0155513760572,0.0007643898306999991,330.7046981,True,True,0.048388162834,0.0155513760572,cplex_time_limit_with_valid_best_bound,True,11,6,0.048388162834,180.038373,20623,27252,transfer-only,0,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,f1aa36b745c1b221,True,b2fd9d679b1f3a49,15958,1,1,1710,80,0,0,0,0,0,0,0,0,0,210,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,compatible_source_transfer,empty-start vehicles; no depot source; one fixed original interval
low_gini_1,0.0122881381662,0.0245762763324,best_combined_paper_safe,60,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_60s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_best_combined_paper_safe_60s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_best_combined_paper_safe_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0454217989606,0.0491525526647,0.0759015249833,0.003730753704099997,90.8990394,True,True,0.0454217989606,0.0759015249833,cplex_time_limit_with_valid_best_bound,True,3,2,0.0454217989606,60.0117113,1936,1938,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,4ca4adce6e5c802f,True,b123a60387c38930,18719,1,1,133570,100,0,2700,1767894,0,0,20,0,0,0,210,1,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
low_gini_1,0.0122881381662,0.0245762763324,best_combined_paper_safe,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0476339655828,0.0491525526647,0.0308953858862,0.0015185870818999955,331.0054025,True,True,0.0476339655828,0.0308953858862,cplex_time_limit_with_valid_best_bound,True,11,10,0.0476339655828,300.0940017,10909,10909,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,c36fc8161a2f1ab1,True,b123a60387c38930,18719,1,1,133570,100,0,2700,8928834,0,0,20,0,0,0,210,1,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
low_gini_1,0.0122881381662,0.0245762763324,best_combined_paper_safe,1200,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_1200s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_best_combined_paper_safe_1200s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_best_combined_paper_safe_1200s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.048388162834,0.0491525526647,0.0155513760571,0.0007643898306999991,1201.21374,True,True,0.048388162834,0.0155513760571,cplex_time_limit_with_valid_best_bound,True,40,18,0.048388162834,540.1496343,17728,29017,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,f3a975138b3694a3,True,b123a60387c38930,18719,1,1,133570,100,0,2700,20711754,0,0,20,0,0,0,210,1,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
low_gini_1,0.0122881381662,0.0245762763324,best_combined_paper_safe,3600,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_best_combined_paper_safe_3600s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_best_combined_paper_safe_3600s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_best_combined_paper_safe_3600s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0487233640003,0.0491525526647,0.00873176755078,0.0004291886643999973,3601.8008019,True,True,0.0487233640003,0.00873176755078,cplex_time_limit_with_valid_best_bound,True,120,30,0.0487233640003,3060.7623008,59676,86316,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,699ecad2159a53b4,True,b123a60387c38930,18719,1,1,133570,100,0,2700,55075326,0,0,20,0,0,0,210,1,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
low_gini_2,0.0245762763324,0.0368644144986,best_combined_paper_safe,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_2_best_combined_paper_safe_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_2_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_2_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0489209015481,0.0491525526647,0.00471290104116,0.00023165111659999987,330.8971774,True,True,0.0489209015481,0.00471290104116,cplex_time_limit_with_valid_best_bound,True,11,2,0.0489209015481,60.0170447,2327,9509,full,40,41,0,2700,630,1,True,False,False,4.6455026455,28.7993876794,one_thread_fair,1,False,ce23991dfaafad08,True,c170e370e54aef39,18723,1,1,133570,100,0,2700,6398218,0,0,20,0,0,0,210,3,4.6455026455,28.7993876794,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
high_imbalance_seed3201_hard,0.475,0.59375,best_combined_paper_safe,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_high_imbalance_seed3201_hard_best_combined_paper_safe_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_high_imbalance_seed3201_hard_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_high_imbalance_seed3201_hard_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,2.27667764295,2.44340319194,0.068234972246,0.1667255489899997,300.8720623,True,True,2.27667764295,0.068234972246,cplex_time_limit_with_valid_best_bound,True,11,10,2.27667764295,300.0884287,7503,7503,full,40,41,0,2700,630,1,True,False,False,14.5666666667,78.1355729679,one_thread_fair,1,False,199e09f743eb1ea9,True,7f6156a157f94aa1,18709,1,1,133570,100,0,2700,8448458,0,0,20,0,0,0,210,0,14.5666666667,78.1355729679,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
tight_T_seed3102_hard,0.150176109171,0.300352218343,best_combined_paper_safe,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_tight_T_seed3102_hard_best_combined_paper_safe_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_tight_T_seed3102_hard_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_tight_T_seed3102_hard_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.517898731718,0.600704436685,0.137847666689,0.0828057049669999,331.1256639,True,True,0.517898731718,0.137847666689,cplex_time_limit_with_valid_best_bound,True,11,10,0.517898731718,300.0623919,9824,9824,full,40,41,0,2700,630,1,True,False,False,5.50586593258,50.5248237629,one_thread_fair,1,False,531e5f136b71305c,True,5be5f3c8320c592c,18696,1,1,133570,100,0,2700,11202574,0,0,20,0,0,0,210,0,5.50586593258,50.5248237629,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
moderate_seed3302_hard,0.0489090516373,0.0978181032745,best_combined_paper_safe,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_moderate_seed3302_hard_best_combined_paper_safe_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_moderate_seed3302_hard_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_moderate_seed3302_hard_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.14256670012,0.195636206549,0.271266282276,0.05306950642899999,331.0311069,True,True,0.14256670012,0.271266282276,cplex_time_limit_with_valid_best_bound,True,11,10,0.14256670012,300.0489967,6287,6287,full,40,41,0,2700,630,1,True,False,False,0.611413043478,38.4503018346,one_thread_fair,1,False,4fbec9e4fec7dd1e,True,9849e51c2581e47a,18696,1,1,133570,100,0,2700,6867270,0,0,20,0,0,0,210,0,0.611413043478,38.4503018346,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval,combined_transfer,empty-start vehicles; no depot source; one fixed original interval
