leaf,variant,budget_seconds,fractionality_source,nodes,checkpoint_best_node_count,plateau_detected
low_gini_1,plain_fixed_interval_mip,60,not_exposed_by_solver_json,1968,0,False
low_gini_1,plain_fixed_interval_mip,300,not_exposed_by_solver_json,4250,0,False
low_gini_1,static_tailored_compact_bc,60,not_exposed_by_solver_json,3470,3470,False
low_gini_1,static_tailored_compact_bc,300,not_exposed_by_solver_json,16022,16022,False
low_gini_1,callback_no_cuts,60,not_exposed_by_solver_json,1980,1980,False
low_gini_1,callback_no_cuts,300,not_exposed_by_solver_json,4178,4178,False
low_gini_1,callback_low_gini_cuts,60,not_exposed_by_solver_json,6780,6780,False
low_gini_1,callback_low_gini_cuts,300,not_exposed_by_solver_json,27448,20707,False
low_gini_1,callback_local_centering,60,not_exposed_by_solver_json,3481,3481,False
low_gini_1,callback_local_centering,300,not_exposed_by_solver_json,16059,16059,False
low_gini_1,callback_subset_cross_h_centering,60,not_exposed_by_solver_json,1630,1629,False
low_gini_1,callback_subset_cross_h_centering,300,not_exposed_by_solver_json,11397,11397,False
low_gini_1,callback_local_q_centering,60,not_exposed_by_solver_json,5934,5932,False
low_gini_1,callback_local_q_centering,300,not_exposed_by_solver_json,25956,19348,False
low_gini_1,callback_compatible_source_transfer,60,not_exposed_by_solver_json,6786,6786,False
low_gini_1,callback_compatible_source_transfer,300,not_exposed_by_solver_json,27252,20623,False
low_gini_1,callback_required_external_source,60,not_exposed_by_solver_json,5241,5241,False
low_gini_1,callback_required_external_source,300,not_exposed_by_solver_json,19339,17591,False
low_gini_1,callback_full_gini_auto,60,not_exposed_by_solver_json,6780,6780,False
low_gini_1,callback_full_gini_auto,300,not_exposed_by_solver_json,27294,20632,False
low_gini_1,callback_full_paced,60,not_exposed_by_solver_json,3481,3481,False
low_gini_1,callback_full_paced,300,not_exposed_by_solver_json,16076,16076,False
low_gini_1,callback_s_bucket_diagnostic,60,not_exposed_by_solver_json,0,0,False
low_gini_1,callback_s_bucket_diagnostic,300,not_exposed_by_solver_json,0,0,False
low_gini_1,best_combined_paper_safe,60,not_exposed_by_solver_json,1938,1936,False
low_gini_1,best_combined_paper_safe,300,not_exposed_by_solver_json,10909,10909,False
low_gini_1,plain_fixed_interval_mip,1200,not_exposed_by_solver_json,16154,0,False
low_gini_1,callback_local_centering,1200,not_exposed_by_solver_json,41032,26967,False
low_gini_1,callback_subset_cross_h_centering,1200,not_exposed_by_solver_json,33948,20604,False
low_gini_1,callback_local_q_centering,1200,not_exposed_by_solver_json,102159,44736,False
low_gini_1,best_combined_paper_safe,1200,not_exposed_by_solver_json,29017,17728,False
low_gini_1,best_combined_paper_safe,3600,not_exposed_by_solver_json,86316,59676,False
low_gini_1,plain_fixed_interval_mip,3600,not_exposed_by_solver_json,136723,0,False
low_gini_2,plain_fixed_interval_mip,300,not_exposed_by_solver_json,15058,0,False
low_gini_2,best_combined_paper_safe,300,not_exposed_by_solver_json,9509,2327,False
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,not_exposed_by_solver_json,20466,0,False
high_imbalance_seed3201_hard,best_combined_paper_safe,300,not_exposed_by_solver_json,7503,7503,False
tight_T_seed3102_hard,plain_fixed_interval_mip,300,not_exposed_by_solver_json,20049,0,False
tight_T_seed3102_hard,best_combined_paper_safe,300,not_exposed_by_solver_json,9824,9824,False
moderate_seed3302_hard,plain_fixed_interval_mip,300,not_exposed_by_solver_json,7410,0,False
moderate_seed3302_hard,best_combined_paper_safe,300,not_exposed_by_solver_json,6287,6287,False
