leaf,variant,budget_seconds,root_lp_objective,root_bound_after_static_cuts,root_bound_after_dynamic_cuts,S_L,S_U,objective_estimator_row_activity,direct_gini_cap_activity,mccormick_activity,low_gini_centering_activity,node_count
low_gini_1,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,0.0,0.0,0,66.9085786677,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,4250
low_gini_1,static_tailored_compact_bc,300,not_exposed_by_cplex_callback_api,0.0483289243336,0.0483289243336,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,16022
low_gini_1,callback_no_cuts,300,not_exposed_by_cplex_callback_api,0.0457922778859,0.0457922778859,0,66.9085786677,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,4178
low_gini_1,callback_low_gini_cuts,300,not_exposed_by_cplex_callback_api,0.048388162834,0.048388162834,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,27448
low_gini_1,callback_local_centering,300,not_exposed_by_cplex_callback_api,0.0483334276129,0.0483334276129,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,16059
low_gini_1,callback_subset_cross_h_centering,300,not_exposed_by_cplex_callback_api,0.047481546439,0.047481546439,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,11397
low_gini_1,callback_local_q_centering,300,not_exposed_by_cplex_callback_api,0.048388162834,0.048388162834,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,25956
low_gini_1,callback_compatible_source_transfer,300,not_exposed_by_cplex_callback_api,0.048388162834,0.048388162834,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,27252
low_gini_1,callback_required_external_source,300,not_exposed_by_cplex_callback_api,0.048388162834,0.048388162834,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,19339
low_gini_1,callback_full_gini_auto,300,not_exposed_by_cplex_callback_api,0.048388162834,0.048388162834,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,27294
low_gini_1,callback_full_paced,300,not_exposed_by_cplex_callback_api,0.0483363709352,0.0483363709352,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,16076
low_gini_1,callback_s_bucket_diagnostic,300,not_exposed_by_cplex_callback_api,1e+75,1e+75,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,0
low_gini_1,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,0.0476339655828,0.0476339655828,3.24074074074,29.9501813302,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,10909
low_gini_2,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,0.0,0.0,0,66.9085786677,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,15058
low_gini_2,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,0.0489209015481,0.0489209015481,4.6455026455,28.7993876794,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,9509
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,0.0,0.0,0,88.192425813,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,20466
high_imbalance_seed3201_hard,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,2.27667764295,2.27667764295,14.5666666667,78.1355729679,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,7503
tight_T_seed3102_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,0.0,0.0,0,73.0065087446,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,20049
tight_T_seed3102_hard,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,0.517898731718,0.517898731718,5.50586593258,50.5248237629,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,9824
moderate_seed3302_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,0.0,0.0,0,45.2857559372,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,7410
moderate_seed3302_hard,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,0.14256670012,0.14256670012,0.611413043478,38.4503018346,see exported LP and solver bound,see exported LP and solver bound,see exported LP and solver bound,see local/L1/variable-S row counts,6287
