leaf,variant,budget_seconds,lower_bound,plain_same_budget_lb,delta_vs_plain_lb,gap_to_cutoff,subset_cross_h_rows,local_q_rows,compatible_source_transfer_rows,required_external_source_rows,local_centering_rows,l1_centering_rows,variable_s_rows,paper_safe
low_gini_1,plain_fixed_interval_mip,60,0.044318362677,0.044318362677,0.0,0.004834189987700001,0,0,0,0,0,0,0,True
low_gini_1,plain_fixed_interval_mip,300,0.045486706017,0.045486706017,0.0,0.003665846647699998,0,0,0,0,0,0,0,True
low_gini_1,static_tailored_compact_bc,60,0.0460751920577,0.044318362677,0.0017568293807000007,0.003077360607,0,0,0,0,40,41,0,True
low_gini_1,static_tailored_compact_bc,300,0.0483289243336,0.045486706017,0.0028422183165999967,0.0008236283311000014,0,0,0,0,40,41,0,True
low_gini_1,callback_no_cuts,60,0.0448100613716,0.044318362677,0.0004916986946000013,0.0043424912930999995,0,0,0,0,0,0,0,True
low_gini_1,callback_no_cuts,300,0.0457922778859,0.045486706017,0.0003055718688999981,0.0033602747788,0,0,0,0,0,0,0,True
low_gini_1,callback_low_gini_cuts,60,0.0467573339767,0.044318362677,0.002438971299699999,0.0023952186880000018,0,0,0,0,0,41,0,True
low_gini_1,callback_low_gini_cuts,300,0.048388162834,0.045486706017,0.002901456816999999,0.0007643898306999991,0,0,0,0,0,41,0,True
low_gini_1,callback_local_centering,60,0.0460810881734,0.044318362677,0.0017627254964000041,0.0030714644912999967,0,0,0,0,40,41,0,True
low_gini_1,callback_local_centering,300,0.0483334276129,0.045486706017,0.0028467215958999995,0.0008191250517999987,0,0,0,0,40,41,0,True
low_gini_1,callback_subset_cross_h_centering,60,0.0449714373503,0.044318362677,0.0006530746733000026,0.004181115314399998,2700,0,0,0,40,41,0,True
low_gini_1,callback_subset_cross_h_centering,300,0.047481546439,0.045486706017,0.001994840422000002,0.001671006225699996,2700,0,0,0,40,41,0,True
low_gini_1,callback_local_q_centering,60,0.0469842773561,0.044318362677,0.002665914679100004,0.002168275308599997,0,20,0,0,0,41,0,True
low_gini_1,callback_local_q_centering,300,0.048388162834,0.045486706017,0.002901456816999999,0.0007643898306999991,0,20,0,0,0,41,0,True
