leaf,source_variant,variant,budget_seconds,s_range_refinement_enabled,s_range_certificate_valid,coverage_used_for_paper_certificate,s_range_parent_coverage_valid,audit_passed,failures
low_gini_1,callback_s_bucket_diagnostic,s_bucket_diagnostic,60,True,False,False,False,True,
low_gini_1,callback_s_bucket_diagnostic,s_bucket_diagnostic,300,True,False,False,False,True,
