leaf,variant,budget_seconds,lp_rows_estimated,lp_local_centering_rows,tailored_bc_local_centering_rows_added,tailored_bc_low_gini_l1_centering_rows_added,tailored_bc_variable_s_centering_rows_added,tailored_bc_gini_subset_envelope_rows_added,tailored_bc_transfer_cutset_rows_added
low_gini_1,plain_fixed_interval_mip,60,5078,0,0,0,0,0,0
low_gini_1,plain_fixed_interval_mip,300,5078,0,0,0,0,0,0
low_gini_1,static_tailored_compact_bc,60,15998,0,40,41,0,2700,630
low_gini_1,static_tailored_compact_bc,300,15998,0,40,41,0,2700,630
low_gini_1,callback_no_cuts,60,5078,0,0,0,0,0,0
low_gini_1,callback_no_cuts,300,5078,0,0,0,0,0,0
low_gini_1,callback_low_gini_cuts,60,15958,0,0,41,0,2700,630
low_gini_1,callback_low_gini_cuts,300,15958,0,0,41,0,2700,630
low_gini_1,callback_local_centering,60,15998,0,40,41,0,2700,630
low_gini_1,callback_local_centering,300,15998,0,40,41,0,2700,630
low_gini_1,callback_subset_cross_h_centering,60,18698,0,40,41,0,2700,630
low_gini_1,callback_subset_cross_h_centering,300,18698,0,40,41,0,2700,630
low_gini_1,callback_local_q_centering,60,15978,0,0,41,0,2700,630
low_gini_1,callback_local_q_centering,300,15978,0,0,41,0,2700,630
low_gini_1,callback_compatible_source_transfer,60,15958,0,0,41,0,2700,630
low_gini_1,callback_compatible_source_transfer,300,15958,0,0,41,0,2700,630
low_gini_1,callback_required_external_source,60,15959,0,0,41,0,2700,630
low_gini_1,callback_required_external_source,300,15959,0,0,41,0,2700,630
low_gini_1,callback_full_gini_auto,60,15958,0,0,41,0,2700,630
low_gini_1,callback_full_gini_auto,300,15958,0,0,41,0,2700,630
low_gini_1,callback_full_paced,60,15998,0,40,41,0,2700,630
low_gini_1,callback_full_paced,300,15998,0,40,41,0,2700,630
low_gini_1,callback_s_bucket_diagnostic,60,18700,0,40,41,0,2700,630
low_gini_1,callback_s_bucket_diagnostic,300,18700,0,40,41,0,2700,630
low_gini_1,best_combined_paper_safe,60,18719,0,40,41,0,2700,630
low_gini_1,best_combined_paper_safe,300,18719,0,40,41,0,2700,630
low_gini_1,plain_fixed_interval_mip,1200,5078,0,0,0,0,0,0
low_gini_1,callback_local_centering,1200,15998,0,40,41,0,2700,630
low_gini_1,callback_subset_cross_h_centering,1200,18698,0,40,41,0,2700,630
low_gini_1,callback_local_q_centering,1200,15978,0,0,41,0,2700,630
low_gini_1,best_combined_paper_safe,1200,18719,0,40,41,0,2700,630
low_gini_1,best_combined_paper_safe,3600,18719,0,40,41,0,2700,630
low_gini_1,plain_fixed_interval_mip,3600,5078,0,0,0,0,0,0
low_gini_2,plain_fixed_interval_mip,300,5078,0,0,0,0,0,0
low_gini_2,best_combined_paper_safe,300,18723,0,40,41,0,2700,630
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,5075,0,0,0,0,0,0
high_imbalance_seed3201_hard,best_combined_paper_safe,300,18709,0,40,41,0,2700,630
tight_T_seed3102_hard,plain_fixed_interval_mip,300,5069,0,0,0,0,0,0
tight_T_seed3102_hard,best_combined_paper_safe,300,18696,0,40,41,0,2700,630
moderate_seed3302_hard,plain_fixed_interval_mip,300,5069,0,0,0,0,0,0
moderate_seed3302_hard,best_combined_paper_safe,300,18696,0,40,41,0,2700,630
