leaf,gamma_L,gamma_U,variant,budget_seconds,json_path,progress_path,lp_path,status,solver_status,certified,lower_bound,upper_bound,gap,gap_to_cutoff,runtime_seconds,compact_bc_best_bound_available,compact_bc_bound_valid,best_valid_lb_seen,best_valid_gap_seen,finalization_source,final_json_uses_best_checkpoint,checkpoint_valid_rows,checkpoint_improvements,checkpoint_best_bound,checkpoint_best_time,checkpoint_best_node_count,nodes,tailored_bc_callback_cut_profile,tailored_bc_local_centering_rows_added,tailored_bc_low_gini_l1_centering_rows_added,tailored_bc_variable_s_centering_rows_added,tailored_bc_gini_subset_envelope_rows_added,tailored_bc_transfer_cutset_rows_added,compact_bc_sp_product_estimator_rows_added,compact_bc_sp_product_paper_safe,s_range_refinement_enabled,s_range_certificate_valid,s_range_global_L,s_range_global_U,thread_fairness_class,compact_bc_solver_threads,diagnostic_only,command_hash,model_lp_exists,lp_hash,lp_rows_estimated,lp_binary_markers,lp_general_markers,lp_h_vars,lp_q_l1_vars,lp_local_centering_rows,tailored_bc_subset_cross_h_centering_rows_added,tailored_bc_subset_cross_h_centering_candidates,tailored_bc_subset_cross_h_centering_violations,tailored_bc_subset_cross_h_centering_max_violation,tailored_bc_local_q_centering_rows_added,tailored_bc_local_q_centering_violations,tailored_bc_local_q_centering_max_violation,tailored_bc_compatible_source_transfer_cuts_added,tailored_bc_compatible_source_transfer_candidates,tailored_bc_required_external_source_cuts_added,parent_S_L,parent_S_U,S_domain_source,row_class
low_gini_1,0.0122881381662,0.0245762763324,plain_fixed_interval_mip,60,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_60s.json,,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_plain_fixed_interval_mip_60s.lp,interval_unresolved_timeout,time limit exceeded,False,0.044318362677,0.0491525526647,0.0983507412255,0.004834189987700001,60.1279758,True,True,0.044318362677,0.0983507412255,solver_final_json,True,0,0,0.0,0.0,0,1968,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,1fb6f3339a195f74,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,plain_fixed_interval_mip,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.045486706017,0.0491525526647,0.0745810023888,0.003665846647699998,300.1270626,True,True,0.045486706017,0.0745810023888,solver_final_json,True,0,0,0.0,0.0,0,4250,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,d99a217cb53b43b6,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,static_tailored_compact_bc,60,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_static_tailored_compact_bc_60s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_static_tailored_compact_bc_60s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_static_tailored_compact_bc_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0460751920577,0.0491525526647,0.0626083578614,0.003077360607,90.5539907,True,True,0.0460751920577,0.0626083578614,cplex_time_limit_with_valid_best_bound,True,3,2,0.0460751920577,60.0143305,3470,3470,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,e9e6ff376ee9363b,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,0,0,0,0,0,0,0,0,0,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,static_tailored_compact_bc,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_static_tailored_compact_bc_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_static_tailored_compact_bc_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_static_tailored_compact_bc_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0483289243336,0.0491525526647,0.0167565728829,0.0008236283311000014,300.6218684,True,True,0.0483289243336,0.0167565728829,cplex_time_limit_with_valid_best_bound,True,10,10,0.0483289243336,300.0881496,16022,16022,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,057511d6b471377c,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,0,0,0,0,0,0,0,0,0,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_no_cuts,60,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_no_cuts_60s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_no_cuts_60s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_no_cuts_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0448100613716,0.0491525526647,0.0883472181549,0.0043424912930999995,90.0652184,True,True,0.0448100613716,0.0883472181549,cplex_time_limit_with_valid_best_bound,True,3,2,0.0448100613716,60.0151741,1980,1980,off,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,False,e968cf13b8e5d37e,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_no_cuts,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_no_cuts_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_no_cuts_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_no_cuts_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0457922778859,0.0491525526647,0.0683641967022,0.0033602747788,300.1592275,True,True,0.0457922778859,0.0683641967022,cplex_time_limit_with_valid_best_bound,True,10,7,0.0457922778859,300.101755,4178,4178,off,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,False,275098e16aa1bd7b,True,3fa039d78c1b46af,5078,1,1,760,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9085786677,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_low_gini_cuts,60,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_low_gini_cuts_60s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_low_gini_cuts_60s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_low_gini_cuts_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0467573339767,0.0491525526647,0.0487303010356,0.0023952186880000018,90.5966457,True,True,0.0467573339767,0.0487303010356,cplex_time_limit_with_valid_best_bound,True,3,2,0.0467573339767,60.0158507,6780,6780,low-gini,0,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,3fca15fa6ea287a7,True,b2fd9d679b1f3a49,15958,1,1,1710,80,0,0,0,0,0,0,0,0,0,0,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_low_gini_cuts,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_low_gini_cuts_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_low_gini_cuts_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_low_gini_cuts_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.048388162834,0.0491525526647,0.0155513760572,0.0007643898306999991,300.7559435,True,True,0.048388162834,0.0155513760572,cplex_time_limit_with_valid_best_bound,True,10,6,0.048388162834,180.0536196,20707,27448,low-gini,0,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,595ab8d877e4eb05,True,b2fd9d679b1f3a49,15958,1,1,1710,80,0,0,0,0,0,0,0,0,0,0,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_local_centering,60,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_centering_60s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_local_centering_60s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_local_centering_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0460810881734,0.0491525526647,0.0624884024291,0.0030714644912999967,90.5459141,True,True,0.0460810881734,0.0624884024291,cplex_time_limit_with_valid_best_bound,True,3,3,0.0460810881734,90.0116301,3481,3481,low-gini,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,9f02bf902118e48f,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,0,0,0,0,0,0,0,0,0,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
low_gini_1,0.0122881381662,0.0245762763324,callback_local_centering,300,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_centering_300s.json,results\gf_tailored_bc_low_gini_strengthening_round\progress_traces\moderate_low_gini_1_callback_local_centering_300s.progress.csv,results\gf_tailored_bc_low_gini_strengthening_round\model_exports\moderate_low_gini_1_callback_local_centering_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0483334276129,0.0491525526647,0.0166649544617,0.0008191250517999987,330.6439523,True,True,0.0483334276129,0.0166649544617,cplex_time_limit_with_valid_best_bound,True,11,10,0.0483334276129,300.0860908,16059,16059,low-gini,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,a975a6efc7f05d83,True,f17ee827e81d7ad7,15998,1,1,2470,80,0,0,0,0,0,0,0,0,0,0,0,3.24074074074,29.9501813302,Y_bounds_target_ratios_capacity_penalty_movement_domains,paper_safe_fixed_interval
