leaf,variant,budget_seconds,lp_hash,command_hash,json_path
low_gini_1,plain_fixed_interval_mip,60,3fa039d78c1b46af,1fb6f3339a195f74,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_60s.json
low_gini_1,plain_fixed_interval_mip,300,3fa039d78c1b46af,d99a217cb53b43b6,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_300s.json
low_gini_1,static_tailored_compact_bc,60,f17ee827e81d7ad7,e9e6ff376ee9363b,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_static_tailored_compact_bc_60s.json
low_gini_1,static_tailored_compact_bc,300,f17ee827e81d7ad7,057511d6b471377c,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_static_tailored_compact_bc_300s.json
low_gini_1,callback_no_cuts,60,3fa039d78c1b46af,e968cf13b8e5d37e,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_no_cuts_60s.json
low_gini_1,callback_no_cuts,300,3fa039d78c1b46af,275098e16aa1bd7b,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_no_cuts_300s.json
low_gini_1,callback_low_gini_cuts,60,b2fd9d679b1f3a49,3fca15fa6ea287a7,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_low_gini_cuts_60s.json
low_gini_1,callback_low_gini_cuts,300,b2fd9d679b1f3a49,595ab8d877e4eb05,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_low_gini_cuts_300s.json
low_gini_1,callback_local_centering,60,f17ee827e81d7ad7,9f02bf902118e48f,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_centering_60s.json
low_gini_1,callback_local_centering,300,f17ee827e81d7ad7,a975a6efc7f05d83,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_centering_300s.json
low_gini_1,callback_subset_cross_h_centering,60,5b122724f90b6c3a,927640cbe6ae999d,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_subset_cross_h_centering_60s.json
low_gini_1,callback_subset_cross_h_centering,300,5b122724f90b6c3a,74053ba8e4f4f3a9,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_subset_cross_h_centering_300s.json
low_gini_1,callback_local_q_centering,60,17e9afb901e19fda,eb9941943593d523,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_q_centering_60s.json
low_gini_1,callback_local_q_centering,300,17e9afb901e19fda,b2eb6cfa7f804282,results\gf_tailored_bc_low_gini_strengthening_round\raw\moderate_low_gini_1_callback_local_q_centering_300s.json
