leaf,variant,budget_seconds,s_range_refinement_enabled,s_range_global_L,s_range_global_U,parent_S_L,parent_S_U,gap_to_cutoff,coverage_used_for_paper_certificate
low_gini_1,callback_s_bucket_diagnostic,60,True,3.24074074074,29.9501813302,3.24074074074,29.9501813302,0.0,False
low_gini_1,callback_s_bucket_diagnostic,300,True,3.24074074074,29.9501813302,3.24074074074,29.9501813302,0.0,False
