leaf,variant,budget_seconds,finalization_source,best_valid_lb_seen,final_lower_bound,checkpoint_valid_rows,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,60,solver_final_json,0.044318362677,0.044318362677,0,True,
low_gini_1,plain_fixed_interval_mip,300,solver_final_json,0.045486706017,0.045486706017,0,True,
low_gini_1,static_tailored_compact_bc,60,cplex_time_limit_with_valid_best_bound,0.0460751920577,0.0460751920577,3,True,
low_gini_1,static_tailored_compact_bc,300,cplex_time_limit_with_valid_best_bound,0.0483289243336,0.0483289243336,10,True,
low_gini_1,callback_no_cuts,60,cplex_time_limit_with_valid_best_bound,0.0448100613716,0.0448100613716,3,True,
low_gini_1,callback_no_cuts,300,cplex_time_limit_with_valid_best_bound,0.0457922778859,0.0457922778859,10,True,
low_gini_1,callback_low_gini_cuts,60,cplex_time_limit_with_valid_best_bound,0.0467573339767,0.0467573339767,3,True,
low_gini_1,callback_low_gini_cuts,300,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,10,True,
low_gini_1,callback_local_centering,60,cplex_time_limit_with_valid_best_bound,0.0460810881734,0.0460810881734,3,True,
low_gini_1,callback_local_centering,300,cplex_time_limit_with_valid_best_bound,0.0483334276129,0.0483334276129,11,True,
low_gini_1,callback_subset_cross_h_centering,60,cplex_time_limit_with_valid_best_bound,0.0449714373503,0.0449714373503,3,True,
low_gini_1,callback_subset_cross_h_centering,300,cplex_time_limit_with_valid_best_bound,0.047481546439,0.047481546439,10,True,
low_gini_1,callback_local_q_centering,60,cplex_time_limit_with_valid_best_bound,0.0469842773561,0.0469842773561,3,True,
low_gini_1,callback_local_q_centering,300,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,10,True,
low_gini_1,callback_compatible_source_transfer,60,cplex_time_limit_with_valid_best_bound,0.0467627329577,0.0467627329577,3,True,
low_gini_1,callback_compatible_source_transfer,300,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,11,True,
low_gini_1,callback_required_external_source,60,cplex_time_limit_with_valid_best_bound,0.0466015325166,0.0466015325166,3,True,
low_gini_1,callback_required_external_source,300,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,11,True,
low_gini_1,callback_full_gini_auto,60,cplex_time_limit_with_valid_best_bound,0.0467573339767,0.0467573339767,3,True,
low_gini_1,callback_full_gini_auto,300,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,11,True,
low_gini_1,callback_full_paced,60,cplex_time_limit_with_valid_best_bound,0.0460810881734,0.0460810881734,3,True,
low_gini_1,callback_full_paced,300,cplex_time_limit_with_valid_best_bound,0.0483363709352,0.0483363709352,10,True,
low_gini_1,callback_s_bucket_diagnostic,60,cplex_solver_final,0.0491525526647,0.0491525526647,1,True,
low_gini_1,callback_s_bucket_diagnostic,300,cplex_solver_final,0.0491525526647,0.0491525526647,1,True,
low_gini_1,best_combined_paper_safe,60,cplex_time_limit_with_valid_best_bound,0.0454217989606,0.0454217989606,3,True,
low_gini_1,best_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.0476339655828,0.0476339655828,11,True,
low_gini_1,plain_fixed_interval_mip,1200,solver_final_json,0.047523686728,0.047523686728,0,True,
low_gini_1,callback_local_centering,1200,cplex_time_limit_with_valid_best_bound,0.0487233640003,0.0487233640003,40,True,
low_gini_1,callback_subset_cross_h_centering,1200,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,40,True,
low_gini_1,callback_local_q_centering,1200,cplex_time_limit_with_valid_best_bound,0.0487233640003,0.0487233640003,40,True,
low_gini_1,best_combined_paper_safe,1200,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,40,True,
low_gini_1,best_combined_paper_safe,3600,cplex_time_limit_with_valid_best_bound,0.0487233640003,0.0487233640003,120,True,
low_gini_1,plain_fixed_interval_mip,3600,solver_final_json,0.048296011756,0.048296011756,0,True,
low_gini_2,plain_fixed_interval_mip,300,solver_final_json,0.048894652654,0.048894652654,0,True,
low_gini_2,best_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.0489209015481,0.0489209015481,11,True,
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,solver_final_json,2.1614881406,2.1614881406,0,True,
high_imbalance_seed3201_hard,best_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,2.27667764295,2.27667764295,11,True,
tight_T_seed3102_hard,plain_fixed_interval_mip,300,solver_final_json,0.31236602942,0.31236602942,0,True,
tight_T_seed3102_hard,best_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.517898731718,0.517898731718,11,True,
moderate_seed3302_hard,plain_fixed_interval_mip,300,solver_final_json,0.14433212622,0.14433212622,0,True,
moderate_seed3302_hard,best_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.14256670012,0.14256670012,11,True,
