leaf,variant,budget_seconds,local_centering_rows,l1_centering_rows,variable_s_rows,gini_subset_rows,transfer_rows,candidate_summary
low_gini_1,plain_fixed_interval_mip,60,0,0,0,0,0,row counts plus bound delta against plain row at same budget
low_gini_1,plain_fixed_interval_mip,300,0,0,0,0,0,row counts plus bound delta against plain row at same budget
low_gini_1,static_tailored_compact_bc,60,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,static_tailored_compact_bc,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_no_cuts,60,0,0,0,0,0,row counts plus bound delta against plain row at same budget
low_gini_1,callback_no_cuts,300,0,0,0,0,0,row counts plus bound delta against plain row at same budget
low_gini_1,callback_low_gini_cuts,60,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_low_gini_cuts,300,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_local_centering,60,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_local_centering,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_subset_cross_h_centering,60,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_subset_cross_h_centering,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_local_q_centering,60,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_local_q_centering,300,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_compatible_source_transfer,60,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_compatible_source_transfer,300,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_required_external_source,60,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_required_external_source,300,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_full_gini_auto,60,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_full_gini_auto,300,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_full_paced,60,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_full_paced,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_s_bucket_diagnostic,60,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_s_bucket_diagnostic,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,best_combined_paper_safe,60,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,best_combined_paper_safe,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,plain_fixed_interval_mip,1200,0,0,0,0,0,row counts plus bound delta against plain row at same budget
low_gini_1,callback_local_centering,1200,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_subset_cross_h_centering,1200,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,callback_local_q_centering,1200,0,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,best_combined_paper_safe,1200,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,best_combined_paper_safe,3600,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
low_gini_1,plain_fixed_interval_mip,3600,0,0,0,0,0,row counts plus bound delta against plain row at same budget
low_gini_2,plain_fixed_interval_mip,300,0,0,0,0,0,row counts plus bound delta against plain row at same budget
low_gini_2,best_combined_paper_safe,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,0,0,0,0,0,row counts plus bound delta against plain row at same budget
high_imbalance_seed3201_hard,best_combined_paper_safe,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
tight_T_seed3102_hard,plain_fixed_interval_mip,300,0,0,0,0,0,row counts plus bound delta against plain row at same budget
tight_T_seed3102_hard,best_combined_paper_safe,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
moderate_seed3302_hard,plain_fixed_interval_mip,300,0,0,0,0,0,row counts plus bound delta against plain row at same budget
moderate_seed3302_hard,best_combined_paper_safe,300,40,41,0,2700,630,row counts plus bound delta against plain row at same budget
