result_package,fresh_run,source_round,git_commit,threads,mip_tolerances_mipgap,random_seed,emphasis,presolve,cut_settings,heuristic_frequency,time_limit_type,memory_guard_policy,solver_role,interface,screen_output,mip_display,time_limit,official_formulation,certificate_role,parameter_snapshot_path,prm_export_attempted,prm_exported,prm_path,prm_export_log
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,1,1e-08,CPLEX_default,CPLEX_default,CPLEX_default,CPLEX_default_except_problem_specific_rows,CPLEX_default,wall_clock,serial_observation_then_stop_below_1GiB_for_3_samples,plain_cplex,CPLEX interactive command file,interactive_default,interactive_default,per-row nominal budget,current binary-expansion compact MILP,benchmark_only,results/gf_tailored_bc_fair_diagnosis_round/cplex_params_plain.json,True,True,results/gf_tailored_bc_fair_diagnosis_round/cplex_plain.prm,results/gf_tailored_bc_fair_diagnosis_round/logs/export_plain_params.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,1,1e-08,CPLEX_default,CPLEX_default,CPLEX_default,CPLEX_default_except_problem_specific_rows,CPLEX_default,wall_clock,serial_observation_then_stop_below_1GiB_for_3_samples,tailored_compact_bc,CPLEX callable-library generic callback or static command file,0,0,generic full-frontier split; fixed leaf subbudget,original fixed-interval compact MILP plus paper-safe tailored rows,paper_core_when_full_ledger_complete,results/gf_tailored_bc_fair_diagnosis_round/cplex_params_tailored.json,True,True,results/gf_tailored_bc_fair_diagnosis_round/cplex_tailored.prm,results/gf_tailored_bc_fair_diagnosis_round/logs/export_tailored_params.log.txt
