result_package,fresh_run,source_round,run_id,instance,variant,events,passed,paper_core_safe,reason
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__plain_cplex__1800s,high_imbalance_seed3201,plain_cplex,0,True,True,plain benchmark incumbent is benchmark-only
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__plain_cplex__300s,high_imbalance_seed3201,plain_cplex,0,True,True,plain benchmark incumbent is benchmark-only
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__plain_cplex__900s,high_imbalance_seed3201,plain_cplex,0,True,True,plain benchmark incumbent is benchmark-only
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,high_imbalance_seed3201,tailored_callback_telemetry_only,1,True,True,all accepted events are same-run verifier-gated
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s,high_imbalance_seed3201,tailored_callback_telemetry_only,1,True,True,all accepted events are same-run verifier-gated
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__900s,high_imbalance_seed3201,tailored_callback_telemetry_only,1,True,True,all accepted events are same-run verifier-gated
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_cheap_cuts__1800s,high_imbalance_seed3201,tailored_cheap_cuts,1,True,True,all accepted events are same-run verifier-gated
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_cheap_cuts__300s,high_imbalance_seed3201,tailored_cheap_cuts,1,True,True,all accepted events are same-run verifier-gated
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_cheap_cuts__900s,high_imbalance_seed3201,tailored_cheap_cuts,1,True,True,all accepted events are same-run verifier-gated
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_full_static_baseline__1800s,high_imbalance_seed3201,tailored_full_static_baseline,1,True,True,all accepted events are same-run verifier-gated
