result_package,fresh_run,source_round,audit,passed,return_code,runtime_seconds,log_path
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,bpc_self_test,True,0,0.082,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_bpc_self_test.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,certificate,True,0,0.216,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_certificate.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,callback,True,0,0.174,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_callback.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,summary,True,0,0.175,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_summary.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,threads,True,0,0.176,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_threads.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,objective,True,0,0.173,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_objective.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,finalization,True,0,0.172,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_finalization.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,sources,True,0,0.055,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_sources.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,instance_special,True,0,0.148,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_instance_special.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,paper_strict,True,0,0.213,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_paper_strict.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,cross_round,True,0,3.204,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_cross_round.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,hardware,True,0,0.081,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_hardware.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,vector_route,True,0,0.173,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_vector_route.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,callback_vector_parser,True,0,0.744,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_callback_vector_parser.log.txt
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,vector_summary,True,0,0.063,results/gf_tailored_bc_fair_diagnosis_round/logs/audit_vector_summary.log.txt
