result_package,fresh_run,source_round,run_id,leaf_id,leaf_status,closure_source,interval_bound_valid,passed,child_json_path
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,0,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,3,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,4,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,5,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,7,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,14,unresolved,unresolved,True,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s_auto_oracle/interval_14.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,15,unresolved,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,16,unresolved,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,17,unresolved,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,18,unresolved,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,19,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,20,unresolved,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s,21,unresolved,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s,0,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s,2,unresolved,unresolved,True,True,results/gf_tailored_bc_fair_diagnosis_round/raw/full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s_auto_oracle/interval_2.json
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s,3,unprocessed_relevant,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s,4,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s,5,unresolved,unresolved,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__900s,0,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__900s,3,bound_fathomed,relaxation_bound,True,True,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__high_imbalance_seed3201__tailored_callback_telemetry_only__900s,4,bound_fathomed,relaxation_bound,True,True,
