audit,passed,reason
summary_rows_present,True,rows=25
g_gap_reconstruction,True,snapshot=engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__300s:first_relaxation_callback expected=0.0014195783143255564 reported=0.0014195783143255564
structural_values_available,True,structural_summary_rows=1
unknown_fraction_at_most_five_percent,True,bad_snapshots=0
