run_id,instance,variant,solver_role,budget_seconds,process_start_time,process_end_time,actual_runtime_seconds,process_return_code,windows_return_code_hex,wrapper_timeout,resource_stopped,free_ram_start_bytes,free_ram_end_bytes,minimum_free_ram_bytes,peak_process_tree_rss_bytes,cplex_threads,mip_threads,compact_bc_threads,concurrent_solver_processes,max_cplex_process_count,background_solver_detected,fresh_process,memory_guard_policy,incumbent_source_policy,monitor_path,stdout_log_path,hostname,git_commit,build_sha256,result_package,fresh_run,source_round,certified_original_problem,bound_used_in_comparison
full__tight_T_seed3102__tailored_static_no_callback__300s,tight_T_seed3102,tailored_static_no_callback,tailored_full_frontier,300,2026-07-12T06:40:15+08:00,2026-07-12T06:45:12+08:00,297.62,0,0x00000000,False,False,18626793472,18252513280,17749561344,404709376,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__tight_T_seed3102__tailored_static_no_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__tight_T_seed3102__tailored_static_no_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,False,True
engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s,tight_T_seed3102,plain_fixed_interval_mip,fixed_interval_diagnostic,300,2026-07-12T06:45:13+08:00,2026-07-12T06:50:14+08:00,301.548,0,0x00000000,False,False,18241818624,18206781440,18088099840,74481664,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,diagnostic_parent_cutoff_no_paper_evidence,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,,
engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s,tight_T_seed3102,tailored_static_leaf_no_callback,fixed_interval_diagnostic,300,2026-07-12T06:50:14+08:00,2026-07-12T06:50:22+08:00,7.205,0,0x00000000,False,False,18199658496,18168832000,18184790016,50012160,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,diagnostic_parent_cutoff_no_paper_evidence,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,,
engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__300s,tight_T_seed3102,tailored_route_leaf,fixed_interval_diagnostic,300,2026-07-12T06:50:22+08:00,2026-07-12T06:50:53+08:00,31.172,0,0x00000000,False,False,18167230464,18180395008,18137427968,27058176,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,diagnostic_parent_cutoff_no_paper_evidence,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,,
engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__900s,tight_T_seed3102,plain_fixed_interval_mip,fixed_interval_diagnostic,900,2026-07-12T06:50:53+08:00,2026-07-12T07:05:55+08:00,901.89,0,0x00000000,False,False,18180751360,18144444416,18033274880,111194112,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,diagnostic_parent_cutoff_no_paper_evidence,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__900s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__900s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,,
engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__900s,tight_T_seed3102,tailored_static_leaf_no_callback,fixed_interval_diagnostic,900,2026-07-12T07:05:56+08:00,2026-07-12T07:06:03+08:00,7.18,0,0x00000000,False,False,18141446144,18125987840,18128498688,46952448,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,diagnostic_parent_cutoff_no_paper_evidence,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__900s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__900s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,,
engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__900s,tight_T_seed3102,tailored_route_leaf,fixed_interval_diagnostic,900,2026-07-12T07:06:03+08:00,2026-07-12T07:06:34+08:00,31.162,0,0x00000000,False,False,18130296832,18572517376,18104438784,27017216,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,diagnostic_parent_cutoff_no_paper_evidence,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__900s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__900s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,,
full__V12_M1__tailored_static_no_callback__300s,V12_M1,tailored_static_no_callback,tailored_full_frontier,300,2026-07-12T07:06:43+08:00,2026-07-12T07:10:21+08:00,218.237,0,0x00000000,False,False,18552750080,18105872384,17682513920,787169280,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M1__tailored_static_no_callback__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M1__tailored_static_no_callback__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M1__tailored_callback_telemetry_only__300s,V12_M1,tailored_callback_telemetry_only,tailored_full_frontier,300,2026-07-12T07:10:22+08:00,2026-07-12T07:15:23+08:00,301.694,0,0x00000000,False,False,18100539392,18042535936,17718710272,250077184,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M1__tailored_callback_telemetry_only__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M1__tailored_callback_telemetry_only__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
full__V12_M1__tailored_cheap_cuts__300s,V12_M1,tailored_cheap_cuts,tailored_full_frontier,300,2026-07-12T07:15:24+08:00,2026-07-12T07:20:23+08:00,299.603,0,0x00000000,False,False,18043392000,18125586432,17548242944,845643776,1,1,1,1,0,False,True,serial_observation_then_stop_below_1GiB_for_3_samples,same_run_verifier_gated_only,results/gf_tailored_bc_fair_diagnosis_round/progress_traces/full__V12_M1__tailored_cheap_cuts__300s.monitor.csv,results/gf_tailored_bc_fair_diagnosis_round/logs/full__V12_M1__tailored_cheap_cuts__300s.stdout.log.txt,WIN-3NO58RVQ4VC,110b9baa6ed963827cd09c0de9afbb51bdb3fd7b,aef3b7312809e2ccd8c3ec657faf986a3cd737438ddcea3b3286de76c77cb4b3,results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,True,True
