file,method,algorithm_preset,status,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s.json,interval-cutoff-oracle,custom,interval_unresolved_timeout,1,1,0,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__900s.json,interval-cutoff-oracle,custom,interval_unresolved_timeout,1,1,0,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,1,1,1,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\engineering__tight_T_seed3102__tailored_route_leaf__ga074ec730af64a8c__900s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,1,1,1,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,1,1,1,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__900s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,1,1,1,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\full__high_imbalance_seed3201__plain_cplex__1800s.json,cplex,custom,not_certified,1,1,0,plain_cplex_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\full__high_imbalance_seed3201__plain_cplex__300s.json,cplex,custom,not_certified,1,1,0,plain_cplex_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\full__high_imbalance_seed3201__plain_cplex__900s.json,cplex,custom,not_certified,1,1,0,plain_cplex_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s.json,gcap-frontier,paper-gf-tailored-bc,gcap_frontier_not_closed,1,1,1,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\full__high_imbalance_seed3201__tailored_callback_telemetry_only__1800s_auto_oracle\interval_14.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,1,1,1,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s.json,gcap-frontier,paper-gf-tailored-bc,gcap_frontier_not_closed,1,1,1,compact_bc_single_thread,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_fair_diagnosis_round\raw\full__high_imbalance_seed3201__tailored_callback_telemetry_only__300s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,1,1,1,compact_bc_single_thread,one_thread_fair,True,
