check,run_id,passed,reason
hardware_metadata_present,,True,rows=1
hardware_metadata_complete,,True,none
parameter_manifest_present,,True,rows=2
plain_and_tailored_parameter_roles,,True,roles=plain_cplex;tailored_compact_bc
parameter_snapshot:cplex_params_plain.json,,True,valid_json
parameter_snapshot:cplex_params_tailored.json,,True,valid_json
run_isolation_manifest_present,,True,rows=182
unique_run_id,full__tight_T_seed3102__tailored_static_no_callback__300s,True,unique
one_thread_cplex,full__tight_T_seed3102__tailored_static_no_callback__300s,True,cplex_threads=1
single_solver_process,full__tight_T_seed3102__tailored_static_no_callback__300s,True,max_concurrent=1;background=False
incumbent_source_policy_present,full__tight_T_seed3102__tailored_static_no_callback__300s,True,same_run_verifier_gated_only
run_timestamps_valid,full__tight_T_seed3102__tailored_static_no_callback__300s,True,start=2026-07-12T06:40:15+08:00;end=2026-07-12T06:45:12+08:00
resource_stop_not_used,full__tight_T_seed3102__tailored_static_no_callback__300s,True,resource_stopped=False;bound_used=True;certified=False
unique_run_id,engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s,True,unique
one_thread_cplex,engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s,True,cplex_threads=1
single_solver_process,engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s,True,max_concurrent=1;background=False
incumbent_source_policy_present,engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s,True,diagnostic_parent_cutoff_no_paper_evidence
run_timestamps_valid,engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s,True,start=2026-07-12T06:45:13+08:00;end=2026-07-12T06:50:14+08:00
resource_stop_not_used,engineering__tight_T_seed3102__plain_fixed_interval_mip__ga074ec730af64a8c__300s,True,resource_stopped=False;bound_used=False;certified=False
unique_run_id,engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s,True,unique
one_thread_cplex,engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s,True,cplex_threads=1
single_solver_process,engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s,True,max_concurrent=1;background=False
incumbent_source_policy_present,engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s,True,diagnostic_parent_cutoff_no_paper_evidence
run_timestamps_valid,engineering__tight_T_seed3102__tailored_static_leaf_no_callback__ga074ec730af64a8c__300s,True,start=2026-07-12T06:50:14+08:00;end=2026-07-12T06:50:22+08:00
