stage,id,comparison,effective_submission,interpretation,gap_reduction,relative_gap_reduction,UB_contribution,LB_contribution,wall_reduction,relative_wall_reduction,decision
fixed120,D3,off_vs_archive,False,qualified_mode_comparison,-3.876231518712414e-05,-0.006030118841329743,0.0,-3.876231518712414e-05,-0.0010000001639127731,-8.46897952129032e-06,below_predeclared_threshold
fixed120,D3,off_vs_submit,True,qualified_mode_comparison,0.002557122044875057,0.3978026015201169,0.0,0.002557122044875057,-4.656612873077393e-10,-3.943675259648184e-12,meaningful_gap_improvement
fixed120,D4,off_vs_archive,False,qualified_mode_comparison,0.0,0.0,0.0,0.0,0.0940000000409782,0.0010220835285904633,below_predeclared_threshold
fixed120,D4,off_vs_submit,True,qualified_mode_comparison,3.1921121301792255e-10,1.0,0.0,3.1921143506252747e-10,-5.061999999918044,-0.0550402853126139,below_predeclared_threshold
fixed120,D6,off_vs_archive,False,qualified_mode_comparison,0.03135003438944611,0.6222823581955597,0.03135003438944611,0.0,-4.656612873077393e-10,-3.9395048121345246e-12,meaningful_gap_improvement
fixed120,D6,off_vs_submit,False,archive_only_mapping_diagnostic,0.03135003438944611,0.6222823581955597,0.03135003438944611,0.0,0.0,0.0,meaningful_gap_improvement
fixed120,D7,off_vs_archive,False,qualified_mode_comparison,0.3883805479907425,0.8156501957746186,0.3883805479907425,0.0,0.01500000013038516,0.000126632505131641,meaningful_gap_improvement
fixed120,D7,off_vs_submit,False,archive_only_mapping_diagnostic,0.38834023836870535,0.8155655402704326,0.3883805479907425,-4.030962203710464e-05,0.0,0.0,meaningful_gap_improvement
fixed120_corrected,D6,off_vs_archive,False,qualified_mode_comparison,0.03135003438944611,0.6222823581955597,0.03135003438944611,0.0,4.656612873077393e-10,3.939504812119005e-12,meaningful_gap_improvement
fixed120_corrected,D6,off_vs_submit,True,qualified_mode_comparison,0.03259449472261672,0.6469842676475933,0.03135003438944611,0.001244460333170605,0.01500000013038516,0.00012690033358170446,meaningful_gap_improvement
fixed120_corrected,D7,off_vs_archive,False,qualified_mode_comparison,0.3883805479907425,0.8156501957746186,0.3883805479907425,0.0,0.0009999996982514858,8.442093118444633e-06,meaningful_gap_improvement
fixed120_corrected,D7,off_vs_submit,True,qualified_mode_comparison,0.3950330251788115,0.829621272207015,0.39434730001026214,0.0006857251685493948,0.0010000001639127731,8.442097049601768e-06,meaningful_gap_improvement
long600,D3,off_vs_submit,True,qualified_mode_comparison,2.5422832589105937e-10,0.6904758144574341,0.0,2.5422832589105937e-10,132.3589999997057,0.41964642397330076,meaningful_faster_certificate
long600,D4,off_vs_submit,True,qualified_mode_comparison,3.1921121301792255e-10,1.0,0.0,3.1921143506252747e-10,-5.391000000294298,-0.059931297458778246,below_predeclared_threshold
long600,D7,off_vs_submit,True,qualified_mode_comparison,0.11407455566748648,0.6469577510022428,0.1135524904428652,0.000522065224621282,-0.04700000025331974,-7.852559057646631e-05,meaningful_gap_improvement
confirmation600,C2,off_vs_submit,True,qualified_mode_comparison,-0.013476691651368111,-7140426294033.941,0.0,-0.013476691651368111,-45.234999999869615,-0.08196840134863356,certificate_loss
confirmation300,C1,off_vs_submit,True,qualified_mode_comparison,0.008430958306184483,0.33596147705452445,0.0,0.008430958306184483,0.0,0.0,meaningful_gap_improvement
k1_integration,C2,off_vs_submit,True,pre_admission_correction_K1_diagnostic,0.012590247320694914,0.37740791644558136,0.0007141621736157511,0.011876085147079163,0.0,0.0,meaningful_gap_improvement
easy_protection,D1,off_vs_submit,True,qualified_mode_comparison,0,0.0,0,0,0.2510000001639128,0.594786729889198,below_predeclared_threshold
k1_corrected,C2,off_vs_submit,True,qualified_mode_comparison,0.010968651478609037,0.32728278357268265,0.0007141621736157511,0.010254489304993286,-0.01500000013038516,-5.049434002343281e-05,meaningful_gap_improvement
