stage,id,arm,schema,state_id,instance,input_sha256,route_time_limit,pickup_time,drop_time,gamma_lower,gamma_upper,verified_cutoff,objective_sense,complete_objective,model_fingerprint,row_bound_signature,formulation_profile,exact_duplicate_row_elimination,exact_duplicate_rows_omitted,round50_symmetry_policy,round50_symmetry_rows,round51_subset_duration_big_m,round51_subset_duration_rows,round51_subset_duration_first_row_id,round51_subset_duration_last_row_id,round51_subset_duration_min_m,round51_subset_duration_max_m,round51_historical_m_may_be_unsafe,station_state_formulation,sparse_family_removal,station_state_selector_variables,station_state_perspective_variables,aggregate_mccormick_rows,support_duration_pair_rows,support_duration_triple_rows,lambda
identity_v1,D2,BUILD-F0,round50-fixed-state-identity-v1,D2,cb443_V20_regional_r2_surplus_M03_Q20.txt,610bc6b3a5d3ea2b37393c762b57738ad1f18d170faede6c1014294f697f871f,18000,60,60,0,0.8365977831355669,0.8365977831355669,minimize,G+0.15*weighted_absolute_satisfaction_deviation,01eb80f6b68d69ad44578e339376bed2d11be5ac41c747b36d1cb2a99ff5fedc,01eb80f6b68d69ad44578e339376bed2d11be5ac41c747b36d1cb2a99ff5fedc,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,570,3420,
identity_v1,D3,BUILD-F0,round50-fixed-state-identity-v1,D3,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,2850,60,60,0,0.5509176727016294,0.5509176727016294,minimize,G+0.15*weighted_absolute_satisfaction_deviation,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
identity_v1,D4,BUILD-F0,round50-fixed-state-identity-v1,D4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,2400,60,60,0,0.9166666666666666,1.1572841805002207,minimize,G+0.15*weighted_absolute_satisfaction_deviation,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
native_micro,micro,submit,round50-fixed-state-identity-v1,micro-F0-submit,round59_tiny.txt,40e14b51c421d1166d41aaa3c26ab36ba9aa54b20e8e1f346cd5203bc5325549,5,1,1,0,0.37222222222222223,0.37222222222222223,minimize,G+0.15*weighted_absolute_satisfaction_deviation,b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,0,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,3,1,
identity_final,D2,BUILD-F0,round50-fixed-state-identity-v1,D2-F0-off,cb443_V20_regional_r2_surplus_M03_Q20.txt,610bc6b3a5d3ea2b37393c762b57738ad1f18d170faede6c1014294f697f871f,18000,60,60,0,0.8365977831355669,0.8365977831355669,minimize,G+0.15*weighted_absolute_satisfaction_deviation,01eb80f6b68d69ad44578e339376bed2d11be5ac41c747b36d1cb2a99ff5fedc,01eb80f6b68d69ad44578e339376bed2d11be5ac41c747b36d1cb2a99ff5fedc,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,570,3420,
identity_final,D3,BUILD-F0,round50-fixed-state-identity-v1,D3-F0-off,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,2850,60,60,0,0.5509176727016294,0.5509176727016294,minimize,G+0.15*weighted_absolute_satisfaction_deviation,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
identity_final,D4,BUILD-F0,round50-fixed-state-identity-v1,D4-F0-off,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,2400,60,60,0,0.9166666666666666,1.1572841805002207,minimize,G+0.15*weighted_absolute_satisfaction_deviation,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
fixed120,D3,off,round50-fixed-state-identity-v1,D3-F0-off,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,2850,60,60,0,0.5509176727016294,0.5509176727016294,minimize,G+0.15*weighted_absolute_satisfaction_deviation,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
fixed120,D3,archive,round50-fixed-state-identity-v1,D3-F0-archive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,2850,60,60,0,0.5509176727016294,0.5509176727016294,minimize,G+0.15*weighted_absolute_satisfaction_deviation,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
fixed120,D3,submit,round50-fixed-state-identity-v1,D3-F0-submit,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,2850,60,60,0,0.5509176727016294,0.5509176727016294,minimize,G+0.15*weighted_absolute_satisfaction_deviation,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
fixed120,D4,off,round50-fixed-state-identity-v1,D4-F0-off,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,2400,60,60,0,0.9166666666666666,1.1572841805002207,minimize,G+0.15*weighted_absolute_satisfaction_deviation,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
fixed120,D4,archive,round50-fixed-state-identity-v1,D4-F0-archive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,2400,60,60,0,0.9166666666666666,1.1572841805002207,minimize,G+0.15*weighted_absolute_satisfaction_deviation,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
fixed120,D4,submit,round50-fixed-state-identity-v1,D4-F0-submit,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,2400,60,60,0,0.9166666666666666,1.1572841805002207,minimize,G+0.15*weighted_absolute_satisfaction_deviation,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
fixed120,D6,off,round50-fixed-state-identity-v1,D6-F0-off,cb443_V30_compact_r1_shortage_M03_Q30.txt,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,18000,60,60,0,0.9666666666666667,1.0756498987534941,minimize,G+0.15*weighted_absolute_satisfaction_deviation,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,1305,12180,
fixed120,D6,archive,round50-fixed-state-identity-v1,D6-F0-archive,cb443_V30_compact_r1_shortage_M03_Q30.txt,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,18000,60,60,0,0.9666666666666667,1.0756498987534941,minimize,G+0.15*weighted_absolute_satisfaction_deviation,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,1305,12180,
fixed120,D6,submit,round50-fixed-state-identity-v1,D6-F0-submit,cb443_V30_compact_r1_shortage_M03_Q30.txt,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,18000,60,60,0,0.9666666666666667,1.0756498987534941,minimize,G+0.15*weighted_absolute_satisfaction_deviation,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,1305,12180,
fixed120,D7,off,round50-fixed-state-identity-v1,D7-F0-off,cb443_V50_regional_r1_shortage_M04_Q30.txt,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,18000,60,60,0,0.98,1.5423858798368388,minimize,G+0.15*weighted_absolute_satisfaction_deviation,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,3,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,3675,46325,
fixed120,D7,archive,round50-fixed-state-identity-v1,D7-F0-archive,cb443_V50_regional_r1_shortage_M04_Q30.txt,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,18000,60,60,0,0.98,1.5423858798368388,minimize,G+0.15*weighted_absolute_satisfaction_deviation,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,3,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,3675,46325,
fixed120,D7,submit,round50-fixed-state-identity-v1,D7-F0-submit,cb443_V50_regional_r1_shortage_M04_Q30.txt,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,18000,60,60,0,0.98,1.5423858798368388,minimize,G+0.15*weighted_absolute_satisfaction_deviation,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,3,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,3675,46325,
identity_corrected,D2,off,round50-fixed-state-identity-v1,D2-F0-off,cb443_V20_regional_r2_surplus_M03_Q20.txt,610bc6b3a5d3ea2b37393c762b57738ad1f18d170faede6c1014294f697f871f,18000,60,60,0,0.8365977831355669,0.8365977831355669,minimize,G+0.15*weighted_absolute_satisfaction_deviation,01eb80f6b68d69ad44578e339376bed2d11be5ac41c747b36d1cb2a99ff5fedc,01eb80f6b68d69ad44578e339376bed2d11be5ac41c747b36d1cb2a99ff5fedc,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,570,3420,
identity_corrected,D3,off,round50-fixed-state-identity-v1,D3-F0-off,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,2850,60,60,0,0.5509176727016294,0.5509176727016294,minimize,G+0.15*weighted_absolute_satisfaction_deviation,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,Interval-MIP-v0-paper-safe,False,0,v0-cardinality,2,off,0,-1,-1,0,0,False,bit-product,none,0,0,0,198,660,
