stage,id,arm,profile,cheap_pairs,scan_seconds,evaluation_seconds,accept_seconds,verification_seconds,generations,decoder_calls,initialization_seconds,decoder_seconds,observer_seconds,conversion_seconds,hash_seconds,copy_seconds,ledger_seconds,total_seconds,evidence_persisted,published
quality_v1,D7,LEGACY60+BLOCK+PREFIX,prefix_costs.json,,,,,6.57e-05,16,487,0.0301981,2.3982094999999988,0.0002561,2.3800000000000003e-05,0.00014130000000000002,8.7e-06,0.0001686,4.3115151,1,9
publication,D6,prefix-off,prefix_costs.json,,,,,0,16,364,0.0921787,1.2409993999999989,0,0,0,0,0,3.0331333,1,0
publication,D6,prefix-on,prefix_costs.json,,,,,3.94e-05,16,364,0.0810472,1.2536988000000004,0.000163,1.67e-05,8.49e-05,6.899999999999999e-06,0.0003466,3.0293364,1,7
publication,D7,prefix-off,prefix_costs.json,,,,,0,16,487,0.0298885,2.4260102999999984,0,0,0,0,0,4.3804994,1,0
publication,D7,prefix-on,prefix_costs.json,,,,,6.84e-05,16,487,0.0283747,2.3798364999999992,0.0002547,2.33e-05,0.00013409999999999998,1.0500000000000001e-05,0.0001659,4.3026244,1,9
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,300,4.36e-05,4.0799999999999996e-05,3.54e-05,5.7e-06,,,,,,,,,,,,
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,1.26e-05,16,281,0.0022777,0.03837590000000001,0.00010850000000000001,2.2400000000000002e-05,5.55e-05,4.7e-06,0.0001611,0.0433519,1,7
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,280,3.6599999999999995e-05,3.05e-05,2.19e-05,3.9e-06,,,,,,,,,,,,
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,1.22e-05,16,265,0.0016183,0.024104400000000012,7.329999999999999e-05,1.1000000000000001e-05,3.79e-05,3.7e-06,0.000366,0.0302985,1,7
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,4720,0.0003848000000000001,0.0004317,0.00011259999999999999,2.4200000000000002e-05,,,,,,,,,,,,
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,3.36e-05,16,364,0.0831823,1.2770645999999992,0.0001497,2.1099999999999998e-05,7.75e-05,6.4000000000000006e-06,0.0001763,3.0917069,1,7
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,21233,0.0019911,0.0008716,0.0002621,5.6699999999999996e-05,,,,,,,,,,,,
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,6.75e-05,16,487,0.0310262,2.4249153000000025,0.0002429,2.58e-05,0.0001245,8e-06,0.000154,4.3987207,1,9
quality_final,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,4720,0.0004405,0.00042409999999999995,0.00010229999999999999,2.1499999999999997e-05,,,,,,,,,,,,
quality_final,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,3.22e-05,16,364,0.0822043,1.2505582999999998,0.000144,2.3400000000000003e-05,7.369999999999999e-05,3.7e-06,0.0001722,3.042862,1,7
quality_final,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,21233,0.0019521,0.0009304000000000001,0.00020729999999999997,4.6200000000000005e-05,,,,,,,,,,,,
quality_final,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,7.03e-05,16,487,0.0301695,2.4356519000000003,0.0002712,2.8400000000000003e-05,0.0001476,7.8e-06,0.0001735,4.3703364,1,9
quality_final,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,300,4.37e-05,4.16e-05,3.3499999999999994e-05,4.1e-06,,,,,,,,,,,,
quality_final,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,1.31e-05,16,281,0.0023143,0.039531600000000014,9.03e-05,1.1799999999999999e-05,4.93e-05,4.3e-06,0.0001872,0.0444423,1,7
quality_final,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,block_costs.json,280,3.8100000000000005e-05,3.2699999999999995e-05,2.3800000000000003e-05,4.7e-06,,,,,,,,,,,,
quality_final,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,prefix_costs.json,,,,,1.3599999999999999e-05,16,265,0.0031462,0.026667699999999996,0.00010159999999999998,1.6400000000000002e-05,5.539999999999999e-05,4.9999999999999996e-06,0.0001837,0.0329014,1,7
