id,logical_prefix_equal,OFF_generations,OFF_decoder_calls,OFF_initialization_seconds,OFF_decoder_seconds,OFF_observer_seconds,OFF_conversion_seconds,OFF_hash_seconds,OFF_copy_seconds,OFF_verification_seconds,OFF_ledger_seconds,OFF_total_seconds,OFF_evidence_persisted,OFF_published,ON_generations,ON_decoder_calls,ON_initialization_seconds,ON_decoder_seconds,ON_observer_seconds,ON_conversion_seconds,ON_hash_seconds,ON_copy_seconds,ON_verification_seconds,ON_ledger_seconds,ON_total_seconds,ON_evidence_persisted,ON_published,delta_total_seconds
D6,True,16,364,0.0921787,1.2409993999999989,0,0,0,0,0,0,3.0331333,1,0,16,364,0.0810472,1.2536988000000004,0.000163,1.67e-05,8.49e-05,6.899999999999999e-06,3.94e-05,0.0003466,3.0293364,1,7,-0.00379689999999977
D7,True,16,487,0.0298885,2.4260102999999984,0,0,0,0,0,0,4.3804994,1,0,16,487,0.0283747,2.3798364999999992,0.0002547,2.33e-05,0.00013409999999999998,1.0500000000000001e-05,6.84e-05,0.0001659,4.3026244,1,9,-0.0778749999999997
