stage,id,arm,generation,elapsed_seconds,F,verified_snapshot_sha256
quality_v1,D1,LEGACY60+BLOCK+PREFIX,0,0.0022406,0.08804347826086958,9219824fc58f94a9e84c4eac5015403ce28774fd5d84e3f60f0dbb0c3b794f1d
quality_v1,D1,LEGACY60+BLOCK+PREFIX,4,0.0118584,0.0,439208893be44caeadac022f83bea9085c881d664ff90a58b605f3cccfa9ee12
quality_v1,D1,LEGACY60+BLOCK+PREFIX,8,0.0201082,0.0,439208893be44caeadac022f83bea9085c881d664ff90a58b605f3cccfa9ee12
quality_v1,D1,LEGACY60+BLOCK+PREFIX,16,0.0313347,0.0,439208893be44caeadac022f83bea9085c881d664ff90a58b605f3cccfa9ee12
quality_v1,D2,LEGACY60+BLOCK+PREFIX,0,0.021646,0.2980530283423257,053426c572867fdd92874c001f15c32f928e7ae15632efca57c66d5a086b459d
quality_v1,D2,LEGACY60+BLOCK+PREFIX,4,0.2376979,0.054289740004918235,c0ffc7bfffc6383dfb8465842104d1c992f7b1c4280d1f20929cc7feeb6eab61
quality_v1,D2,LEGACY60+BLOCK+PREFIX,8,0.3461252,0.03183244860929584,b6549172ea3e8beef3d4181fb850f5fd404f5b390eb6485986bc4a2b6c40f70b
quality_v1,D2,LEGACY60+BLOCK+PREFIX,16,0.5612977,0.03183244860929584,b6549172ea3e8beef3d4181fb850f5fd404f5b390eb6485986bc4a2b6c40f70b
quality_v1,D3,LEGACY60+BLOCK+PREFIX,0,0.00236,0.2523844083911043,19cfbf93480b2a9097ee076cef7a57c2c951e9c08594d489ee393de15534f25d
quality_v1,D3,LEGACY60+BLOCK+PREFIX,4,0.0119375,0.1109694491162189,90b0462b68b7c802da5d9594a5faa028341d8a734f7d0ec8a7ed14e59c045000
quality_v1,D3,LEGACY60+BLOCK+PREFIX,8,0.023467,0.07397714283130842,844f2f5392eb2f62097f5d2f28f0330deb5816c17891cd3880106faa3cab21b9
quality_v1,D3,LEGACY60+BLOCK+PREFIX,16,0.0430287,0.07095552388769952,fe1e914c8c1d4fd85a654f738cb32380cd657dbba1251a98919fa3d479d05f9f
quality_v1,D4,LEGACY60+BLOCK+PREFIX,0,0.0016955,0.9028746916153206,4c8cd89558c2a695d233b4b825ae40fe02db39a242a821b77806c7282450a769
quality_v1,D4,LEGACY60+BLOCK+PREFIX,4,0.0085534,0.5321340054078207,2d96c355ab367b2d676b3038be7faed3631545aa0e7f3705482f5ca0b230fce9
quality_v1,D4,LEGACY60+BLOCK+PREFIX,8,0.0165574,0.5220831267121837,296e0c109f10fb752a80866c511110e29273c76e1c5f0d66eec0b048ce74c11d
quality_v1,D4,LEGACY60+BLOCK+PREFIX,16,0.0346469,0.506422789224163,b458d2282a68c80a79ad6b0295dea6d1b98c99cc466a38b101880b81a1368467
quality_v1,D6,LEGACY60+BLOCK+PREFIX,0,0.0848476,0.4882745451017583,cd8574f84e07e0b33977607abde58e8e2bf74bab64834de906653fea5f539b7c
quality_v1,D6,LEGACY60+BLOCK+PREFIX,4,1.1840544,0.16068242635373017,eadf710c8a0ce38af8bbd849cd7059d92a8d2897536e1f356c9a1af7a05e1854
quality_v1,D6,LEGACY60+BLOCK+PREFIX,8,1.704898,0.15798674998063217,88e4e7ab60f62845cb59df69f20ea1076c56883dbf992364c2c3a69f7418fcd3
quality_v1,D6,LEGACY60+BLOCK+PREFIX,16,3.027018,0.1572411758522922,bde273cf87e6306ec37670d024b62cbe6f97cfb0411ce623bc56123c2aa64f77
quality_v1,D7,LEGACY60+BLOCK+PREFIX,0,0.0301979,0.9429432680981549,34e80dfd33529cceb31e438e44417e0fb92fdb75d743c703bed70c7bfba2bad8
quality_v1,D7,LEGACY60+BLOCK+PREFIX,4,1.1962615,0.5009653228529692,83c3307f3bb8175f29e71249ba838c3e9c9def68d65f69f4d43ae9e1ce88cae3
quality_v1,D7,LEGACY60+BLOCK+PREFIX,8,2.3887674,0.3204562417175706,fb5995a8c7b1370032b91534b8bc9f63c8fc176c4fc038aa76a6c11b4d4f28cb
quality_v1,D7,LEGACY60+BLOCK+PREFIX,16,4.310743,0.2828562228211009,fd71e8b43d2089df73f6498c2a87916db633ec8c2a31b83fa7a6230549389b0d
publication,D6,prefix-on,0,0.0810469,0.4882745451017583,cd8574f84e07e0b33977607abde58e8e2bf74bab64834de906653fea5f539b7c
publication,D6,prefix-on,4,1.1268541,0.16068242635373017,eadf710c8a0ce38af8bbd849cd7059d92a8d2897536e1f356c9a1af7a05e1854
publication,D6,prefix-on,8,1.7112663,0.15798674998063217,88e4e7ab60f62845cb59df69f20ea1076c56883dbf992364c2c3a69f7418fcd3
publication,D6,prefix-on,16,3.028543,0.1572411758522922,bde273cf87e6306ec37670d024b62cbe6f97cfb0411ce623bc56123c2aa64f77
publication,D7,prefix-on,0,0.0283743,0.9429432680981549,34e80dfd33529cceb31e438e44417e0fb92fdb75d743c703bed70c7bfba2bad8
publication,D7,prefix-on,4,1.1790232,0.5009653228529692,83c3307f3bb8175f29e71249ba838c3e9c9def68d65f69f4d43ae9e1ce88cae3
publication,D7,prefix-on,8,2.3497635,0.3204562417175706,fb5995a8c7b1370032b91534b8bc9f63c8fc176c4fc038aa76a6c11b4d4f28cb
publication,D7,prefix-on,16,4.3020645,0.2828562228211009,fd71e8b43d2089df73f6498c2a87916db633ec8c2a31b83fa7a6230549389b0d
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,0,0.0022766,0.2523844083911043,19cfbf93480b2a9097ee076cef7a57c2c951e9c08594d489ee393de15534f25d
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,4,0.0123992,0.1109694491162189,90b0462b68b7c802da5d9594a5faa028341d8a734f7d0ec8a7ed14e59c045000
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,8,0.0238656,0.07397714283130842,844f2f5392eb2f62097f5d2f28f0330deb5816c17891cd3880106faa3cab21b9
