stage,id,arm,ledger,leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,terminal_ready,coalesced_block_id,coverage_member_ids,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,single_child_contraction_parent,strict_infeasible_half_verified,contracted_infeasible_gamma_L,contracted_infeasible_gamma_U,contraction_source,closure_source,lower_bound_sources,anchor_cell_index,anchor_lower,anchor_upper,active,active_lower,active_upper,truncated_by_proof_range,U_proof_launch,U_anchor_launch,proof_range_lower,proof_range_upper,normalization_source,decision_sequence,K0,tau,interval_id,B_p,B_L,B_R,U,proof_gap,g_L_raw,g_R_raw,g_L,g_R,eta,mu,S_AM,adaptive_rho_I,score_tolerance,selected_action,native_target,deterministic_reason,coverage_update,phase_index,target_kind,current_bound,target_bound,other_open_min_bound,verified_cutoff,native_bound,target_reached,exact_closure,requeued,event_source
confirmation600,C2,Single-S-off,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,596.91366740000001,0.1100001335144043,0.3015452305938498,0,2276,0,0.020313904000000001,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation600,C2,Single-S-off,paper_optimize_ledger.csv,L0,MIP,OPTIMAL,0,596.77917709999997,551.38700008392334,1144.8498978721584,46980,5579135,0,0.19847593199999999,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation600,C2,Single-S-off,paper_leaf_ledger.csv,L0,,,,,,,,,,,,,,,,,0,-1,0,0.94999999999999996,0,0.82996341317177336,closed,1,1,0,0.53016023239154275,1,1,,,0,0,0,0,0,,,,native_terminal_mip_optimal,objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;native_terminal_mip_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation600,C2,Single-S-off,initial_decomposition_ledger.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.94999999999999996,1,0,0.94999999999999996,0,1.0459177733327443,1.0459177733327443,0,0.94999999999999996,proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation600,C2,Single-S-submit,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,596.89363019999996,0.1099998950958252,0.3015452305938498,0,2276,0,0.020313910000000001,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation600,C2,Single-S-submit,paper_optimize_ledger.csv,L0,MIP,TIME_LIMIT,0,596.75949219999995,596.76199984550476,1253.0305517969036,42900,5831307,0,0.19774159599999999,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_terminal_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation600,C2,Single-S-submit,paper_leaf_ledger.csv,L0,,,,,,,,,,,,,,,,,0,-1,0,0.94999999999999996,0,0.81648672152040525,open,1,1,0,0.53016023239154275,1,1,,,0,0,0,0,0,,,,,objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;native_terminal_mip_bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation600,C2,Single-S-submit,initial_decomposition_ledger.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.94999999999999996,1,0,0.94999999999999996,0,1.0459177733327443,1.0459177733327443,0,0.94999999999999996,proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation300,C1,Single-S-off,paper_optimize_ledger.csv,L0,LP,OPTIMAL,0,296.95380030000001,0.046000003814697266,0.113930307143799,0,1425,0,0.0070660339999999997,27350a505e5c2b53176e658ec6b89d7a8e74c787f3d5d6f8c5e401cb2dbad2f8,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_lp.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation300,C1,Single-S-off,paper_optimize_ledger.csv,L0,MIP,TIME_LIMIT,0,296.89513299999999,296.8970000743866,559.71574492289619,56801,5039737,0,0.057049851999999998,27350a505e5c2b53176e658ec6b89d7a8e74c787f3d5d6f8c5e401cb2dbad2f8,1,0,not_requested,E:\codes\ExactEBRP\results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
