stage,id,arm,classification,status,LP,T_original,safe_duration_bound,lower,upper,time_independent_infeasible,parameters_verified,seconds,solver_seconds,work
oracle_micro,transfer,lp,original_T_strictly_infeasible,2,1,12,24.242640687119284,13.21895141649746,,0,1,0.0088943,0.0019998550415039062,4.989226452380958e-05
oracle_micro,transfer,mip,original_T_strictly_infeasible,2,0,12,24.242640687119284,13.414213562373096,13.414213562373096,0,1,0.0078216,0.0009999275207519531,3.9677e-05
oracle_micro,supply_infeasible,mip,MIP_infeasible_time_independent,3,0,12,24.242640687119284,,,1,1,0.0076161,0.0009999275207519531,0.00014049
oracle_micro,released_supplier,mip,original_T_feasible,2,0,20,24.242640687119284,15.414213562373096,15.414213562373096,0,1,0.0077118,0.0010001659393310547,6.669128571428572e-05
oracle_history,D3,lp,unknown,2,1,2850,34095.62347615848,1469.5823858054555,,0,1,0.0229068,0.006000041961669922,0.009142989912478172
oracle_history,D3,mip,original_T_strictly_infeasible,2,0,2850,34095.62347615848,3081.1068104815326,3081.106810481533,0,1,55.0265013,55.00699996948242,73.76484702738675
oracle_history,D4,lp,unknown,2,1,2400,37524.716539059635,1515.4584861514527,,0,1,0.0188855,0.003999948501586914,0.004964863157250643
oracle_history,D4,mip,original_T_strictly_infeasible,2,0,2400,37524.716539059635,3615.172671630509,3615.172671630509,0,1,4.8211081,4.805000066757202,5.994475272547113
oracle_history,D6,lp,unknown,2,1,18000,86258.78456883799,6644.179411078015,,0,1,0.0488305,0.023000001907348633,0.02615364971514307
oracle_history,D6,mip,unknown,9,0,18000,86258.78456883799,6811.867193121794,21819.889367190885,0,1,118.0195952,117.98299980163574,200.82715665516972
oracle_prefix,D3,lp,unknown,2,1,2850,34095.62347615848,1348.2369230285135,,0,1,0.0210321,0.005000114440917969,0.007446248370121294
oracle_prefix,D3,mip,original_T_feasible,2,0,2850,34095.62347615848,2733.5084340032017,2733.5084340032017,0,1,17.0083601,16.993000030517578,22.539371368437628
oracle_conflict_1,D4,mip,original_T_strictly_infeasible,2,0,2400,37524.716539059635,3331.6234731709214,3331.6234731709246,0,1,104.2695017,104.25300002098083,146.29959827786917
oracle_conflict_2,D4,mip,original_T_strictly_infeasible,9,0,2400,37524.716539059635,3252.952625011076,3331.6234731709246,0,1,118.006428,117.99000000953674,169.27008762114892
