stage,id,arm,kind,charged,calls,wall_seconds,cap_seconds,within_budget
identity_v1,D2,BUILD-F0,build-only,False,0,0.2809999999590218,30,True
identity_v1,D3,BUILD-F0,build-only,False,0,0.10899999970570207,30,True
identity_v1,D4,BUILD-F0,build-only,False,0,0.0940000000409782,30,True
quality_v1,D1,LEGACY60+BLOCK+PREFIX,construction,True,0,0.10899999970570207,60,True
quality_v1,D2,LEGACY60+BLOCK+PREFIX,construction,True,0,0.5779999997466803,60,True
quality_v1,D3,LEGACY60+BLOCK+PREFIX,construction,True,0,0.06300000008195639,60,True
quality_v1,D4,LEGACY60+BLOCK+PREFIX,construction,True,0,0.06300000008195639,60,True
quality_v1,D6,LEGACY60+BLOCK+PREFIX,construction,True,0,3.0619999999180436,60,True
quality_v1,D7,LEGACY60+BLOCK+PREFIX,construction,True,0,4.344000000040978,60,True
publication,D6,prefix-off,construction,True,0,3.0469999997876585,40,True
publication,D6,prefix-on,construction,True,0,3.0469999997876585,40,True
publication,D7,prefix-off,construction,True,0,4.405999999959022,40,True
publication,D7,prefix-on,construction,True,0,4.311999999918044,40,True
quality_v2,D3,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,0.10899999970570207,90,True
quality_v2,D4,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,0.04700000025331974,90,True
quality_v2,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,3.1090000001713634,90,True
quality_v2,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,4.42200000025332,90,True
native_micro,micro,submit,native-micro,True,1,0.26500000013038516,15,True
oracle_micro,transfer,lp,oracle,True,1,0.09299999987706542,10,True
oracle_micro,transfer,mip,oracle,True,1,0.016000000294297934,10,True
oracle_micro,supply_infeasible,mip,oracle,True,1,0.01500000013038516,10,True
oracle_micro,released_supplier,mip,oracle,True,1,0.01500000013038516,10,True
identity_final,D2,BUILD-F0,build-only,False,0,0.2190000000409782,30,True
identity_final,D3,BUILD-F0,build-only,False,0,0.09299999987706542,30,True
identity_final,D4,BUILD-F0,build-only,False,0,0.0940000000409782,30,True
fixed120,D3,off,performance,True,1,118.07799999974668,120,True
fixed120,D3,archive,performance,True,1,118.0789999999106,120,True
fixed120,D3,submit,performance,True,1,118.07800000021234,120,True
fixed120,D4,off,performance,True,1,91.96900000004098,120,True
fixed120,D4,archive,performance,True,1,91.875,120,True
fixed120,D4,submit,performance,True,1,97.03099999995902,120,True
fixed120,D6,off,performance,True,1,118.20299999974668,120,True
fixed120,D6,archive,performance,True,1,118.20300000021234,120,True
fixed120,D6,submit,performance,True,1,118.20299999974668,120,True
fixed120,D7,off,performance,True,1,118.45300000021234,120,True
fixed120,D7,archive,performance,True,1,118.43800000008196,120,True
fixed120,D7,submit,performance,True,1,118.45300000021234,120,True
identity_corrected,D2,off,build-only,False,0,0.26599999982863665,15,True
identity_corrected,D3,off,build-only,False,0,0.0940000000409782,15,True
identity_corrected,D4,off,build-only,False,0,0.0940000000409782,15,True
quality_final,D6,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,3.108999999705702,90,True
quality_final,D7,LEGACY60+BLOCK+BLOCK-R+PREFIX+PREFIX-R,construction,True,0,4.407000000122935,90,True
native_micro_corrected,D6,submit,native-micro,True,1,13.155999999959022,15,True
fixed120_corrected,D6,off,performance,True,1,118.20300000021234,120,True
fixed120_corrected,D6,archive,performance,True,1,118.20299999974668,120,True
fixed120_corrected,D6,submit,performance,True,1,118.18800000008196,120,True
fixed120_corrected,D7,off,performance,True,1,118.4539999999106,120,True
fixed120_corrected,D7,archive,performance,True,1,118.45300000021234,120,True
fixed120_corrected,D7,submit,performance,True,1,118.45299999974668,120,True
oracle_history,D3,lp,oracle,True,1,0.07800000021234155,120,True
oracle_history,D3,mip,oracle,True,1,55.04600000008941,120,True
oracle_history,D4,lp,oracle,True,1,0.03200000012293458,120,True
oracle_history,D4,mip,oracle,True,1,4.8280000002123415,120,True
oracle_history,D6,lp,oracle,True,1,0.07899999991059303,120,True
oracle_history,D6,mip,oracle,True,1,118.03099999995902,120,True
oracle_prefix,D3,lp,oracle,True,1,0.03200000012293458,120,True
