stage,id,arm,file,sha256,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
quality_v1,D1,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D1\BLOCK_witness.json,f1d0156176938d3ce7e7623f691d67a9810d481107edb65ecc532f926f609d3e,0.0,0.0,0.0,8,14,14,3535.0677224867122,True
quality_v1,D1,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D1\LEGACY60_witness.json,7f8eeb044e2dd0cb108946fc17f679ce3f6fb2546ae2f5c08380ec5f2609f4be,0.0653408890909091,0.034090909090909095,0.20833320000000002,7,14,11,3208.1736842865985,True
quality_v1,D1,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D1\PREFIX_witness.json,20174cf1ef02071aba13a0e3e97234779ea3bad6dd2d509bfc86e1ac12c0adeb,0.0,0.0,0.0,8,14,14,3215.1759269577524,True
quality_v1,D2,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D2\BLOCK_witness.json,60496c9ced8b4593851d1d42b037846dd0547838baca1d1b588fec89b8147b67,0.14291294409189811,0.05679797754432806,0.5740997769838004,20,117,108,17553.798189982273,True
quality_v1,D2,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D2\LEGACY60_witness.json,2ad18a0da618ba5fefbf43184ad9b0788744b101efd61825977348dd0333ae0c,0.6892497453201132,0.27675825793751363,2.74994324921733,2,20,16,4171.691470134891,True
quality_v1,D2,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D2\PREFIX_witness.json,9a9c3e57d666b2327492d0979e1872bdd5fee901d082e9516d67ea21c5db1f3c,0.03183244860929584,0.009546739244216475,0.14857139576719577,20,123,86,14048.138167232031,True
quality_v1,D3,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D3\BLOCK_witness.json,bb7777dc108f47c8556586a095ccb15501adeaff0f3dd70dee594660926deb48,0.1271719996167559,0.054887201510695316,0.48189865404040394,11,25,22,2848.9414652986634,True
quality_v1,D3,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D3\LEGACY60_witness.json,9445c0269064164f6c81058d6c26d6e09edf4f59db4b1f393f967e3b8922b165,0.11112610824941918,0.047394171452882376,0.42487957864357867,7,25,19,2654.098586990154,True
quality_v1,D3,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D3\PREFIX_witness.json,da22c8bc932f32bec9427b2cca01918665fb9d7bc67039ece383d72b956c1f1c,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
quality_v1,D4,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D4\BLOCK_witness.json,017c40f7f64033c2a7a7416e4bd37a04acd30a4132152f494462f8acae45de55,0.5692147745686755,0.20202291668404462,2.447945719230873,8,26,26,2294.371123576399,True
quality_v1,D4,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D4\LEGACY60_witness.json,733dd97e80454910984ca80a1d6e6e4b33e65468fd575a12a57aec880a639a23,0.6298595581519119,0.22726574247824557,2.683958771157775,6,27,27,2292.3045285438257,True
quality_v1,D4,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D4\PREFIX_witness.json,6667eb843893b22433c6eeabea0c0fa1e17234270eb3c6536eb15555d836ed8a,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
quality_v1,D6,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D6\BLOCK_witness.json,091b5b40f15a111daa484d39b338bd9b62dda230c1900ceaf2c70690d41ff4c3,0.25664215863900003,0.10803621672175064,0.9907062794483295,30,131,131,17973.102379972148,True
quality_v1,D6,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D6\LEGACY60_witness.json,006f32227f745ddba567ec99e84d10fc3b25a8b1af914a638521c046eb9f7840,0.9936294471372696,0.3414329721565924,4.347976499871182,2,9,9,2692.2895669505533,True
quality_v1,D6,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D6\PREFIX_witness.json,08c1017bb272796a37c153ae7255de3aff994faba2be1878c1e6c21527bf8ddc,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
quality_v1,D7,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D7\BLOCK_witness.json,7b8d5ccf0c306b0faa123d8e6a589b80d6c49d959635bacea6c2333aebf8bfaa,0.6234293395970685,0.22870718546091062,2.6314810275743863,42,218,218,17908.75604108852,True
quality_v1,D7,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D7\LEGACY60_witness.json,e0fcbeea48a7d2dd63dd5071bc3f93b9d8bd17d9cbfc35d936e0e7111072c7f3,1.4835579219361101,0.3800728077085653,7.356567428183632,1,15,0,4336.307107225804,True
quality_v1,D7,LEGACY60+BLOCK+PREFIX,results\gf_transfer_block_native_time_round61\local_raw\quality_v1\D7\PREFIX_witness.json,b318d9f01be459aedd27ef3489a70f141839a1331cdb1e9a58b537c458512ec0,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
publication,D6,prefix-off,results\gf_transfer_block_native_time_round61\local_raw\publication\D6\prefix-off\PREFIX_witness.json,08c1017bb272796a37c153ae7255de3aff994faba2be1878c1e6c21527bf8ddc,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
