stage,id,arm,file,root_LP_objective,root_LP_seconds,root_LP_work,first_final_UB_solver_seconds_rounded,timestamp_scope
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,0.6064756,0.08,0.2,20.0,per native call; integer-second log precision; no unique-source inference
confirmation600,C2,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\native_logs\L0_terminal_mip.gurobi.log,0.6064756,0.08,0.2,74.0,per native call; integer-second log precision; no unique-source inference
confirmation300,C1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\off\external\native_logs\L0_terminal_mip.gurobi.log,0.08251619,0.03,0.07,8.0,per native call; integer-second log precision; no unique-source inference
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\native_logs\L0_terminal_mip.gurobi.log,0.08251619,0.03,0.07,8.0,per native call; integer-second log precision; no unique-source inference
k1_integration,C2,K1-S-off,results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,,,,259.0,per native call; integer-second log precision; no unique-source inference
k1_integration,C2,K1-S-submit,results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\native_logs\L0.0_terminal_mip.gurobi.log,0.6072794,0.08,0.2,263.0,per native call; integer-second log precision; no unique-source inference
references,C2,P-GRB,results\gf_transfer_block_native_time_round61\local_raw\references\C2\P-GRB\native.log,0.5541587,0.02,0.04,104.0,per native call; integer-second log precision; no unique-source inference
references,C2,K1-H,results\gf_transfer_block_native_time_round61\local_raw\references\C2\K1-H\external\native_logs\L0.0_terminal_mip.gurobi.log,,,,151.0,per native call; integer-second log precision; no unique-source inference
easy_protection,D1,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\easy_protection\D1\off\external\native_logs\L0_terminal_mip.gurobi.log,0.0,0.0,0.0,0.0,per native call; integer-second log precision; no unique-source inference
easy_protection,D1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\easy_protection\D1\submit\external\native_logs\L0_terminal_mip.gurobi.log,0.0,0.0,0.0,0.0,per native call; integer-second log precision; no unique-source inference
k1_corrected,C2,K1-S-off,results\gf_transfer_block_native_time_round61\local_raw\k1_corrected\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,,,,259.0,per native call; integer-second log precision; no unique-source inference
k1_corrected,C2,K1-S-submit,results\gf_transfer_block_native_time_round61\local_raw\k1_corrected\C2\submit\external\native_logs\L0.0_terminal_mip.gurobi.log,0.6072794,0.08,0.2,8.0,per native call; integer-second log precision; no unique-source inference
