stage,id,arm,file,event_sequence,callback_where,trigger,source,content_sha256,mode,status,generated,verified,strictly_improves_cutoff,mapping_complete,bounds_valid,integrality_valid,linear_checked,linear_valid,linear_rows_checked,violated_rows,max_violation,submitted,submission_return_code,native_objective_returned,native_objective,acceptance,objective_evaluations,callback_elapsed_seconds,generation_seconds,verification_seconds,mapping_seconds,residual_check_seconds,total_seconds,candidate_objective,exact_vector_observed_in_mipsol,final_integer_vector_matches,native_incumbent_change_observed,native_incumbent_before_available,native_incumbent_before_submission,first_native_at_or_better_candidate_solver_seconds,exact_MIPSOL_processing_timestamp
fixed120_corrected,D6,archive,results\gf_transfer_block_native_time_round61\local_raw\fixed120_corrected\D6\archive\round60_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,5933000f66838c23da8197593a115c8afc7114d65d1dfee34b8b19e1fe17e439,archive,verified_mapped_dry_run,1,1,1,1,1,1,1,1,29923,0,0,0,-1,0,0,not_submitted,0,0.24434520000000001,3.0467654999999998,2.5000000000000002e-06,0.0016008000000000001,0.00018579999999999999,0.0018029999999999999,0.15724117585229219,0,0,0,0,0,,not_separately_recorded
fixed120_corrected,D6,submit,results\gf_transfer_block_native_time_round61\local_raw\fixed120_corrected\D6\submit\round60_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,5933000f66838c23da8197593a115c8afc7114d65d1dfee34b8b19e1fe17e439,submit,submitted_integer_decisions_match_final_native_solution,1,1,1,1,1,1,1,1,29923,0,0,1,0,0,0,confirmed_submitted_integer_decision_vector_is_final_native_solution,0,0.25113920000000001,3.0476152999999999,3.3000000000000002e-06,0.0016877000000000001,0.00018420000000000001,0.001895,0.15724117585229219,1,1,1,0,0,1.3241634,not_separately_recorded
fixed120_corrected,D7,archive,results\gf_transfer_block_native_time_round61\local_raw\fixed120_corrected\D7\archive\round60_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,65521c675a2eed5882bf6084ab31233946ce83e89e7d569bb5c4ebbcda75574a,archive,verified_mapped_dry_run,1,1,1,1,1,1,1,1,103581,0,0,0,-1,0,0,not_submitted,0,0.91081670000000003,4.3767104000000003,6.7000000000000002e-06,0.0053506999999999999,0.00071319999999999999,0.0061456000000000002,0.2828562228211009,0,0,0,0,0,,not_separately_recorded
fixed120_corrected,D7,submit,results\gf_transfer_block_native_time_round61\local_raw\fixed120_corrected\D7\submit\round60_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,65521c675a2eed5882bf6084ab31233946ce83e89e7d569bb5c4ebbcda75574a,submit,submitted_and_observed_in_MIPSOL,1,1,1,1,1,1,1,1,103581,0,0,1,0,0,0,confirmed_exact_vector_observed_in_MIPSOL,0,0.94615269999999996,4.4289114999999999,3.1e-06,0.0054875000000000002,0.0007048,0.0062767999999999999,0.2828562228211009,1,0,1,0,0,12.9162767,not_separately_recorded
long600,D3,submit,results\gf_transfer_block_native_time_round61\local_raw\long600\D3\submit\round60_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,fe1e914c8c1d4fd85a654f738cb32380cd657dbba1251a98919fa3d479d05f9f,submit,submitted_and_observed_in_MIPSOL,1,1,1,1,1,1,1,1,4143,0,0,1,0,0,0,confirmed_exact_vector_observed_in_MIPSOL,0,0.067454700000000006,0.0436046,1.3999999999999999e-06,0.0003321,2.3200000000000001e-05,0.00036880000000000002,0.070955523887699518,1,0,1,0,0,0.2834573,not_separately_recorded
long600,D4,submit,results\gf_transfer_block_native_time_round61\local_raw\long600\D4\submit\round60_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,b458d2282a68c80a79ad6b0295dea6d1b98c99cc466a38b101880b81a1368467,submit,submitted_and_observed_in_MIPSOL,1,1,1,1,1,1,1,1,4136,0,0,1,0,0,0,confirmed_exact_vector_observed_in_MIPSOL,0,0.070661399999999999,0.030406599999999999,1.3e-06,0.00033050000000000001,2.3300000000000001e-05,0.00037189999999999999,0.50642278922416295,1,0,1,0,0,0.3722784,not_separately_recorded
long600,D7,submit,results\gf_transfer_block_native_time_round61\local_raw\long600\D7\submit\round60_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,65521c675a2eed5882bf6084ab31233946ce83e89e7d569bb5c4ebbcda75574a,submit,submitted_and_observed_in_MIPSOL,1,1,1,1,1,1,1,1,103581,0,0,1,0,0,0,confirmed_exact_vector_observed_in_MIPSOL,0,0.93353850000000005,4.3776336999999996,6.1e-06,0.0052856999999999999,0.00069839999999999995,0.0060562000000000003,0.2828562228211009,1,0,1,0,0,12.9715987,not_separately_recorded
confirmation600,C2,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\submit\external\round60_candidates\L0_terminal_mip.gurobi_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,5fa7c559530b94271e5b39ca1dff1cb69c9baedf707a73be5c2a908fd95fc371,submit,submitted_and_observed_in_MIPSOL,1,1,1,1,1,1,1,1,8663,0,0,1,0,0,0,confirmed_exact_vector_observed_in_MIPSOL,0,0.19147049999999999,0.022369199999999999,6.9999999999999997e-07,0.00056630000000000005,5.6900000000000001e-05,0.00063880000000000002,0.83709146755470198,1,0,1,0,0,,not_separately_recorded
confirmation300,C1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\confirmation300\C1\submit\external\round60_candidates\L0_terminal_mip.gurobi_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,6da1612c3393946ae5d67a7df09af73c7e9369c1d50924eadb00f0e78f8453b5,submit,submitted_and_observed_in_MIPSOL,1,1,1,1,1,1,1,1,3098,0,0,1,0,0,0,confirmed_exact_vector_observed_in_MIPSOL,0,0.045953300000000002,0.091601100000000005,2.0999999999999998e-06,0.00024590000000000001,1.7600000000000001e-05,0.00027609999999999999,0.29766711413251545,1,0,1,0,0,,not_separately_recorded
k1_integration,C2,K1-S-submit,results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\round60_candidates\L0.0_terminal_mip.gurobi_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,5fa7c559530b94271e5b39ca1dff1cb69c9baedf707a73be5c2a908fd95fc371,submit,verified_but_not_strictly_better_than_frozen_cutoff,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,not_submitted,0,0.1959504,0.023150400000000002,4.9999999999999998e-07,0,0,5.1000000000000003e-06,0.83709146755470198,0,0,0,0,0,,not_separately_recorded
k1_integration,C2,K1-S-submit,results\gf_transfer_block_native_time_round61\local_raw\k1_integration\C2\submit\external\round60_candidates\L0_c6_1_child_disjunction_target_mip.gurobi_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,5fa7c559530b94271e5b39ca1dff1cb69c9baedf707a73be5c2a908fd95fc371,submit,submitted_for_delayed_processing,1,1,1,1,1,1,1,1,8663,0,0,1,0,0,0,unknown_pending_exact_vector_observation,0,0.1916899,0.023150400000000002,4.9999999999999998e-07,0.0005532,5.5500000000000001e-05,0.00062220000000000005,0.83709146755470198,0,0,0,0,0,,not_separately_recorded
easy_protection,D1,Single-S-submit,results\gf_transfer_block_native_time_round61\local_raw\easy_protection\D1\submit\external\round60_candidates\L0_terminal_mip.gurobi_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,439208893be44caeadac022f83bea9085c881d664ff90a58b605f3cccfa9ee12,submit,submitted_integer_decisions_match_final_native_solution,1,1,1,1,1,1,1,1,1469,0,0,1,0,0,0,confirmed_submitted_integer_decision_vector_is_final_native_solution,0,0.016237499999999998,0.032038400000000002,1.1999999999999999e-06,0.00013229999999999999,8.6000000000000007e-06,0.00015220000000000001,0,1,1,0,0,0,,not_separately_recorded
k1_corrected,C2,K1-S-submit,results\gf_transfer_block_native_time_round61\local_raw\k1_corrected\C2\submit\external\round60_candidates\L0.0_terminal_mip.gurobi_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,5fa7c559530b94271e5b39ca1dff1cb69c9baedf707a73be5c2a908fd95fc371,submit,submitted_and_observed_in_MIPSOL,1,1,0,1,1,1,1,1,8663,0,0,1,0,0,0,confirmed_exact_vector_observed_in_MIPSOL,0,0.19701689999999999,0.023423900000000001,5.9999999999999997e-07,0.00058379999999999999,5.6199999999999997e-05,0.00064930000000000001,0.83709146755470198,1,0,1,0,0,,not_separately_recorded
k1_corrected,C2,K1-S-submit,results\gf_transfer_block_native_time_round61\local_raw\k1_corrected\C2\submit\external\round60_candidates\L0_c6_1_child_disjunction_target_mip.gurobi_candidate_events.csv,1,3,first_eligible_MIP_before_incumbent,PREFIX_precomputed_once,5fa7c559530b94271e5b39ca1dff1cb69c9baedf707a73be5c2a908fd95fc371,submit,submitted_for_delayed_processing,1,1,1,1,1,1,1,1,8663,0,0,1,0,0,0,unknown_pending_exact_vector_observation,0,0.19076270000000001,0.023423900000000001,5.9999999999999997e-07,0.00056820000000000004,5.4200000000000003e-05,0.00063529999999999999,0.83709146755470198,0,0,0,0,0,,not_separately_recorded
