stage,id,arm,file,line,incumbent_rounded,solver_seconds_rounded,raw_line
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,40,1.0418805,0.0,H    0     0                       1.0418805    0.60767  41.7%     -    0s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,42,1.0397084,0.0,H    0     0                       1.0397084    0.68164  34.4%     -    0s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,45,1.0285206,1.0,H    0     0                       1.0285206    0.69185  32.7%     -    1s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,48,1.0146588,1.0,H    0     0                       1.0146588    0.70115  30.9%     -    1s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,51,0.955313,1.0,H    0     0                       0.9553130    0.70286  26.4%     -    1s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,52,0.9525063,1.0,H    0     0                       0.9525063    0.70286  26.2%     -    1s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,53,0.9382563,1.0,H    0     0                       0.9382563    0.70286  25.1%     -    1s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,54,0.9276527,1.0,H    0     0                       0.9276527    0.70286  24.2%     -    1s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,73,0.9252281,4.0,H    0     0                       0.9252281    0.70851  23.4%     -    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,74,0.9203531,4.0,H    0     0                       0.9203531    0.70851  23.0%     -    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,75,0.9088521,4.0,H    0     0                       0.9088521    0.70851  22.0%     -    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,76,0.9051827,4.0,H    0     0                       0.9051827    0.70851  21.7%     -    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,77,0.8730293,4.0,H    0     0                       0.8730293    0.70853  18.8%     -    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,78,0.8700293,4.0,H    0     0                       0.8700293    0.70853  18.6%     -    4s
confirmation600,C2,Single-S-off,results\gf_transfer_block_native_time_round61\local_raw\confirmation600\C2\off\external\native_logs\L0_terminal_mip.gurobi.log,79,0.8519925,4.0,H    0     0                       0.8519925    0.70853  16.8%     -    4s
