stage,id,arm,threads,seed,presolve,mip_gap,mip_gap_abs
confirmation600,C2,Single-S-off,1,0,-1,0,0
confirmation600,C2,Single-S-submit,1,0,-1,0,0
confirmation300,C1,Single-S-off,1,0,-1,0,0
confirmation300,C1,Single-S-submit,1,0,-1,0,0
k1_integration,C2,K1-S-off,1,0,-1,0,0
k1_integration,C2,K1-S-submit,1,0,-1,0,0
references,C2,P-GRB,1,0,-1,0,0
references,C2,K1-H,1,0,-1,0,0
easy_protection,D1,Single-S-off,1,0,-1,0,0
easy_protection,D1,Single-S-submit,1,0,-1,0,0
k1_corrected,C2,K1-S-off,1,0,-1,0,0
k1_corrected,C2,K1-S-submit,1,0,-1,0,0
