stage,id,arm,mode,scope,cap,certificate,U_native,U_reported,U_archive,U_usable,LB,absolute_gap,native_gap,work,wall_seconds,process_seconds,root_seconds,first_native_incumbent_seconds,submitted,mapped,native_status,within_budget,executable_sha256,model_sha256,native_final_UB_first_observed,proof_tail_seconds,external_archive_bound_crossing_solver_seconds
native_micro,micro,submit,submit,,15,True,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0,0,0.0005458807252906973,0.26500000013038516,0.1188524,0.0121486,-1,1,1,OPTIMAL,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,,,0.0121486
fixed120,D3,off,off,fixed_simple_F0,120,False,0.04500155005562836,0.04500155005562836,,0.04500155005562836,0.038573432101890584,0.006428117953737773,0.006428117953737773,184.04937567438785,118.07799999974668,118.0356019,2.2376444,0.0831694,0,0,TIME_LIMIT,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,70.6701993,,
fixed120,D3,archive,archive,fixed_simple_F0,120,False,0.04500155005562836,0.04500155005562836,0.07095552388769952,0.04500155005562836,0.03853466978670346,0.0064668802689248975,0.0064668802689248975,183.50612165668636,118.0789999999106,118.033765,2.2471937,0.0803337,0,1,TIME_LIMIT,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,70.8384273,,
fixed120,D3,submit,submit,fixed_simple_F0,120,False,0.04500155005562836,0.04500155005562836,0.07095552388769952,0.04500155005562836,0.04113055414676564,0.0038709959088627163,0.0038709959088627163,178.92248182140085,118.07800000021234,118.0288001,1.7186981,0.0784258,1,1,TIME_LIMIT,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,36.4819294,,
fixed120,D4,off,off,fixed_simple_F0,120,True,0.506343307565206,0.506343307565206,,0.506343307565206,0.5063433072459947,3.1921121301792255e-10,3.1921121301792255e-10,140.87267731766892,91.96900000004098,91.9207478,2.2605475,0.0806235,0,0,OPTIMAL,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,25.9822176,65.83978242670288,
fixed120,D4,archive,archive,fixed_simple_F0,120,True,0.506343307565206,0.506343307565206,0.506422789224163,0.506343307565206,0.5063433072459947,3.1921121301792255e-10,3.1921121301792255e-10,140.87267731766892,91.875,91.8111689,2.2167641,0.0811756,0,1,OPTIMAL,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,25.8821513,65.79884869427795,
fixed120,D4,submit,submit,fixed_simple_F0,120,True,0.506343307565206,0.506343307565206,0.506422789224163,0.506343307565206,0.5063433075652062,0,0,149.057589469286,97.03099999995902,96.9709518,1.610319,0.0812592,1,1,OPTIMAL,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,76.9091763,19.936823656130983,
fixed120,D6,off,off,fixed_simple_F0,120,False,0.1885912102417383,0.1885912102417383,,0.1885912102417383,0.1382120953969077,0.0503791148448306,0.0503791148448306,252.081008538192,118.20299999974668,118.1438982,23.4807805,0.2694787,0,0,TIME_LIMIT,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,90.9392964,,
fixed120,D6,archive,archive,fixed_simple_F0,120,False,0.1885912102417383,0.1885912102417383,0.1572411758522922,0.1572411758522922,0.1382120953969077,0.019029080455384484,0.0503791148448306,246.60796144018246,118.20300000021234,118.1360374,23.4589216,0.2902997,0,0,TIME_LIMIT,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,91.0392647,,
fixed120,D6,submit,submit,fixed_simple_F0,120,False,0.1885912102417383,0.1885912102417383,0.1572411758522922,0.1572411758522922,0.1382120953969077,0.019029080455384484,0.0503791148448306,249.06287724687436,118.20299999974668,118.1377824,23.1879095,0.280782,0,0,TIME_LIMIT,True,498df8e90a19f9581a39f50772aa7a5c35ed579a5f7a929c7debe75e81780fdd,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,89.9329509,,
