vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,18,30,11,0,0,11,315.5619083407183,660.0,13
0,2,18,30,24,0,11,11,0,238.5416332122372,660.0,20
0,3,30,24,13,8,0,0,8,522.2551236507383,480.0,10
0,4,24,13,19,0,8,8,0,766.6435723666082,480.0,13
0,5,13,19,3,8,0,0,8,145.46274633459592,480.0,11
0,6,19,3,28,7,0,8,15,610.6200088798765,420.0,9
0,7,3,28,17,6,0,15,21,911.4324335703295,360.0,8
0,8,28,17,22,8,0,21,29,936.7811823773467,480.0,8
0,9,17,22,5,0,5,29,24,663.3297791866123,300.0,10
0,10,22,5,20,0,5,24,19,445.11824682944217,300.0,7
0,11,5,20,4,0,18,19,1,433.4093486815064,1080.0,27
0,12,20,4,6,9,0,1,10,385.4701196954989,540.0,10
0,13,4,6,16,0,6,10,4,486.08156027077047,360.0,9
0,14,6,16,26,9,0,4,13,759.3989068706065,540.0,11
0,15,16,26,0,0,13,13,0,217.0400778238078,780.0,20
1,1,0,27,10,9,0,0,9,737.8042165900193,540.0,10
1,2,27,10,12,10,0,9,19,305.0482876895217,600.0,14
1,3,10,12,1,0,5,19,14,905.0663401499419,300.0,9
1,4,12,1,15,0,6,14,8,466.7830320297935,360.0,9
1,5,1,15,2,8,0,8,16,481.7297200609631,480.0,10
1,6,15,2,21,0,6,16,10,388.35131553877454,360.0,11
1,7,2,21,11,0,5,10,5,600.1589852064853,300.0,8
1,8,21,11,0,0,5,5,0,205.2347425992211,300.0,8
2,1,0,29,9,7,0,0,7,445.4549271589179,420.0,8
2,2,29,9,7,11,0,7,18,460.9226391006628,660.0,15
2,3,9,7,25,6,0,18,24,128.71693726926102,360.0,8
2,4,7,25,8,0,11,24,13,644.9126047063597,660.0,18
2,5,25,8,14,0,7,13,6,384.1801404190082,420.0,9
2,6,8,14,23,7,0,6,13,214.2664098081317,420.0,8
2,7,14,23,0,0,13,13,0,737.6029326216984,780.0,22
