candidate_policy,state_id,vehicle_count,station_count,identical_vehicle_capacities,objective_section_identical,bounds_and_types_identical,baseline_rows,candidate_rows,removed_cardinality_rows,added_route_start_rows,all_non_symmetry_rows_identical,candidate_row_formula_valid,optimal_representative_preserved,status,failure_reason
s1-route-start-order,D1,3,12,true,true,true,16049,16049,2,2,true,true,true,pass,none
s1-route-start-order,D2,3,10,true,true,true,5719,5719,2,2,true,true,true,pass,none
s1-route-start-order,D3,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
s1-route-start-order,D4,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
s1-route-start-order,D5,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
s1-route-start-order,D6,2,12,true,true,true,10921,10921,1,1,true,true,true,pass,none
s1-route-start-order,D7,2,12,true,true,true,10921,10921,1,1,true,true,true,pass,none
s1-route-start-order,D8,2,12,true,true,true,10921,10921,1,1,true,true,true,pass,none
s1-route-start-order,D9,3,20,true,true,true,10870,10870,2,2,true,true,true,pass,none
s1-route-start-order,D10,3,20,true,true,true,10870,10870,2,2,true,true,true,pass,none
s1-route-start-order,D11,3,20,true,true,true,10870,10870,2,2,true,true,true,pass,none
s1-route-start-order,D12,3,12,true,true,true,16042,16042,2,2,true,true,true,pass,none
s1-route-start-order,D13,3,20,true,true,true,10884,10884,2,2,true,true,true,pass,none
s1-route-start-order,D14,3,20,true,true,true,10891,10891,2,2,true,true,true,pass,none
