state_id,model_sha256,row_count,family_count,exact_duplicate_rows,canonical_signature_duplicate_rows,exact_duplicate_groups,canonical_duplicate_groups,same_lhs_proved_dominated_rows,dominated_row_ids,all_rows_parsed,failure_reason
D1,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,16049,17,0,0,none,none,0,none,true,none
D2,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,5719,17,3,3,operation_and_load_definition:c1023;c1026|operation_and_load_definition:c1295;c1298|operation_and_load_definition:c1567;c1570,operation_and_load_definition:c1023;c1026|operation_and_load_definition:c1295;c1298|operation_and_load_definition:c1567;c1570,0,none,true,none
D3,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,16042,17,0,0,none,none,0,none,true,none
D4,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,16042,17,0,0,none,none,0,none,true,none
D5,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,16042,17,0,0,none,none,0,none,true,none
D6,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,10921,17,2,2,operation_and_load_definition:c1065;c1068|operation_and_load_definition:c1439;c1442,operation_and_load_definition:c1065;c1068|operation_and_load_definition:c1439;c1442,0,none,true,none
D7,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,10921,17,2,2,operation_and_load_definition:c1065;c1068|operation_and_load_definition:c1439;c1442,operation_and_load_definition:c1065;c1068|operation_and_load_definition:c1439;c1442,0,none,true,none
D8,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,10921,17,2,2,operation_and_load_definition:c1065;c1068|operation_and_load_definition:c1439;c1442,operation_and_load_definition:c1065;c1068|operation_and_load_definition:c1439;c1442,0,none,true,none
D9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,10870,17,6,6,operation_and_load_definition:c3183;c3186|operation_and_load_definition:c3294;c3297|operation_and_load_definition:c4125;c4128|operation_and_load_definition:c4236;c4239|operation_and_load_definition:c5067;c5070|operation_and_load_definition:c5178;c5181,operation_and_load_definition:c3183;c3186|operation_and_load_definition:c3294;c3297|operation_and_load_definition:c4125;c4128|operation_and_load_definition:c4236;c4239|operation_and_load_definition:c5067;c5070|operation_and_load_definition:c5178;c5181,0,none,true,none
D10,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,10870,17,6,6,operation_and_load_definition:c3183;c3186|operation_and_load_definition:c3294;c3297|operation_and_load_definition:c4125;c4128|operation_and_load_definition:c4236;c4239|operation_and_load_definition:c5067;c5070|operation_and_load_definition:c5178;c5181,operation_and_load_definition:c3183;c3186|operation_and_load_definition:c3294;c3297|operation_and_load_definition:c4125;c4128|operation_and_load_definition:c4236;c4239|operation_and_load_definition:c5067;c5070|operation_and_load_definition:c5178;c5181,0,none,true,none
D11,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,10870,17,6,6,operation_and_load_definition:c3183;c3186|operation_and_load_definition:c3294;c3297|operation_and_load_definition:c4125;c4128|operation_and_load_definition:c4236;c4239|operation_and_load_definition:c5067;c5070|operation_and_load_definition:c5178;c5181,operation_and_load_definition:c3183;c3186|operation_and_load_definition:c3294;c3297|operation_and_load_definition:c4125;c4128|operation_and_load_definition:c4236;c4239|operation_and_load_definition:c5067;c5070|operation_and_load_definition:c5178;c5181,0,none,true,none
