state_id,panel,v0_status,vnext_status,v0_certificate,vnext_certificate,v0_work,vnext_work,work_ratio,v0_gi,vnext_gi,gi_ratio,v0_gap,vnext_gap,severe_regression,correctness_failure,false_certificate,physical_run_shared
D1,development,capped,capped,False,False,2720.0980171429305,2720.0980171429305,1.0,0.0769502423438712,0.0769502423438712,1.0,0.046523398601940096,0.046523398601940096,False,False,False,True
D2,development,exact,exact,True,True,7.798190809248318,7.798190809248318,1.0,0.0011632558373043888,0.0011632558373043888,1.0,2.529196102638948e-12,2.529196102638948e-12,False,False,False,True
D3,development,exact,exact,True,True,349.01793759503596,349.01793759503596,1.0,0.02889701531312352,0.02889701531312352,1.0,4.3852580177814796e-16,4.3852580177814796e-16,False,False,False,True
D4,development,exact,exact,True,True,129.52841701703966,129.52841701703966,1.0,0.010588567849321924,0.010588567849321924,1.0,0,0,False,False,False,True
D5,development,exact,exact,True,True,8.361526207009655,8.361526207009655,1.0,0.0004991097769776562,0.0004991097769776562,1.0,0,0,False,False,False,True
D6,development,exact,exact,True,True,9.501641712092052,9.501641712092052,1.0,0.0009299311549422342,0.0009299311549422342,1.0,6.287961224877803e-16,6.287961224877803e-16,False,False,False,True
D7,development,exact,exact,True,True,5.424760527933533,5.424760527933533,1.0,0.0006327847380462144,0.0006327847380462144,1.0,0,0,False,False,False,True
D8,development,exact,exact,True,True,0.6099470937080658,0.6099470937080658,1.0,0.0002045844224775596,0.0002045844224775596,1.0,0,0,False,False,False,True
D9,development,capped,capped,False,False,2544.6626175838883,2544.6626175838883,1.0,0.08897118659955411,0.08897118659955411,1.0,0.07307356160145764,0.07307356160145764,False,False,False,True
D10,development,exact,exact,True,True,199.30559044359478,199.30559044359478,1.0,0.003693967402299389,0.003693967402299389,1.0,0,0,False,False,False,True
D11,development,exact,exact,True,True,845.69208109825,845.69208109825,1.0,0.011598246490126444,0.011598246490126444,1.0,0,0,False,False,False,True
D12,development,exact,exact,True,True,257.2047290551788,257.2047290551788,1.0,0.02677144384735518,0.02677144384735518,1.0,6.316677466488924e-09,6.316677466488924e-09,False,False,False,True
D13,development,exact,exact,True,True,469.8380750590921,469.8380750590921,1.0,0.004604501387102063,0.004604501387102063,1.0,0,0,False,False,False,True
D14,development,capped,capped,False,False,2357.1050117450686,2357.1050117450686,1.0,0.027563319328975548,0.027563319328975548,1.0,0.007538656692144462,0.007538656692144462,False,False,False,True
