case,instance,interval_id,old_label,new_label,old_label_changed,retain_certificate,midpoint_certificate,retain_work,midpoint_work,split_over_retain_work_ratio,split_minus_retain_work,retain_time_seconds,midpoint_time_seconds,split_over_retain_time_ratio,split_minus_retain_time_seconds,retain_gi_1200,midpoint_gi_1200,retain_gap,midpoint_gap,severe_error,severe_error_kind,severity_reason,parent_identity_match,evidence_complete
major_root,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,L0,RETAIN,RETAIN,False,True,False,843.4563311103416,2651.3206228043236,3.1433999900315834,1807.8642916939821,385.1419633,1180.0358813,3.0638984939193201,794.89391799999999,0.059536232062425684,0.1177176211287478,1.5419233104925857e-15,0.03329563306722952,True,false_split,"severe_false_split: work_ratio=3.1434, work_diff=1807.86, time_ratio=3.0639, time_diff=794.894",True,True
strong_control_root,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,L0,MIDPOINT,MIDPOINT,False,True,True,740.6340681077912,147.52960295451953,0.19919364947852791,-593.10446515327169,409.3215118,84.2213192,0.2057583507635232,-325.10019260000001,0.063317133881491156,0.013832803241195469,4.0828682536125e-08,4.136686902719266e-09,True,false_retain,"severe_false_retain: work_ratio=5.02024, work_diff=593.104, time_ratio=4.86007, time_diff=325.1",True,True
numerical_endpoint_root,round39_small_hard_V12_M3_Q20_slot07_seed621538683,L0,unresolved,MIDPOINT,False,False,True,188.18035718118418,134.9044323058757,0.71688902246044073,-53.275924875308476,98.6066091,74.397426,0.75448721621236636,-24.209183100000004,0.025020733172741297,0.022169250412673626,2.0161571633704306e-07,5.350588995886023e-08,False,none,nonsevere under frozen Work/time/capped-gap thresholds,True,True
v12_m2_root,round39_small_hard_V12_M2_Q20_slot06_seed258908503,L0,MIDPOINT,MIDPOINT,False,True,True,38.80867136188028,9.651163747815895,0.24868575524839345,-29.157507614064386,24.4349322,7.6744648,0.31407759748152692,-16.7604674,0.0032723586407707749,0.0019003490241030485,1.886388367463341e-15,6.295821176408901e-13,False,none,nonsevere under frozen Work/time/capped-gap thresholds,True,True
tight3102_L0_0,tight_T_seed3102,L0.0,MIDPOINT,MIDPOINT,False,False,True,2476.504711010769,1500.1976532858937,0.60577217827039709,-976.30705772487522,1180.034402,777.3910464,0.65878676509975176,-402.64335559999995,0.11248898409112792,0.056517111636410544,0.0737047108942378,0,True,false_retain,"severe_false_retain: work_ratio=1.65079, work_diff=976.307, time_ratio=1.51794, time_diff=402.643",True,True
high_imbalance_matched,high_imbalance_seed3201,L0.1.0,unresolved,MIDPOINT,False,True,True,970.6039194826874,579.752786444065,0.59731140046607445,-390.85113303862238,523.0581615,318.0075095,0.60797733962898892,-205.05065199999996,0.024686444325326223,0.01793375776322103,3.635005563669461e-16,0,True,false_retain,"severe_false_retain: work_ratio=1.67417, work_diff=390.851, time_ratio=1.6448, time_diff=205.051",True,True
moderate3301_root,moderate_seed3301,L0,unresolved,MIDPOINT,False,False,False,2321.2019688048103,2183.8839741741926,0.94084185845261759,-137.3179946306177,1180.0376446,1180.0413476,1.000003138035483,0.0037030000000868313,0.10831607657662556,0.071795004566009055,0.0403478971074104,0.024166104844344193,False,none,nonsevere under frozen Work/time/capped-gap thresholds,True,True
