path,sha256,known_witness_token_matches,runtime_policy_selected_only_by_explicit_cli,status
CMakeLists.txt,dfee9f2d559136f99a726357d298dbe62a8a0c4947eee508a2b03c1c47dcee50,none,True,pass
include/CanonicalCompactModel.hpp,dade4d40f79120dc67f7d37e6407866e7e38f15abf5576b104b5009fd0f6d6d7,none,True,pass
include/FixedIntervalMipBackend.hpp,98dff9207ad3ebc3444bf52feb8d7825ea3313b90577c20869ffc5cf8a551f45,none,True,pass
include/Round50IntervalMip.hpp,29c44befb8dfdb480000a22e93eddd64d6ce6f195a97b5ea5488858148014ffa,none,True,pass
src/CplexBaseline.cpp,58725fdc2af65563ad124e184dc9b4dba17c589acd9b0911e90de1a895d2d239,none,True,pass
src/GurobiBaseline.cpp,12185e05bb6229d467dd59a58f98098dbe8891d2ba547c6fd0d932f4ed518575,none,True,pass
src/Round50IntervalMip.cpp,952a42b781f5887f933c02e02a33e4fbf2df74e9fb6e41807dbf691b9ebdb3bb,none,True,pass
src/round50_interval_mip_main.cpp,0035b6eadeabcd3e6e404e952cf8a688645846a3766bb00507f323ed33c64264,none,True,pass
tests/round50_interval_mip_tests.cpp,84d80f6b72852fc82ae0bf3a4b5fb3e9c5e75332955f7876baa9aa61f32d81a2,none,True,pass
tests/round50_protocol_tests.py,551faf22d3d539b5c75bc5e3d2cb142d321f991b994eac9cabc2a93bd034f5d8,seed1343324363;tight_T_seed,True,reviewed_nonpolicy_fixture
