logical_arm,physical_run_shared,physical_run_id,equivalence_basis,state_id,panel,instance,policy,process_cap_seconds,executable_sha256,model_sha256,model_identity_match,status,certificate,certificate_class,false_certificate,evidence_complete,cap_respected,native_status,lower_bound,frozen_cutoff,final_incumbent_available,final_incumbent,verified_upper_bound,gap,gi_common_horizon,work,solver_time_seconds,process_time_seconds,nodes,simplex_iterations,average_iterations_per_node,peak_memory_gb,root_relaxation_bound_available,root_relaxation_bound,final_root_cut_bound_available,final_root_cut_bound,root_work,root_time_seconds,root_simplex_iterations,root_cut_count,first_incumbent_work,first_incumbent_time_seconds,model_build_seconds,model_read_seconds,original_rows,original_columns,original_nonzeros,presolved_rows,presolved_columns,presolved_nonzeros,continuous_variables,integer_variables,binary_variables,min_matrix,max_matrix,min_objective,max_objective,min_bound,max_bound,min_rhs,max_rhs,branch_priority_assignment_status,branch_priority_tiers,exact_duplicate_row_elimination,exact_duplicate_rows_omitted,round50_symmetry_policy,round50_symmetry_rows,failure_reason,artifact_dir
Interval-MIP-v0,True,official-confirmation:D6,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D6,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.7062530985290745,0.7062530985290749,True,0.7062530985290749,0.7062530985290749,6.287961224877803e-16,0.0009299311549422342,9.501641712092052,6.218000173568726,6.4171969,882,47000,53.28798185941043,0.035919184,True,0.3821215,True,0.5929376888262344,3.157944615763831,2.4061138,836,640,4.749958036479364,3.4981433,0.1314024,0.0272616,10921,1014,109433,3488,886,28878,505,509,425,0.0225,100000,0.0225,1,0.706253,173.332,0.629427,1.19889e+06,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,1,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D6__interval-mip-v0
Interval-MIP-vNext,True,official-confirmation:D6,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D6,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.7062530985290745,0.7062530985290749,True,0.7062530985290749,0.7062530985290749,6.287961224877803e-16,0.0009299311549422342,9.501641712092052,6.218000173568726,6.4171969,882,47000,53.28798185941043,0.035919184,True,0.3821215,True,0.5929376888262344,3.157944615763831,2.4061138,836,640,4.749958036479364,3.4981433,0.1314024,0.0272616,10921,1014,109433,3488,886,28878,505,509,425,0.0225,100000,0.0225,1,0.706253,173.332,0.629427,1.19889e+06,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,1,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D6__interval-mip-v0
Interval-MIP-v0,True,official-confirmation:D7,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D7,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.7062530985290766,0.7062530985290749,True,0.7062530985290749,0.7062530985290749,0,0.0006327847380462144,5.424760527933533,3.8459999561309814,4.0412719,455,21607,47.487912087912086,0.033969486,True,0.3855621,True,0.6040145105561588,2.8434109939986962,2.2789882,1018,452,3.4446031129053494,2.6619771,0.1318007,0.0275534,10921,1014,109433,3488,885,28734,505,509,425,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,1,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D7__interval-mip-v0
Interval-MIP-vNext,True,official-confirmation:D7,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D7,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.7062530985290766,0.7062530985290749,True,0.7062530985290749,0.7062530985290749,0,0.0006327847380462144,5.424760527933533,3.8459999561309814,4.0412719,455,21607,47.487912087912086,0.033969486,True,0.3855621,True,0.6040145105561588,2.8434109939986962,2.2789882,1018,452,3.4446031129053494,2.6619771,0.1318007,0.0275534,10921,1014,109433,3488,885,28734,505,509,425,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,1,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D7__interval-mip-v0
Interval-MIP-v0,True,official-confirmation:D8,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D8,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,true,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,INFEASIBLE,1e+100,0.7062530985290749,False,0.7062530985290749,0.7062530985290749,0,0.0002045844224775596,0.6099470937080658,0.4330000877380371,0.6276532,1,1024,1024,0.025356844,True,0.6608365,True,0.6608364563256461,0.585943298832348,0.4226738,838,205,-1,-1,0.1322918,0.0274797,10921,1014,109575,3535,875,28839,505,509,425,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,1,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D8__interval-mip-v0
Interval-MIP-vNext,True,official-confirmation:D8,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D8,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,true,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,INFEASIBLE,1e+100,0.7062530985290749,False,0.7062530985290749,0.7062530985290749,0,0.0002045844224775596,0.6099470937080658,0.4330000877380371,0.6276532,1,1024,1024,0.025356844,True,0.6608365,True,0.6608364563256461,0.585943298832348,0.4226738,838,205,-1,-1,0.1322918,0.0274797,10921,1014,109575,3535,875,28839,505,509,425,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,1,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D8__interval-mip-v0
Interval-MIP-v0,True,official-confirmation:D9,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D9,development,tight_T_seed3102,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,true,capped,False,certificate_rejected,False,True,True,TIME_LIMIT,0.5568088240267299,0.6007044366851081,False,0.6007044366851081,0.6007044366851081,0.07307356160145764,0.08897118659955411,2544.6626175838883,1197.914999961853,1198.0578654,10202,5984208,586.5720446971183,0.211233581,True,0.4426226,True,0.5189954800020847,34.51813716096647,15.2921355,3842,614,-1,-1,0.0815531,0.0177751,10870,3372,53465,9848,3127,77827,1682,1690,1490,0.0075,15554.8,0.0075,1,0.300352,1967.6,0.300352,49109.5,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,2,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D9__interval-mip-v0
Interval-MIP-vNext,True,official-confirmation:D9,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D9,development,tight_T_seed3102,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,true,capped,False,certificate_rejected,False,True,True,TIME_LIMIT,0.5568088240267299,0.6007044366851081,False,0.6007044366851081,0.6007044366851081,0.07307356160145764,0.08897118659955411,2544.6626175838883,1197.914999961853,1198.0578654,10202,5984208,586.5720446971183,0.211233581,True,0.4426226,True,0.5189954800020847,34.51813716096647,15.2921355,3842,614,-1,-1,0.0815531,0.0177751,10870,3372,53465,9848,3127,77827,1682,1690,1490,0.0075,15554.8,0.0075,1,0.300352,1967.6,0.300352,49109.5,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,2,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D9__interval-mip-v0
Interval-MIP-v0,True,official-confirmation:D10,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D10,development,tight_T_seed3102,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,true,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,INFEASIBLE,1e+100,0.6007044366851081,False,0.6007044366851081,0.6007044366851081,0,0.003693967402299389,199.30559044359478,99.24000000953674,99.3790014,802,264564,329.8802992518703,0.146988215,True,0.4640361,True,0.5706315722744337,26.613616465643048,12.7526305,3719,504,-1,-1,0.0806382,0.0179793,10870,3372,53465,9847,3126,79079,1682,1690,1490,0.0075,15554.8,0.0075,1,0.150176,1967.6,0.150176,49109.5,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,2,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D10__interval-mip-v0
Interval-MIP-vNext,True,official-confirmation:D10,vNext accepted zero modifications and is definitionally the interval-mip-v0 execution policy,D10,development,tight_T_seed3102,interval-mip-v0,1200,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,true,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,INFEASIBLE,1e+100,0.6007044366851081,False,0.6007044366851081,0.6007044366851081,0,0.003693967402299389,199.30559044359478,99.24000000953674,99.3790014,802,264564,329.8802992518703,0.146988215,True,0.4640361,True,0.5706315722744337,26.613616465643048,12.7526305,3719,504,-1,-1,0.0806382,0.0179793,10870,3372,53465,9847,3126,79079,1682,1690,1490,0.0075,15554.8,0.0075,1,0.150176,1967.6,0.150176,49109.5,default_no_assignment,all:all:p0=0,false,0,v0-cardinality,2,none,results/gf_k1_interval_mip_vnext_round50/official_confirmation/v0/D10__interval-mip-v0
