state_id,min_matrix,max_matrix,matrix_range_ratio,min_objective,max_objective,min_bound,max_bound,min_rhs,max_rhs,native_numerical_warning,analytic_tightening_proof_found,audit_decision
D1,0.0225,100000,4444444.444444445,0.0225,1,0.0494687,157.287,0.0494687,1.2004e+06,false,false,no_exact_numerical_candidate
D2,0.0225,100000,4444444.444444445,0.0225,1,0.504544,74.7538,0.504544,998393,false,false,no_exact_numerical_candidate
D3,0.0225,100000,4444444.444444445,0.0225,1,0.506423,139.549,0.366412,1.19925e+06,false,false,no_exact_numerical_candidate
D4,0.0225,100000,4444444.444444445,0.0225,1,0.253211,139.549,0.253211,1.19925e+06,false,false,no_exact_numerical_candidate
D5,0.0225,100000,4444444.444444445,0.0225,1,0.253211,139.549,0.253211,1.19925e+06,false,false,no_exact_numerical_candidate
D6,0.0225,100000,4444444.444444445,0.0225,1,0.706253,173.332,0.629427,1.19889e+06,false,false,no_exact_numerical_candidate
D7,0.0225,100000,4444444.444444445,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,false,false,no_exact_numerical_candidate
D8,0.0225,100000,4444444.444444445,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,false,false,no_exact_numerical_candidate
D9,0.0075,15554.8,2073973.3333333333,0.0075,1,0.300352,1967.6,0.300352,49109.5,false,false,no_exact_numerical_candidate
D10,0.0075,15554.8,2073973.3333333333,0.0075,1,0.150176,1967.6,0.150176,49109.5,false,false,no_exact_numerical_candidate
D11,0.0075,15554.8,2073973.3333333333,0.0075,1,0.150176,1967.6,0.150176,49109.5,false,false,no_exact_numerical_candidate
D12,0.0225,100000,4444444.444444445,0.0225,1,0.647116,139.984,0.27224,1.19901e+06,false,false,no_exact_numerical_candidate
D13,0.0122501,15752.4,1285899.7069411678,0.0122501,1,0.475,2861.24,0.475,49504.7,false,false,no_exact_numerical_candidate
D14,0.0075,14743,1965733.3333333335,0.0075,1,0.0245763,1430.13,0.0245763,46586.3,false,false,no_exact_numerical_candidate
